dept_code,type,name_en,name_fr,pa_last_year_5_auth,pa_last_year_5_exp,pa_last_year_4_auth,pa_last_year_4_exp,pa_last_year_3_auth,pa_last_year_3_exp,pa_last_year_2_auth,pa_last_year_2_exp,pa_last_year_1_auth,pa_last_year_1_exp
ACOA,c,Contribution for the Innovative Communities Fund,Contributions pour le Fonds des collectivités innovatrices,41882262.0,33217223.0,53615569.0,39842568.0,86438555.0,62014085.0,92073762.0,67742556.39,53085498.0,57990080.89
ACOA,c,Contributions for the Atlantic Innovation Fund,Contributions pour le Fonds d'innovation de l'Atlantique,40000000.0,20437738.0,40000000.0,14446516.0,40000000.0,8206885.0,40000000.0,4625613.84,5000000.0,1560018.06
ACOA,c,Contributions under the Atlantic Policy Research Initiatives,Contributions en vertu des mesures de recherche stratégique visant la région de l'Atlantique,600000.0,370851.0,600000.0,565380.0,600000.0,536564.0,600000.0,334862.64,600000.0,502305.79
ACOA,c,Contributions under the Business Development Program,Contributions en vertu du Programme de développement des entreprises,46088558.0,42725572.0,40068720.0,27146061.0,73677643.0,51092389.0,104243183.0,80275095.95,48429099.0,35225807.03
ACOA,c,Contributions under the Community Futures program,Contributions en vertu du Programme de développement des collectivités,85242000.0,85325024.0,30642000.0,27058199.0,12642000.0,14630531.0,12642000.0,14097000.0,12642000.0,12756986.0
ACOA,c,Contributions under the Regional Economic Growth through Innovation program,Contributions en vertu du programme de Croissance économique régionale par l'innovation,235915367.0,259087979.0,205509825.0,254487286.0,166403086.0,213969375.0,172110650.0,228956787.14,195934732.0,205562159.22
ACOA,c,(S) Payments to provide financing support to small and medium-sized businesses pursuant to the Public Health Events of National Concern Payments Act,(S) Paiements pour offrir un soutien financier aux petites et aux moyennes entreprises en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,31000000.0,31000000.0,,,,,0.0,0.0,0.0,0.0
ACOA,c,(S) Payments for the Community Futures Network pursuant tothe Public Health Events of National Concern Payments Act,(S) Paiements pour le Réseau de développement des collectivités en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,9000000.0,9000000.0,,,,,0.0,0.0,0.0,0.0
ACOA,c,(S) Payments to the Canadian Seafood Stabilization Fund pursuant to the Public Health Events of National ConcernPayments Act,(S) Paiements au Fonds canadien pour la stabilisation des produits de la mer en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,14252865.0,14252865.0,,,,,0.0,0.0,0.0,0.0
ACOA,g,Grants to organizations to promote economic cooperation and development,Subventions à des organismes pour promouvoir la collaboration et le développement économique,1675000.0,437272.0,1500000.0,240189.0,1500000.0,497432.0,15322500.0,414011.23,1550000.0,438126.5
