"dept_code","dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"ACOA","ab",0,500000,480762,177176,308109
"ACOA","abroad",4150000,3476000,3488000,3500000,2550098
"ACOA","bc",375620,0,100000,241597,680615
"ACOA","na",37869525,38708452,31593995,38299117,48968666
"ACOA","nb",65204014,71912691,59229224,72402916,109478805
"ACOA","nl",52218367,55018560,63531895,56174633,91093222
"ACOA","ns",64957280,81981989,87660594,73443992,191953950
"ACOA","on",1279933,1453038,1630931,1511378,8451051
"ACOA","pe",33285723,30039179,28241718,28361754,42306398
"ACOA","qc",3138769,881288,180243,840463,407526
"AECB","abroad",103269,669639,413961,516581,482344
"AECB","mb",0,0,242856,0,141574
"AECB","na",854122,1109430,1160275,1854298,1264454
"AECB","on",910737,824709,781541,782500,1215112
"AGR","ab",394170870,368814812,292916842,345306493,338929242
"AGR","abroad",3051291,4838805,2122606,3908581,2589355
"AGR","bc",48428551,46765263,45921926,87958206,113468436
"AGR","mb",129335374,138289972,121924063,134267671,164440211
"AGR","na",137872779,54175211,190104104,416913918,545108162
"AGR","nb",7995267,8643320,7543903,9407590,12264599
"AGR","nl",4128394,4579646,3408966,5286188,7523787
"AGR","ns",10773328,12884926,8665555,13186562,19173651
"AGR","nt",3474558,685204,912777,722895,642595
"AGR","nu",628456,462763,418966,0,423384
"AGR","on",273530932,200749517,240162789,301619148,506459655
"AGR","pe",18344594,19713580,20818552,90507727,22744705
"AGR","qc",140349516,116078763,139381131,160051300,224629253
"AGR","sk",400892583,291753862,352735194,287258461,344089054
"AGR","yt",820235,1361756,691860,738393,779295
"CASDO","bc",0,0,0,0,233220
"CASDO","na",0,0,0,268904,0
"CASDO","ns",0,0,0,0,199999
"CASDO","on",0,0,0,1219454,4682432
"CASDO","qc",0,0,0,0,121951
"CCRA","ab",32166988,33701098,35013952,482670562,1405753273
"CCRA","bc",46497050,49597509,50092526,48078825,50863679
"CCRA","mb",55876816,59254100,126199830,244716723,332321478
"CCRA","nb",4583791,4483038,40845868,43513546,7839984
"CCRA","nl",5985827,6158118,5947578,6421659,7138630
"CCRA","ns",4677555,4838107,4933171,4737515,4799861
"CCRA","nt",829611,816510,771841,922410,757506
"CCRA","nu",1108820,1240015,1398340,2658371,8059671
"CCRA","on",61436776,58362232,526522361,1740432815,2612943971
"CCRA","pe",646482,611365,556962,593451,576296
"CCRA","qc",73943608,81651260,84177780,93514278,103018252
"CCRA","sk",31407775,32384276,125645380,314211210,400688483
"CCRA","yt",388366,455721,398176,4695853,12486006
"CEAA","ab",0,0,280970,335735,1103585
"CEAA","abroad",0,0,0,872417,0
"CEAA","bc",861590,271724,1466091,1296725,1575388
"CEAA","mb",108400,241205,0,116734,457504
"CEAA","na",3107383,1745106,2375080,2950530,5198351
"CEAA","nb",103617,0,115454,230448,433915
"CEAA","nl",0,0,106397,0,201323
"CEAA","ns",0,349528,0,392389,222872
"CEAA","nt",0,0,0,0,172218
"CEAA","on",0,733200,500000,710851,1523959
"CEAA","qc",245500,352583,245500,245500,7018305
"CEAA","sk",151692,133814,0,237102,530957
"CEO","na",1501044,1374502,1190949,20239730,-18026872
"CEO","on",3640381,856939,298500,55910984,8022668
"CEO","qc",-3930212,0,0,3628641,-2095334
"CFIA","ab",35492837,2434043,805999,389840,4384324
"CFIA","abroad",469550,0,0,0,0
"CFIA","bc",566485,117450,1346808,790082,150000
"CFIA","na",2508395,1848317,1052563,749248,350945
"CFIA","ns",519073,0,0,0,0
"CFIA","on",1098495,484186,448352,300000,299646
"CFIA","pe",182606,0,124423,0,0
"CFIA","qc",0,214207,232020,3007545,5755330
"CFIA","sk",1273998,2078393,741142,1782807,0
"CH","ab",62543271,68907750,66266666,54216382,76552331
"CH","abroad",7177817,7993100,7834787,7325103,7934883
"CH","bc",68309345,68873622,70150056,75436590,105061469
"CH","mb",35777788,38530430,27980936,32518131,40111969
"CH","na",130278666,149877850,157804535,160039033,221976875
"CH","nb",14510861,15007414,38105937,39874104,42363150
"CH","nl",9539771,12605627,7646665,8036736,13016974
"CH","ns",18255441,25300398,22594493,19925146,26357294
"CH","nt",12556858,18039047,16296290,18558056,23307682
"CH","nu",6185735,14729298,11886666,13671543,15156850
"CH","on",560451211,565826311,532876135,633771937,842685033
"CH","pe",14725200,11955228,10035784,12439793,20389820
"CH","qc",216661826,233685157,186990373,204896772,244124487
"CH","sk",17909913,18586496,18469923,22308116,25581380
"CH","yt",8703181,9363371,10437190,18493106,12805918
"CI","ab",110584320,126131368,134292224,131996835,129265468
"CI","abroad",23816766,17103716,16929542,20374042,27222369
"CI","bc",110837577,110042045,115891495,123901946,122860598
"CI","mb",44358238,46143192,53441759,55611118,49196160
"CI","na",97621067,61036278,52827300,69310973,35791253
"CI","nb",11111339,12961381,11918174,12319241,13784932
"CI","nl",3154654,3924034,4985151,5428941,5431226
"CI","ns",11788040,11813955,15005372,16688933,17176244
