dept_code,vote_num,vs_type,name_en,name_fr,doc,est_last_year_5,est_last_year_4,est_last_year_3,est_last_year_2,est_last_year,est_in_year
ACOA,1,1,Operating/Program,Fonctionnement/Programme,MAINS,70111122.0,70011300.0,68404079.0,70390767.0,70274559.0,70491619.0
ACOA,1,1,Operating/Program,Fonctionnement/Programme,SEA,793805.0,,2078192.0,,,
ACOA,1,1,Operating/Program,Fonctionnement/Programme,SEB,700238.0,,193228.0,327851.0,888107.0,
ACOA,1,1,Operating/Program,Fonctionnement/Programme,SEC,1186799.0,,,,,
ACOA,1,1,Operating/Program,Fonctionnement/Programme,VA,3627223.0,5196366.0,8415236.0,6850705.0,,
ACOA,5,3,Grants & Contributions,Subventions et Contributions,MAINS,268439605.0,357461284.0,312855591.0,306694872.0,282252478.0,308687375.0
ACOA,5,3,Grants & Contributions,Subventions et Contributions,SEA,61532000.0,,92150000.0,,,
ACOA,5,3,Grants & Contributions,Subventions et Contributions,SEB,16555000.0,24300000.0,33103550.0,11546457.0,48778405.0,
ACOA,5,3,Grants & Contributions,Subventions et Contributions,SEC,27409509.0,500000.0,-117046.0,,4828000.0,
ACOA,5,3,Grants & Contributions,Subventions et Contributions,VA,0.0,0.0,0.0,0.0,,
ACOA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,8286337.0,9029061.0,8967542.0,8557714.0,9497319.0,10226783.0
ACOA,S,0,Salary and Motor Car Allowance,Traitement et allocation pour automobile,MAINS,,2000.0,2000.0,0.0,0.0,
ACOA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,-24947.0,235182.0,-17280.88000000082,673656.4700000007,,
ACOA,S,0,Salary and Motor Car Allowance,Traitement et allocation pour automobile,SA,,0.0,-1333.3200000000002,0.0,,
ACOA,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,42130.0,75051.0,89264.0,73706.43,,
ACOA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEA,168256.0,,473610.0,,,
ACOA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,150195.0,,55187.0,72611.0,75696.0,
ACOA,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEC,258917.0,,,,,
AECB,1,1,Operating/Program,Fonctionnement/Programme,MAINS,41081316.0,40818583.0,51986215.0,52421455.0,57418310.0,54062479.0
AECB,1,1,Operating/Program,Fonctionnement/Programme,SEB,,4111447.0,477000.0,88804.0,-13900.0,
AECB,1,1,Operating/Program,Fonctionnement/Programme,SEC,101806.0,3580800.0,,,,
AECB,1,1,Operating/Program,Fonctionnement/Programme,VA,2255720.0,3341649.0,2600903.0,8748009.0,,
AECB,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,4416994.0,4480968.0,5545411.0,5107691.0,6231772.0,6611018.0
AECB,S,0,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires,MAINS,98250551.0,98382602.0,101056223.0,108605514.0,121415760.0,129634632.0
AECB,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SA,8962330.0,9440424.0,10129294.81,14791613.510000002,,
AECB,S,0,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques,SA,,,110264794.0,130630109.44,,
AECB,S,0,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,SA,88167.0,23557.0,28669.0,28575.9,,
AECB,S,0,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires,SA,1116557.0,3313080.0,-101056223.0,-108605514.0,,
AECB,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEB,,693135.0,,,,
AECB,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,SEC,,149256.0,,,,
AECL,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,MAINS,1188799417.0,1174652615.0,1541555307.0,1591309916.0,1945655529.0,1704470844.0
AECL,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEB,,151921268.0,,10739680.0,817350.0,
AECL,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,SEC,39505000.0,,5760000.0,,552343.0,
AECL,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,VA,0.0,0.0,0.0,0.0,,
AGR,1,1,Operating/Program,Fonctionnement/Programme,MAINS,605035536.0,608022545.0,463606864.0,662147698.0,682771782.0,647737493.0
AGR,1,1,Operating/Program,Fonctionnement/Programme,SEA,15716473.0,2732006.0,177272407.0,3068984.0,,
AGR,1,1,Operating/Program,Fonctionnement/Programme,SEB,2158276.0,31693643.0,8324421.0,20781944.0,4437554.0,
AGR,1,1,Operating/Program,Fonctionnement/Programme,SEC,5568020.0,-6621508.0,-3003700.0,,-8707666.0,
AGR,1,1,Operating/Program,Fonctionnement/Programme,VA,26948261.0,33464783.0,101912589.0,44910526.0,,
AGR,10,3,Grants & Contributions,Subventions et Contributions,MAINS,407506869.0,582506527.0,513062360.0,799514734.0,893997907.0,782888844.0
AGR,10,3,Grants & Contributions,Subventions et Contributions,SEA,259225544.0,46552506.0,342410750.0,55000000.0,,
AGR,10,3,Grants & Contributions,Subventions et Contributions,SEB,68419325.0,110991546.0,34211000.0,102097436.0,33943660.0,
AGR,10,3,Grants & Contributions,Subventions et Contributions,SEC,15970000.0,8000000.0,,,,
AGR,10,3,Grants & Contributions,Subventions et Contributions,VA,0.0,0.0,0.0,0.0,,
AGR,5,2,Capital,Capital,MAINS,49005131.0,38309523.0,31963435.0,66820123.0,73095676.0,67699368.0
AGR,5,2,Capital,Capital,SEA,1073742.0,250000.0,7932200.0,,,
AGR,5,2,Capital,Capital,SEB,26000.0,6753000.0,11608559.0,21809.0,527000.0,
AGR,5,2,Capital,Capital,SEC,742945.0,7500000.0,3036036.0,,9222500.0,
AGR,5,2,Capital,Capital,VA,5442403.0,6928475.0,11948200.0,7080935.0,,
AGR,S,0,Canadian Pari-Mutuel Agency Revolving Fund,Fonds renouvelable de l'Agence canadienne du pari mutuel,MAINS,0.0,1209418.0,2018122.0,1848437.0,872444.0,839556.0
AGR,S,0,Contribution payments for the AgriInsurance program,Paiements de contribution pour le programme Agri-protection,MAINS,623000000.0,623000000.0,243448000.0,1033783000.0,1033783000.0,1033783000.0
AGR,S,0,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance,MAINS,118513335.0,118513335.0,,118513335.0,118513335.0,118513335.0
AGR,S,0,Contribution payments for the Dairy Innovation and Investment Fund (Farm Income Protection Act),Paiements de contribution pour le Fonds d'innovation et d'investissement dans l'industrie laitière (Loi sur la protection du revenu agricole),MAINS,,,,40000000.0,50000000.0,62000000.0
AGR,S,0,Contribution payments for the Livestock Price Insurance program (Farm Income Protection Act),Paiements de contribution pour le programme d'assurance des prix du bétail (Loi sur la protection du revenu agricole),MAINS,,,,4000000.0,4000000.0,4000000.0
AGR,S,0,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,MAINS,66642453.0,68881237.0,58805665.0,71012052.0,80847202.0,84329209.0
AGR,S,0,Grant and Contribution Payments for the AgriInvest Program,Paiements de subventions et contribution pour le programme Agri-investissement,MAINS,139460000.0,139460000.0,132252000.0,173753164.0,173753164.0,173753164.0
AGR,S,0,Grant and Contribution Payments for the AgriStability Program,Paiements de subvention et contribution pour le programme Agri-stabilité,MAINS,426550000.0,483160380.0,255310380.0,391721518.0,391721518.0,391721518.0
AGR,S,0,Grant payments for the Dairy Direct Payment Program (Farm Income Protection Act),Paiements de subventions pour le Programme de paiements directs pour les producteurs laitiers (Loi sur la protection du revenu agricole),MAINS,469000000.0,468000000.0,,250000000.0,250000000.0,150000000.0
AGR,S,0,Grants to agencies established under the Farm Products Agencies Act,Subventions aux offices établis conformément à la Loi sur les offices des produits agricoles,MAINS,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
AGR,S,0,Loan guarantees under the Canadian Agricultural Loans Act,Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles,MAINS,13111013.0,13111013.0,13111013.0,13111013.0,13111013.0,13111013.0
AGR,S,0,"Payments in connection with the Agricultural Marketing Programs Act (S.C., 1997, c. C-34)","Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. (1997), ch. C-34)",MAINS,104800000.0,109000000.0,113300000.0,115600000.0,169001104.0,146986659.0
AGR,S,0,Salary and Motor Car Allowance,Traitement et allocation pour automobile,MAINS,90500.0,92500.0,94700.0,98600.0,102300.0,106000.0
AGR,S,0,Canadian Pari-Mutuel Agency Revolving Fund,Fonds renouvelable de l'Agence canadienne du pari mutuel,SA,10307997.0,8674858.0,7934653.0,6837371.82,,
AGR,S,0,Contribution payments for the AgriInsurance program,Paiements de contribution pour le programme Agri-protection,SA,96839291.0,429520171.0,176482387.51,230674815.95000005,,
AGR,S,0,Contribution payments for the Agricultural Disaster Relief program and AgriRecovery,Contribution pour le programme d'aide en cas de catastrophe agricole - Agri-relance,SA,-74786593.0,-176940334.0,-75680968.27000001,-104890289.91,,
