dept_code,vote_num,vs_type,name_en,name_fr,pa_last_year_5_auth,pa_last_year_5_exp,pa_last_year_5_unlapsed,pa_last_year_4_auth,pa_last_year_4_exp,pa_last_year_4_unlapsed,pa_last_year_3_auth,pa_last_year_3_exp,pa_last_year_3_unlapsed,pa_last_year_2_auth,pa_last_year_2_exp,pa_last_year_2_unlapsed,pa_last_year_auth,pa_last_year_exp,pa_last_year_unlapsed
ACOA,1,1,Operating/Program,Fonctionnement/Programme,74468028.0,69790224.0,0.0,76419187.0,70687244.0,0.0,75207666.0,72473291.0,0.0,79090735.0,72151912.0,0.0,77569323.0,76791304.0,0.0
ACOA,5,3,Grants & Contributions,Subventions et Contributions,452840687.0,441945575.0,0.0,373936114.0,363964211.0,0.0,382261284.0,351386494.0,0.0,437992095.0,396798949.0,0.0,318241329.0,314333155.0,0.0
ACOA,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,9056403.0,9056403.0,0.0,8838758.0,8838758.0,0.0,9264243.0,9264243.0,0.0,9479058.12,9479058.12,0.0,9303981.47,9303981.47,0.0
ACOA,S,999,Losses on Foreign Exchange,Pertes d'opérations de change,549.0,549.0,0.0,,,,,,,,,,,,
ACOA,S,999,"Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",Paiements pour le Réseau de développement des collectivités en vertu de la Loi d'exécution de l'énoncé économique de 2020,0.0,0.0,0.0,,,,,,,,,,,,
ACOA,S,999,Payments pursuant to the Public Health Events of National Concern Payments Act,Paiements en vertu de la Loi sur les paiements relatifs aux événements de santé publique d'intérêt national,54252865.0,54252865.0,0.0,,,,,,,,,,,,
ACOA,S,999,"Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",Paiements pour offrir un soutien financier aux petites et aux moyennes entreprises en vertu de la Loi d'exécution de l'énoncé économique de 2020,0.0,0.0,0.0,,,,,,,,,,,,
ACOA,S,999,Salary and Motor Car Allowance,Traitement et allocation pour automobile,,,,,,,2000.0,2000.0,0.0,666.68,666.68,0.0,,,
ACOA,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,36688.0,0.0,16484.0,42130.0,0.0,25646.0,75051.0,0.0,49405.0,89264.0,0.0,39859.0,73706.43,39858.65,33847.78
AECB,1,1,Operating/Program,Fonctionnement/Programme,42678051.0,34910780.0,0.0,43438842.0,35111799.0,0.0,51852479.0,40887209.0,0.0,55064118.0,48542441.0,0.0,61258268.0,56483609.0,0.0
AECB,S,999,Contributions to employee benefit plans,Contributions aux régimes d'avantages sociaux des employés,13648457.0,13648457.0,0.0,13379324.0,13379324.0,0.0,14763783.0,14763783.0,0.0,15674705.81,15674705.81,0.0,19899304.51,19899304.51,0.0
AECB,S,999,Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act,Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques,,,,,,,,,,110264794.0,105827442.0,4437352.0,130630109.44,126059174.44,4570935.0
AECB,S,999,Spending of proceeds from the disposal of surplus Crown assets,Dépenses des produits de la vente de biens excédentaires de l'État,19237.0,0.0,19167.0,88167.0,68330.0,19837.0,23557.0,0.0,3720.0,28669.0,0.0,24949.0,28575.9,0.0,3626.99
AECB,S,999,Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act,Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires,96838652.0,90967784.0,5870868.0,99367108.0,94980845.0,4386263.0,101695682.0,97315173.0,4380509.0,,,,,,
AECL,1,5,Payments to Crown Corps,Paiement aux sociétés d'État,1254166523.0,935540678.0,0.0,1228304417.0,1008769322.0,0.0,1326573883.0,1083200000.0,0.0,1547315307.0,1344720000.0,0.0,1602049596.0,1433600000.0,0.0
AECL,S,999,Payments to Atomic Energy of Canada Limited,Paiements à Énergie atomique du Canada Limitée,5200000.0,5200000.0,0.0,,,,,,,,,,,,
