"dept_code","vote_num","vs_type","name_en","name_fr","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme",69137000,15432000,31312000,69306000,14959000,30300000
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions",268045000,54251000,87535000,251097000,42782000,70586000
"ACOA","S",999,"Statutory Authorities","Autorisations législatives",8614000,2137000,4274000,8201000,2042000,4084000
"AECB",1,1,"Operating and Program","Fonctionnement et Programme",40283000,9511000,17891000,39985000,9910000,18604000
"AECB","S",999,"Expenditures pursuant to subsection 21(3) of the Nuclear Safety and Control Act","Dépenses en vertu du paragraphe 21(3) de la Loi sur la sûreté et la réglementation nucléaires",101214000,22939000,43392000,98530000,23058000,43556000
"AECB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d'avantages sociaux des employés",4295000,1074000,2148000,4095000,1024000,2048000
"AGR",1,1,"Operating and Program","Fonctionnement et Programme",600847000,107197000,260168000,596523000,134909000,257867000
"AGR",5,2,"Capital","Capital",50645000,4465000,5904000,64447000,7760000,9635000
"AGR",10,3,"Grants & Contributions","Subventions et Contributions",419735000,47238000,85775000,425525000,33380000,41571000
"AGR",15,7,"Budget Implementation Vote","Crédit Exécution du budget",17486000,0,0,0,0,0
"AGR","S",999,"Contribution payments for the AgriInsurance program","Paiements de contributions pour le programme Agri-protection",623000000,54517000,69334000,623000000,59267000,79925000
"AGR","S",999,"Contribution payments for the Canadian Agricultural Income Stabilization program Inventory Transition Initiative","Paiements de contributions pour l’Initiative de transition du programme canadien de stabilisation du revenu agricole pour l’évaluation des stocks",0,-17000,-26000,0,-15000,-179000
"AGR","S",999,"Contribution payments for the AgriStability program","Paiements de contributions pour le programme Agri-stabilité",384830000,-16067000,-21200000,384830000,-5101000,-10958000
"AGR","S",999,"Class grant payments for the Transitional Industry Support program","Paiements de subvention par catégorie pour le programme d’aide transitoire à l’industrie",0,0,0,0,0,-2000
"AGR","S",999,"Canadian Pari-Mutuel Agency Revolving Fund","Fonds renouvelable de l’Agence canadienne du pari mutuel",0,25000,-519000,0,-154000,-935000
"AGR","S",999,"Contributions in support of the Assistance to the Pork Industry Initiative","Contributions à l’appui de l’Initiative d’aide à l’industrie porcine",0,0,-12550000,0,-79000,-25289000
