program_id,result_id
AECB-BTJ02,DR-drr18-394
AECB-BTJ02,DR-drr18-393
AECB-BTJ02,DR-drr19-1078
AECB-BTJ02,DR-drr19-1077
AECB-BTJ02,DR-dp20-1078
AECB-BTJ02,DR-dp20-1077
AECB-BTJ01,DR-drr18-394
AECB-BTJ01,DR-drr18-393
AECB-BTJ01,DR-drr19-1078
AECB-BTJ01,DR-drr19-1077
AECB-BTJ01,DR-dp20-1078
AECB-BTJ01,DR-dp20-1077
AECB-BTJ03,DR-drr18-394
AECB-BTJ03,DR-drr18-393
AECB-BTJ03,DR-drr18-395
AECB-BTJ03,DR-drr19-1078
AECB-BTJ03,DR-drr19-1077
AECB-BTJ03,DR-drr19-1079
AECB-BTJ03,DR-dp20-1078
AECB-BTJ03,DR-dp20-1077
AECB-BTJ03,DR-dp20-1079
CCRA-BRA03,DR-drr18-419
CCRA-BRA03,DR-drr19-1317
CCRA-BRA03,DR-dp20-1317
CCRA-BRA06,DR-drr18-419
CCRA-BRA06,DR-drr19-1317
CCRA-BRA06,DR-dp20-1317
CCRA-BRA04,DR-drr18-419
CCRA-BRA04,DR-drr19-1317
CCRA-BRA04,DR-dp20-1317
CCRA-BRA02,DR-drr18-419
CCRA-BRA02,DR-drr19-1317
CCRA-BRA02,DR-dp20-1317
CCRA-BRA05,DR-drr18-419
CCRA-BRA05,DR-drr19-1317
CCRA-BRA05,DR-dp20-1317
CCRA-BRA08,DR-drr18-419
CCRA-BRA08,DR-drr19-1317
CCRA-BRA08,DR-dp20-1317
CCRA-BRA09,DR-drr18-419
CCRA-BRA09,DR-drr19-1317
CCRA-BRA09,DR-dp20-1317
CCRA-BRA10,DR-drr18-419
CCRA-BRA10,DR-drr19-1317
CCRA-BRA10,DR-dp20-1317
CCRA-BRA07,DR-drr18-419
CCRA-BRA07,DR-drr19-1317
CCRA-BRA07,DR-dp20-1317
CCRA-BRA11,DR-drr18-419
CCRA-BRA11,DR-drr19-1317
CCRA-BRA11,DR-dp20-1317
CCRA-BRA01,DR-drr18-419
CCRA-BRA01,DR-drr19-1317
CCRA-BRA01,DR-dp20-1317
ND-BUQ04,DR-drr18-348
ND-BUQ04,DR-drr18-347
ND-BUQ04,DR-drr19-1286
ND-BUQ04,DR-drr19-1287
ND-BUQ04,DR-dp20-1286
ND-BUQ04,DR-dp20-1287
ND-BUQ07,DR-drr18-348
ND-BUQ07,DR-drr18-347
ND-BUQ07,DR-drr19-1286
ND-BUQ07,DR-drr19-1287
ND-BUQ07,DR-dp20-1286
ND-BUQ07,DR-dp20-1287
ND-BUQ02,DR-drr18-348
ND-BUQ02,DR-drr18-347
ND-BUQ02,DR-drr19-1286
ND-BUQ02,DR-drr19-1287
ND-BUQ02,DR-dp20-1286
ND-BUQ02,DR-dp20-1287
ND-BUQ08,DR-drr18-348
ND-BUQ08,DR-drr18-347
ND-BUQ08,DR-drr19-1286
ND-BUQ08,DR-drr19-1287
ND-BUQ08,DR-dp20-1286
ND-BUQ08,DR-dp20-1287
ND-BUQ06,DR-drr18-348
ND-BUQ06,DR-drr18-347
ND-BUQ06,DR-drr19-1286
ND-BUQ06,DR-drr19-1287
ND-BUQ06,DR-dp20-1286
ND-BUQ06,DR-dp20-1287
ND-BUQ03,DR-drr18-348
ND-BUQ03,DR-drr18-347
ND-BUQ03,DR-drr19-1286
ND-BUQ03,DR-drr19-1287
ND-BUQ03,DR-dp20-1286
ND-BUQ03,DR-dp20-1287
ND-BUQ01,DR-drr18-348
ND-BUQ01,DR-drr18-347
ND-BUQ01,DR-drr19-1286
ND-BUQ01,DR-drr19-1287
ND-BUQ01,DR-dp20-1286
ND-BUQ01,DR-dp20-1287
ND-BUQ05,DR-drr18-348
ND-BUQ05,DR-drr18-347
ND-BUQ05,DR-drr19-1286
ND-BUQ05,DR-drr19-1287
ND-BUQ05,DR-dp20-1286
ND-BUQ05,DR-dp20-1287
CAS-BEG01,DR-drr18-193
CAS-BEG01,DR-drr18-195
CAS-BEG01,DR-drr19-1028
CAS-BEG01,DR-drr19-1026
CAS-BEG01,DR-dp20-1028
CAS-BEG01,DR-dp20-1026
CSC-BUJ05,DR-drr18-217
CSC-BUJ05,DR-drr19-1100
CSC-BUJ05,DR-dp20-1100
CSC-BUJ04,DR-drr18-217
CSC-BUJ04,DR-drr19-1100
CSC-BUJ04,DR-dp20-1100
CSC-BUJ07,DR-drr18-217
CSC-BUJ07,DR-drr19-1100
CSC-BUJ07,DR-dp20-1100
TC-BTW03,DR-drr18-435
TC-BTW03,DR-drr19-1191
TC-BTW03,DR-dp20-1191
TC-BTW20,DR-drr18-435
TC-BTW20,DR-drr18-437
TC-BTW20,DR-drr19-1191
TC-BTW20,DR-drr19-1192
TC-BTW20,DR-dp20-1191
TC-BTW20,DR-dp20-1192
TC-BTW21,DR-drr18-435
TC-BTW21,DR-drr18-437
TC-BTW21,DR-drr19-1191
TC-BTW21,DR-drr19-1192
TC-BTW21,DR-dp20-1191
TC-BTW21,DR-dp20-1192
TC-BTW15,DR-drr18-435
TC-BTW15,DR-drr19-1191
TC-BTW15,DR-dp20-1191
TC-BTW02,DR-drr18-435
TC-BTW02,DR-drr19-1191
TC-BTW02,DR-dp20-1191
TC-BTW01,DR-drr18-435
TC-BTW01,DR-drr19-1191
TC-BTW01,DR-dp20-1191
TC-BTW17,DR-drr18-435
TC-BTW17,DR-drr18-437
