"dimension","pa_last_year_5","pa_last_year_4","pa_last_year_3","pa_last_year_2","pa_last_year"
"nl",528063,529063,528650,526493,522818
"pe",144259,145784,148921,152208,155656
"ns",936271,940382,947632,955376,966709
"nb",758948,762289,764905,769012,773887
"qc",8163063,8204085,8270823,8356250,8447609
"on",13669860,13816545,14008134,14241379,14484242
"sk",1118806,1131147,1146700,1159482,1171027
"ab",4128300,4181765,4230184,4283873,4350901
"mb",4128300,4181765,4230184,4283873,4350901
"bc",4757759,4832155,4900774,4974692,5046780
"yt",37372,38042,39222,40200,40601
"nt",44193,44590,44827,45302,44909
"nu",36283,36767,37349,37810,38666
