dept_code,activity_code,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year,pa_last_year_planned,planning_year_1,planning_year_2,planning_year_3,planning_year_0
ACOA,BED01,36.00,43.00,41.00,38.00,40.00,32.00,30.00,29.00,28.00,32.00
ACOA,BED02,71.00,76.00,69.00,69.00,62.00,75.00,70.00,69.00,66.00,75.00
ACOA,BED03,58.00,55.00,52.00,48.00,49.00,57.00,52.00,51.00,48.00,56.00
ACOA,BED04,14.00,16.00,15.00,11.00,12.00,14.00,12.00,11.00,8.00,15.00
ACOA,BED05,99.00,97.00,101.00,97.00,94.00,92.00,94.00,94.00,92.00,93.00
ACOA,BED06,39.00,39.00,39.00,37.00,34.00,41.00,40.00,40.00,40.00,41.00
ACOA,BED07,66.00,68.00,69.00,71.00,73.00,67.00,61.00,59.00,56.00,67.00
ACOA,ISS00,201.00,201.00,210.00,199.00,205.00,195.00,175.00,170.00,159.00,193.00
AECB,BTJ01,73.00,72.00,81.00,85.00,93.00,92.00,108.00,110.00,107.00,102.00
AECB,BTJ02,279.00,284.00,272.00,288.00,302.00,313.00,347.00,348.00,347.00,332.00
AECB,BTJ03,77.00,79.00,78.00,85.00,91.00,86.00,89.00,91.00,91.00,84.00
AECB,BTJ04,29.00,25.00,30.00,37.00,38.00,35.00,36.00,35.00,35.00,36.00
AECB,BTJ05,123.00,132.00,156.00,149.00,170.00,159.00,179.00,171.00,168.00,175.00
AECB,ISS00,269.00,279.00,291.00,324.00,321.00,319.00,341.00,348.00,342.00,338.00
AGR,BWN01,190.00,181.00,183.00,189.00,180.00,193.00,189.00,188.00,188.00,178.00
AGR,BWN02,191.00,218.00,207.00,198.00,204.00,201.00,201.00,172.00,165.00,202.00
AGR,BWN03,20.00,18.00,18.00,19.00,18.00,20.00,19.00,19.00,19.00,17.00
AGR,BWN04,36.00,40.00,51.00,70.00,91.00,76.00,86.00,86.00,70.00,124.00
AGR,BWN05,30.00,30.00,31.00,31.00,31.00,33.00,29.00,29.00,29.00,33.00
AGR,BWN06,23.00,,,,,,,,,
AGR,BWN07,5.00,5.00,4.00,2.00,2.00,2.00,0.00,0.00,0.00,2.00
AGR,BWN09,24.00,31.00,32.00,31.00,29.00,0.00,24.00,0.00,0.00,25.00
AGR,BWN10,,,11.00,11.00,8.00,10.00,,,,8.00
AGR,BWO01,2360.00,2336.00,2326.00,2327.00,2335.00,2281.00,2201.00,2196.00,1946.00,2346.00
AGR,BWO02,181.00,204.00,182.00,126.00,125.00,185.00,134.00,134.00,130.00,123.00
AGR,BWO03,29.00,37.00,29.00,31.00,17.00,32.00,14.00,14.00,15.00,17.00
AGR,BWO04,9.00,15.00,51.00,77.00,102.00,82.00,80.00,80.00,2.00,97.00
AGR,BWO05,12.00,12.00,6.00,7.00,6.00,5.00,,,,6.00
AGR,BWO06,23.00,27.00,28.00,33.00,36.00,32.00,31.00,31.00,32.00,36.00
