dept_code,activity_code,so_num,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
ACOA,BED01,1.0,4640109.87,5207925.54,5488722.77,5083624.79,5927125.51
ACOA,BED01,2.0,7672.15,13455.949999999999,42370.149999999994,43552.69,53164.3
ACOA,BED01,4.0,112416.71,142049.07,138678.84,119914.79999999999,85315.98999999999
ACOA,BED01,5.0,100.0,,275.0,,
ACOA,BED01,7.0,292.26,151.56,30.97,35.43,
ACOA,BED01,9.0,,655.48,89.97,,
ACOA,BED01,10.0,121206591.69,43013650.230000004,30129089.64,32325221.540000003,25344218.580000002
ACOA,BED01,12.0,,926.97,133.65,1451.27,
ACOA,BED02,1.0,8425509.55,8838069.28,8351025.39,8302477.34,8903665.89
ACOA,BED02,2.0,19063.74,27843.179999999997,203770.49000000002,153079.74000000002,139331.50999999998
ACOA,BED02,3.0,16011.83,15989.0,16838.0,25000.0,35462.93
ACOA,BED02,4.0,122158.47,178423.56,148655.88999999998,166555.05,68162.56999999999
ACOA,BED02,5.0,64764.73,59966.1,63154.8,833.2,570.0
ACOA,BED02,6.0,2108.67,1360.59,969.07,3756.6,1809.38
ACOA,BED02,7.0,2032.28,1069.6399999999999,2716.87,2817.45,1227.37
ACOA,BED02,9.0,1191.8700000000001,1041.3600000000001,1010.97,108.0,
ACOA,BED02,10.0,49187476.14,95437952.73,88321090.66,103752607.25,92856446.0
ACOA,BED02,12.0,7768.58,1185.11,3045.9700000000003,12907.43,
ACOA,BED03,1.0,6860194.140000001,6688914.89,6215111.010000001,5809884.51,6617376.26
ACOA,BED03,2.0,3536.68,12143.029999999999,93809.41,80802.8,67970.15
ACOA,BED03,3.0,5183.91,654.55,,170.97,688.7
ACOA,BED03,4.0,121000.56,115234.71,92319.61,33201.43,151116.08
ACOA,BED03,5.0,296.4,397.5,,4558.48,842.4
ACOA,BED03,7.0,3498.86,1755.3,9385.41,339.53,511.0
ACOA,BED03,9.0,2515.0499999999997,1863.95,734.93,109.5,485.29
ACOA,BED03,10.0,31095360.6,14597147.98,8566098.16,8731599.07,3016782.33
ACOA,BED03,12.0,51610.240000000005,49593.11,10634.48,15782.99,5266.29
ACOA,BED04,1.0,1722012.34,1795822.22,1791232.4000000001,1503329.03,1735986.72
ACOA,BED04,2.0,771.45,213.27,21075.47,26458.84,18221.67
ACOA,BED04,4.0,13101.69,7528.8,5065.59,13872.23,1598.0
ACOA,BED04,5.0,2798.86,10775.29,800.0,3413.51,25508.34
ACOA,BED04,7.0,283.06,220.97,32.95,,
ACOA,BED04,9.0,,,187.74,269.04,39.99
ACOA,BED04,10.0,48640094.16,61262783.81,48635087.23,47512794.629999995,43461181.8
ACOA,BED04,12.0,,0.01,2119.42,5.78,
ACOA,BED05,1.0,11492535.94,11433523.62,11729967.75,11712809.02,13319843.27
ACOA,BED05,2.0,153305.44,75359.01999999999,300705.11000000004,248752.58999999997,234929.12
ACOA,BED05,3.0,73079.17,94420.90999999999,82108.28,37262.68000000001,90329.93000000001
ACOA,BED05,4.0,189227.5,251473.65,195241.37,193668.37,193180.37
ACOA,BED05,5.0,36995.28,46299.59,43930.36,43173.16,41884.68
