"dept_code","activity_code","so_num","pa_exp_last_year_5","pa_exp_last_year_4","pa_exp_last_year_3","pa_exp_last_year_2","pa_exp_last_year","pa_rev_last_year_5","pa_rev_last_year_4","pa_rev_last_year_3","pa_rev_last_year_2","pa_rev_last_year"
"ACOA","BED01",1,4647388.52,4329408.90,4640109.87,5207938.31,5617143.36,-11020.31,-1007.94,0.00,-12.77,-128420.59
"ACOA","BED01",2,124865.92,105759.73,7672.15,13455.95,48587.51,0.00,0.00,0.00,0.00,-6217.36
"ACOA","BED01",3,,46361.41,,,,,0.00,,,
"ACOA","BED01",4,63515.90,55210.07,112416.71,142049.07,139655.47,0.00,0.00,0.00,0.00,-976.63
"ACOA","BED01",5,8870.87,105.00,100.00,,275.00,0.00,0.00,0.00,,0.00
"ACOA","BED01",6,,600.00,,,,,0.00,,,
"ACOA","BED01",7,56.16,26.67,292.26,151.56,30.97,0.00,0.00,0.00,0.00,0.00
"ACOA","BED01",9,48.99,,,655.48,89.97,0.00,,,0.00,0.00
"ACOA","BED01",10,34094552.81,30987489.13,121206591.69,43013650.23,30129089.64,0.00,0.00,0.00,0.00,0.00
"ACOA","BED01",12,6425.47,2877.96,,926.97,133.65,0.00,-37005.06,,0.00,0.00
"ACOA","BED02",1,7531400.82,8362806.40,8552987.28,9063037.40,8530669.81,-3042.01,-117.34,-127477.73,-224968.12,-179644.42
"ACOA","BED02",2,429597.23,385401.70,19063.74,27843.18,203770.49,-1444.26,0.00,0.00,0.00,0.00
"ACOA","BED02",3,2518.17,16401.58,16011.83,15989.00,16838.00,0.00,0.00,0.00,0.00,0.00
"ACOA","BED02",4,240597.36,172997.38,122158.47,212831.37,148994.89,0.00,0.00,0.00,-34407.81,-339.00
"ACOA","BED02",5,61237.01,69470.93,64764.73,59966.10,63154.80,0.00,0.00,0.00,0.00,0.00
"ACOA","BED02",6,1571.54,715.72,2108.67,1360.59,969.07,0.00,0.00,0.00,0.00,0.00
"ACOA","BED02",7,13267.78,6441.04,2032.28,1069.64,2716.87,0.00,0.00,0.00,0.00,0.00
"ACOA","BED02",9,3926.51,3763.33,1191.87,1041.36,1010.97,0.00,0.00,0.00,0.00,0.00
"ACOA","BED02",10,49895725.27,53946615.34,49187476.14,95437952.73,88321090.66,0.00,0.00,0.00,0.00,0.00
"ACOA","BED02",12,4370.35,9347.18,7768.58,1185.11,3045.97,0.00,0.00,0.00,0.00,0.00
"ACOA","BED03",1,5979027.66,6867784.80,7073872.61,6894799.10,6425829.32,-39034.96,-108853.75,-213678.47,-205884.21,-210718.31
"ACOA","BED03",2,201081.96,198025.47,3536.68,12143.03,93809.41,0.00,0.00,0.00,0.00,0.00
"ACOA","BED03",3,347.24,1658.64,5183.91,654.55,,0.00,0.00,0.00,0.00,
"ACOA","BED03",4,180478.89,86266.78,121000.56,115234.71,92319.61,0.00,0.00,0.00,0.00,0.00
"ACOA","BED03",5,1741.13,927.90,296.40,397.50,,0.00,0.00,0.00,0.00,
"ACOA","BED03",6,217.39,,,,,0.00,,,,
"ACOA","BED03",7,515.16,883.55,3498.86,1755.30,9385.41,0.00,0.00,0.00,0.00,0.00
"ACOA","BED03",9,5544.74,855.84,2515.05,1863.95,734.93,0.00,0.00,0.00,0.00,0.00
"ACOA","BED03",10,53648733.63,39097588.36,31095360.60,14597147.98,8566098.16,0.00,0.00,0.00,0.00,0.00
"ACOA","BED03",12,3287.55,222260.12,51610.24,49593.11,10634.48,0.00,0.00,0.00,0.00,0.00
"ACOA","BED04",1,1973144.60,1627843.33,1735909.54,1798870.44,1869846.15,-75726.67,-130.09,-13897.20,-3048.22,-78613.75
"ACOA","BED04",2,42793.69,41336.58,771.45,213.27,21075.47,0.00,0.00,0.00,0.00,0.00
"ACOA","BED04",3,5000.00,,,,,0.00,,,,
"ACOA","BED04",4,51436.42,3703.74,13101.69,7528.80,5065.59,0.00,0.00,0.00,0.00,0.00
"ACOA","BED04",5,19753.84,5278.95,2798.86,10775.29,800.00,0.00,0.00,0.00,0.00,0.00
"ACOA","BED04",7,839.61,,283.06,220.97,32.95,0.00,,0.00,0.00,0.00
"ACOA","BED04",9,,,,,187.74,,,,,0.00
"ACOA","BED04",10,45414335.93,36186022.87,48640094.16,61262783.81,48635087.23,0.00,0.00,0.00,0.00,0.00
"ACOA","BED04",12,3296.98,1363.65,,0.01,2119.42,0.00,0.00,,0.00,0.00
"ACOA","BED05",1,9705087.53,10441891.23,11505884.24,11487915.60,11735864.79,-140622.86,-2999.66,-13348.30,-54391.98,-5897.04
"ACOA","BED05",2,768642.81,700875.00,153305.44,75359.02,300705.11,-1682.80,0.00,0.00,0.00,0.00
"ACOA","BED05",3,57776.93,181672.30,118087.93,143435.49,105911.65,0.00,-11294.20,-45008.76,-49014.58,-23803.37
"ACOA","BED05",4,911283.91,596469.35,189227.50,251473.65,195241.37,0.00,0.00,0.00,0.00,0.00
"ACOA","BED05",5,34122.33,66559.54,36995.28,46299.59,43930.36,0.00,0.00,0.00,0.00,0.00
"ACOA","BED05",7,926.38,5070.08,1499.29,1089.99,691.76,0.00,0.00,0.00,0.00,0.00
"ACOA","BED05",9,11891.94,12157.04,4831.78,3590.86,439.56,0.00,0.00,0.00,0.00,0.00
"ACOA","BED05",10,74013917.90,100115021.35,233953187.97,131087959.15,128414661.65,0.00,0.00,0.00,0.00,0.00
"ACOA","BED05",12,82025.40,45019.43,12394.11,1336.26,75.58,-282963.00,0.00,0.00,-967.50,0.00
"ACOA","BED06",1,4732537.01,4829728.46,4812840.03,4852937.92,4928795.89,-6295.37,-154.90,-16180.62,-459.84,-16565.06
"ACOA","BED06",2,323158.34,261057.23,3851.67,13609.96,139517.45,-4484.63,-5210.71,0.00,0.00,-5453.64
"ACOA","BED06",3,,,,21653.75,16.62,,,,0.00,0.00
"ACOA","BED06",4,75411.31,41086.05,32844.11,58342.23,63452.15,0.00,0.00,0.00,0.00,0.00
"ACOA","BED06",5,800.00,,220.06,175.00,4271.08,0.00,,0.00,0.00,0.00
"ACOA","BED06",7,762.39,283.42,374.38,,,0.00,0.00,0.00,,
"ACOA","BED06",9,,2369.54,1043.71,1519.36,434.02,,0.00,0.00,0.00,0.00
