dept_code,activity_code,pa_last_year_5_exp,pa_last_year_4_exp,pa_last_year_3_exp,pa_last_year_2_exp,pa_last_year_exp,pa_last_year_planned,planning_year_1,planning_year_2,planning_year_3
ACOA,BED01,125967182.7,48378814.8,35799390.99,37573800.52,31409824.38,29024935,30248310,26040212,25449212
ACOA,BED02,57848085.86,104562900.6,97112278.11,112420142.1,102006675.7,114555783,82378356,68132949,68132949
ACOA,BED03,38143196.44,21467705.02,14988093.01,14676449.28,9861038.5,45238729,45907625,41807074,41807074
ACOA,BED04,50379061.56,63077344.37,50455600.8,49060143.06,45242536.52,32824435,39251379,18718991,9704227
ACOA,BED05,245917056.5,142994085.6,140767821.4,192552161.5,149785065.4,91892094,90802782,48725169,48725169
ACOA,BED06,13618402.36,18586454.65,47112674.67,22768226.03,13490405.28,24366422,25138242,21211998,21211998
ACOA,BED07,13163971.21,15198821.82,16517332.19,18127515.62,17051400.36,19155288,19529784,17355573,12565573
ACOA,ISS00,30008659.47,29224086.46,30372836.51,31252147.77,31621352.92,28585667,28767878,28610499,28610283
AECB,BTJ01,11272970.42,11219953.44,13364239.41,14215903.33,17939761.5,15334866,17737330,18191750,18480655
AECB,BTJ02,42353756.94,43077729.93,43879869.5,47635373.55,59824250.44,52100633,61602786,61129775,62100580
AECB,BTJ03,11142050.33,11558331.86,12351562.15,13176113.43,16699263.11,14599653,17026605,17462817,17740146
AECB,BTJ04,3916108.06,4042894.33,5212644.75,5452110.1,6950362.36,6022779,6540331,6707891,6814419
AECB,BTJ05,24177760.66,26699196.78,27782970.38,31569348.87,37237247.9,33636411,34506957,35391005,35953053
AECB,ISS00,46664375.11,46942192.05,50374879.19,57995739.97,63791202.29,55961632,62270675,63866013,64880275
AECL,BAA00,281090678,261049322,304500000,346180000,363993487,,,,
AECL,BAB00,659650000,747720000,778700000,998540000,1069606513,,,,
AGR,BWN01,49132118.39,47150140.18,56134845.18,56104860.49,57202004.1,55423192,56084358,55891337,55191337
AGR,BWN02,41521153.6,59817640.84,119706407.6,126740100.6,103178222.7,51621242,108956539,96956838,39801595
AGR,BWN03,3124222.16,2637987.65,3181031.44,3200563.05,3145613.99,3288502,3306814,3268393,3268393
AGR,BWN04,522110099.9,540234533.3,576088014.8,476920882.9,492422917.8,501120588,524594932,413919379,357360298
AGR,BWN05,1368492.98,430721.38,-68498.68,1266965.86,1952773.4,1848437,872444,1262670,1595708
AGR,BWN06,4041052.07,,,,,,,,
AGR,BWN07,78341136.73,77553416.25,72326605.06,77373870.48,83214743.45,84315441,84325800,84325800,84325800
AGR,BWN09,205754040,156531542.2,27675965.48,32610316.05,9081516.98,0,21322247,20804037,0
AGR,BWN10,,,1191916.11,1357264.94,1112231.63,3183503,9438766,1440101,1440102
AGR,BWO01,378573406.8,382798012.5,387711631.1,434105283.5,426761719.2,373074790,391087940,379833098,371997640
AGR,BWO02,66199484.99,80832095.55,64474988.18,37495415.56,55316232.76,89462791,89772830,89197887,79231737
AGR,BWO03,35723614.48,28082207.27,14615509.13,15954201.77,15751250.32,20456733,20493368,13654367,3036701
AGR,BWO04,5712118.97,17169442.8,168866419.9,210374309.3,249305546.2,244852628,241831016,154391451,148609923
