dept_code,activity_code,vs_type,pa_last_year_5,pa_last_year_4,pa_last_year_3,pa_last_year_2,pa_last_year
ACOA,BED01,S,15517410.59,594399.32,698227.19,727312.16,630627.9
ACOA,BED01,V,110449772.09,47784415.480000004,35101163.800000004,36846488.36,30779196.48
ACOA,BED02,S,1795124.6,1058741.73,1180895.95,1091670.2,1053894.24
ACOA,BED02,V,56052961.260000005,103504158.82,95931382.16,111328471.86,100952781.41
ACOA,BED03,S,1663145.43,879376.98,855873.98,774477.9199999999,721848.3
ACOA,BED03,V,36480051.01,20588328.04,14132219.03,13901971.36,9139190.2
ACOA,BED04,S,1548227.82,220354.49,238943.09999999998,234248.67,185962.13
ACOA,BED04,V,48830833.739999995,62856989.879999995,50216657.7,48825894.38999999,45056574.39
ACOA,BED05,S,37869291.01,1464284.83,1507925.49,1536170.52,1490820.35
ACOA,BED05,V,208047765.47,141529800.72,139259895.93,191015991.02,148294245.06
ACOA,BED06,S,812213.1900000001,616963.65,643922.01,652294.69,614477.8099999999
ACOA,BED06,V,12806189.17,17969491.0,46468752.660000004,22115931.34,12875927.47
ACOA,BED07,S,1135349.1099999999,1108315.01,1212198.69,1320066.52,1386570.57
ACOA,BED07,V,12028622.1,14090506.81,15305133.5,16807449.1,15664829.79
ACOA,ISS00,S,2969055.35,2896322.03,2928256.7600000002,3143484.12,3259638.82
ACOA,ISS00,V,27039604.12,26327764.43,27444579.750000004,28108663.65,28361714.1
AECB,BTJ01,S,8521956.69,8551736.24,9836670.01,10564707.75,13065698.61
AECB,BTJ01,V,2751013.73,2668217.2,3527569.4,3651195.58,4874062.890000001
AECB,BTJ02,S,31840869.14,32612804.51,32295714.09,35007541.74,43257144.730000004
AECB,BTJ02,V,10512887.799999999,10464925.42,11584155.41,12627831.81,16567105.71
AECB,BTJ03,S,8397724.47,8763751.89,9092371.719999999,9774665.77,12184344.6
AECB,BTJ03,V,2744325.86,2794579.9699999997,3259190.43,3401447.6599999997,4514918.51
AECB,BTJ04,S,2975016.0,3088943.77,3843027.4000000004,4060603.83,5085378.1
AECB,BTJ04,V,941092.06,953950.56,1369617.35,1391506.27,1864984.26
AECB,BTJ05,S,18019799.900000002,20002036.31,20166735.89,22729894.44,26378183.48
AECB,BTJ05,V,6157960.76,6697160.470000001,7616234.49,8839454.43,10859064.42
AECB,ISS00,S,34860874.96,35409226.9,36844437.260000005,39364734.339999996,45987729.43
AECB,ISS00,V,11803500.15,11532965.15,13530441.93,18631005.63,17803472.86
AECL,BAA00,S,5200000.0,,,,
AECL,BAA00,V,275890678.0,261049322.0,304500000.0,346180000.0,363993487.0
AECL,BAB00,V,659650000.0,747720000.0,778700000.0,998540000.0,1069606513.0
AGR,BWN01,S,2913997.38,2668827.23,2828003.54,3476803.55,3136978.27
AGR,BWN01,V,46218121.010000005,44481312.95,53306841.64,52628056.94,54065025.83
AGR,BWN02,S,4592048.05,2954196.6,3009047.51,3092780.92,3188325.9299999997
AGR,BWN02,V,36929105.55,56863444.239999995,116697360.08,123647319.68,99989896.80999999
AGR,BWN03,S,290604.57,196373.31,274600.96,307727.39999999997,299814.24
AGR,BWN03,V,2833617.59,2441614.3400000003,2906430.48,2892835.6500000004,2845799.75
AGR,BWN04,S,460009393.88,460774004.33,459642223.31,295020332.47999996,260232619.54
AGR,BWN04,V,62100706.06,79460528.97,116445791.47,181900550.41,232190298.29000002
AGR,BWN05,S,1368492.9800000007,430721.38000000035,-68498.67999999865,1266965.8600000006,1952773.4000000004
AGR,BWN06,S,340631.64,,,,
AGR,BWN06,V,3700420.43,,,,
AGR,BWN07,S,66646.68,57381.630000000005,44530.13,24407.25,19215.59
AGR,BWN07,V,78274490.05,77496034.62,72282074.93,77349463.22999999,83195527.86
AGR,BWN09,S,173851595.91,408594.53,455764.2,486842.86,472064.6
AGR,BWN09,V,31902444.099999998,156122947.68,27220201.28,32123473.189999998,8609452.379999999
AGR,BWN10,S,,,137049.16,191522.04,137198.52000000002
AGR,BWN10,V,,,1054866.95,1165742.9,975033.1099999999
AGR,BWO01,S,36896005.83,35525073.379999995,36979967.69,42675635.03,41721997.9
AGR,BWO01,V,341677401.0,347272939.1,350731663.41,391429648.50000006,385039721.31
AGR,BWO02,S,3114789.7299999995,3336770.66,3114697.0799999996,2205182.27,2489191.75
AGR,BWO02,V,63084695.26,77495324.89,61360291.099999994,35290233.29,52827041.01
AGR,BWO03,S,429255.85,509122.55,413952.35000000003,506385.21,260695.3
AGR,BWO03,V,35294358.629999995,27573084.720000003,14201556.78,15447816.559999999,15490555.02
AGR,BWO04,S,131153.58000000002,218028.43,781085.84,1313585.0899999999,1846641.22
AGR,BWO04,V,5580965.390000001,16951414.37,168085334.04999998,209060724.17000002,247458904.98000002
AGR,BWO05,S,67700567.21000001,167144.09,68885.92,66784.7,88236.70999999999
AGR,BWO05,V,51214840.92,31578592.83,12550957.66,11416666.0,1207859.53
AGR,BWO06,S,307483.76,348407.66,382854.97,511101.73000000004,542798.72
AGR,BWO06,V,116618960.16,116543758.57,116075860.98,119678146.5,157950555.39
