dept,activity,mandate
INAC,ANA00,136
INAC,CKC00,220
INAC,CKC00,260
INAC,CKC00,80
INAC,CKC00,58
FO,HGZ00,249
FO,HGZ00,71
FO,HGZ00,110A
FO,HGZ00,41
INAC,CKA00,206
FO,HGN00,143
LAC,BHD00,86
NFB,BLT00,216D
NFB,BLT00,260
NFB,BLT00,227
GSC,BEQ00,117
GSC,AZA00,280
GSC,AZA00,36
GSC,AZA00,48
GSC,AZA00,195
NR,BLP00,65G
NR,BLP00,176
CTA,BAO00,167A
CTA,BAO00,107
CTA,BAO00,185D
CTA,BAO00,184
PSST,AES00,75
PSST,AES00,68
PSST,AES00,65D
PSSRB,AEO00,12
CIRB,ALJ00,61D
CIRB,ALJ00,90
CIRB,ALJ00,282
CIRB,ALJ00,261
CDC,AAL00,31B
CDC,AAL00,31A
CDC,AAL00,299
CDC,AAL00,234
SEN,AVQ00,246
CBSA,AXB00,293
IRB,AFR00,39
IRB,AFR00,173
IRB,AFR00,242
SWC,CCB00,264
PCO,BEB00,177E
PCO,BEB00,31C
NRTEE,AWK00,30G
NRTEE,AWK00,33A
NRTEE,AWK00,140
NRTEE,AWK00,139
ND,AUR00,128B
ND,AUR00,210
ND,AUR00,76
ND,AUR00,299
CMHC,BIJ00,178
CMHC,BIJ00,137
CMHC,BIJ00,105B
CMHC,BIJ00,178
FO,HGT00,41
FO,HGT00,298
FO,HGT00,152
FO,HGT00,176
CFIA,AJY00,33A
CFIA,AJY00,83
CFIA,AJY00,166
CFIA,AJY00,276
CCRA,ABW00,49
CCRA,ABW00,166
CCRA,ABW00,298
CCRA,ABW00,21
FO,HGP00,249
FO,HGP00,206
FO,HGP00,37
FO,HGP00,216D
FO,LJB00,137
CCRA,ABX00,65J
CCRA,ABX00,145
CCRA,ABX00,258
CCRA,ABX00,246
AECL,ATV00,50A
AECL,ATV00,30D
CH,ADB00,133
CH,ADB00,306
NSERC,APP00,262
NFB,AEA00,287
CTAIB,AVX00,200
CTAIB,AVX00,47
TC,BBO00,235
TC,BBO00,62
TC,BBO00,236
TC,BCQ00,27
TC,BCQ00,226
TC,BCQ00,238
CCRA,ABY00,65A
EC,AGL00,85
EC,AGL00,144
FO,HGQ00,229
FO,HGQ00,177D
FO,HGQ00,94
FO,HGQ00,167A
OICC,BKR00,216B
IJC,AJU00,80
IJC,AJU00,243
IJC,AJU00,43.1
OICC,BKM00,184
OICC,BKM00,121
OICC,BKM00,297
OICC,BKM00,228
CNEDA,BMH00,185B
CNEDA,BMH00,135
CNEDA,BMH00,30D
FORDQ,BNI00,84
FORDQ,BNI00,230
FORDQ,BNI00,160
WDO,BCC00,207A
WDO,BCC00,28
WDO,CJA00,199
AGR,AAA00,217.1
AGR,AAA00,216A
AGR,AAA00,213
AGR,AAA00,144
CPC,ABU00,20
CPC,ABU00,152
VAC,BCX00,158B
CBC,ACH00,191
CBC,ACH00,90
CBC,ACH00,92
CBC,ACH00,80
FO,LJH00,294
CCC,AQS00,127C
CCC,AQS00,110A
CRTC,CAA00,139
CRTC,CAA00,56
CRTC,CAA00,207C
CIDA,BHT00,191
CIDA,BHT00,304
CIDA,BHT00,30B
CIDA,BHT00,128C
H,BMA00,109
H,BMA00,113B
H,BMA00,173
ND,AVJ00,170
ND,AVJ00,110B
CI,LJZ00,210
CI,LJZ00,197
CI,LJZ00,146
FJA,ARP00,104
FJA,ARP00,185C
FJA,ARP00,33B
RCMP,AYR00,128B
CMHR,ACW00,213
CMHR,ACW00,107
CMC,ACT00,244
CMC,ACT00,198
CMI,ADT00,15
CMI,ADT00,31B
CMI,ADT00,30E
CMI,ADT00,30A
CMN,ACV00,108
CMN,ACV00,84
AGR,AAB00,159
AGR,AAB00,45.1
ND,AUX00,130
ND,AUX00,264
ND,AUX00,154
ND,AUX00,283
RCMP,HGE00,15
CRTC,ACY00,198
CRTC,ACY00,30F
TOUR,AOB00,280
TOUR,AOB00,189.1
SC,AQO00,117
SC,AQO00,53
SC,AQO00,210
SC,AQO00,177A
APPRT,AMB00,142
