"dept_code","so_num","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"ACOA",1,61910000,15226000,15226000,58738000,16243000,16243000
"ACOA",2,2310000,690000,690000,2316000,564000,564000
"ACOA",3,431000,53000,53000,432000,71000,71000
"ACOA",4,4742000,406000,406000,4757000,325000,325000
"ACOA",5,1807000,248000,248000,1812000,268000,268000
"ACOA",6,1470000,12000,12000,1472000,167000,167000
"ACOA",7,423000,98000,98000,424000,99000,99000
"ACOA",9,1318000,454000,454000,1322000,277000,277000
"ACOA",10,250943000,27804000,27804000,240222000,22853000,22853000
"ACOA",12,82000,196000,196000,70000,-136000,-136000
"AECB",1,102473000,24206000,24206000,96965000,22639000,22639000
"AECB",2,5331000,1276000,1276000,5476000,1384000,1384000
"AECB",3,1198000,236000,236000,1269000,301000,301000
"AECB",4,18038000,2660000,2660000,17424000,1950000,1950000
"AECB",5,5644000,642000,642000,5416000,555000,555000
"AECB",6,1705000,138000,138000,1642000,95000,95000
"AECB",7,707000,85000,85000,794000,53000,53000
"AECB",9,3905000,408000,408000,3894000,554000,554000
"AECB",10,1770000,406000,406000,2502000,788000,788000
"AECB",12,31000,159000,159000,28000,96000,96000
"AGR",1,500315000,122404000,122404000,470488000,119751000,119751000
"AGR",2,11304000,2567000,2567000,11649000,2508000,2508000
"AGR",3,5956000,1442000,1442000,6156000,1232000,1232000
"AGR",4,90784000,12321000,12321000,104330000,13249000,13249000
"AGR",5,5664000,2802000,2802000,2685000,2715000,2715000
"AGR",6,11369000,1509000,1509000,17193000,1658000,1658000
"AGR",7,38616000,5296000,5296000,44288000,5461000,5461000
"AGR",8,51820000,431000,431000,31928000,3790000,3790000
"AGR",9,31053000,2190000,2190000,47851000,2309000,2309000
"AGR",10,1827049000,37283000,37283000,1618306000,47277000,47277000
"AGR",12,8399000,4208000,4208000,8621000,2556000,2556000
"AGR",20,-57069000,-13424000,-13424000,-57133000,-11003000,-11003000
"ATSSC",1,73420523,15112868,15112868,63436938,15846506,15846506
"ATSSC",2,3932933,554744,554744,3922308,519051,519051
"ATSSC",3,719064,212573,212573,763549,240966,240966
"ATSSC",4,9120880,836856,836856,8313656,530710,530710
"ATSSC",5,3745301,368539,368539,1962740,564658,564658
"ATSSC",6,377240,53847,53847,273612,42682,42682
"ATSSC",7,754318,242218,242218,806498,277766,277766
"ATSSC",8,3261460,78894,78894,1871415,49391,49391
"ATSSC",12,292444,102,102,283386,6086,6086
"ATSSC",20,-30380379,0,0,-17690600,0,0
"CAS",1,52124000,14569000,14569000,49058000,12672000,12672000
"CAS",2,2634000,573000,573000,2989000,462000,462000
"CAS",3,429000,314000,314000,503000,192000,192000
"CAS",4,10921000,1084000,1084000,10671000,1109000,1109000
"CAS",5,1461000,831000,831000,1713000,622000,622000
"CAS",6,1003000,39000,39000,1112000,24000,24000
"CAS",7,2191000,789000,789000,2569000,556000,556000
"CAS",8,2536000,0,0,2265000,0,0
"CAS",9,4517000,218000,218000,4358000,133000,133000
"CAS",12,8000,28000,28000,11000,0,0
"CB",1,2249000,488000,488000,2205000,485000,485000
"CB",2,60000,8000,8000,50000,14000,14000
"CB",3,185000,102000,102000,140000,149000,149000
"CB",4,630000,98000,98000,639000,145000,145000
"CB",5,95000,8000,8000,120000,19000,19000
"CB",6,5000,4000,4000,30000,3000,3000
"CB",7,80000,12000,12000,60000,6000,6000
"CB",9,15000,14000,14000,30000,1000,1000
"CB",12,0,1000,1000,0,4000,4000
"CBSA",1,1384584000,320216000,320216000,1336978000,314117000,314117000
"CBSA",2,44381000,8890000,8890000,63455000,6933000,6933000
"CBSA",3,8320000,181000,181000,3721000,137000,137000
"CBSA",4,257271000,37391000,37391000,303021000,29937000,29937000
"CBSA",5,6594000,1142000,1142000,9964000,623000,623000
"CBSA",6,32238000,3837000,3837000,27931000,2343000,2343000
"CBSA",7,20588000,1870000,1870000,18306000,1903000,1903000
"CBSA",8,87751000,1307000,1307000,89172000,1228000,1228000
"CBSA",9,107133000,2501000,2501000,116921000,2216000,2216000
"CBSA",12,22061000,2463000,2463000,28252000,1447000,1447000
"CBSA",20,-18430000,-3511000,-3511000,-18430000,-3250000,-3250000
"CCMD",1,65493000,11982000,11982000,62790000,11668000,11668000
"CCMD",2,2004000,402000,402000,1821000,313000,313000
"CCMD",3,678000,143000,143000,550000,102000,102000
"CCMD",4,16824000,3486000,3486000,15500000,1034000,1034000
"CCMD",5,774000,50000,50000,381000,100000,100000
"CCMD",6,2493000,2000,2000,2000000,2000,2000
"CCMD",7,426000,45000,45000,363000,24000,24000
"CCMD",9,2327000,76000,76000,2075000,81000,81000
"CCMD",12,53000,15000,15000,35000,3000,3000
"CCRA",1,3318237000,1027810000,1027810000,3252834000,906796000,906796000
"CCRA",2,170626000,33758000,33758000,184800000,32291000,32291000
"CCRA",3,1956000,293000,293000,2121000,246000,246000
"CCRA",4,472433000,117336000,117336000,376107000,75497000,75497000
"CCRA",5,280850000,67294000,67294000,360912000,75059000,75059000
"CCRA",6,59601000,8832000,8832000,73237000,10983000,10983000
"CCRA",7,25047000,4577000,4577000,37185000,3678000,3678000
"CCRA",9,36233000,6579000,6579000,79437000,1854000,1854000
"CCRA",10,335000000,83727000,83727000,340000000,84273000,84273000
"CCRA",11,0,5000,5000,0,0,0
"CCRA",12,200000,5838000,5838000,2400000,23000,23000
"CCRA",20,-348525000,-88753000,-88753000,-342482000,-92543000,-92543000
"CEAA",1,25749131,7332330,7332330,25442282,7313285,7313285
"CEAA",2,1027331,200856,200856,1371775,216269,216269
"CEAA",3,204350,44931,44931,412231,68475,68475
"CEAA",4,2036805,407136,407136,4577836,1044785,1044785
"CEAA",5,2590661,54515,54515,291124,13100,13100
"CEAA",6,4467,256,256,0,448,448
"CEAA",7,111666,16693,16693,116450,9957,9957
"CEAA",9,682282,18092,18092,874536,347092,347092
"CEAA",10,4715000,810546,810546,4965000,320261,320261
"CEAA",12,508082,1068,1068,0,0,0
"CEAA",20,-4000000,-235464,-235464,-4000000,-492558,-492558
"CEO",1,40115000,16809000,16809000,37165000,15190000,15190000
"CEO",2,1347000,1347000,1347000,851000,851000,851000
"CEO",3,445000,445000,445000,474000,474000,474000
"CEO",4,6031000,6031000,6031000,3984000,3984000,3984000
"CEO",5,3277000,3277000,3277000,3234000,3234000,3234000
"CEO",6,253000,253000,253000,151000,151000,151000
"CEO",7,221000,221000,221000,612000,612000,612000
"CEO",8,0,0,0,4000,4000,4000
"CEO",9,168000,168000,168000,259000,259000,259000
"CEO",10,604000,604000,604000,-521000,-521000,-521000
"CEO",12,12000,12000,12000,23000,23000,23000
"CFGB",1,4633473,1055439,1055439,4578642,1067416,1067416
"CFGB",2,107750,5315,5315,70200,7304,7304
"CFGB",3,63100,197,197,28800,1163,1163
"CFGB",4,942700,101845,101845,1284984,78486,78486
"CFGB",5,720000,20314,20314,710000,23795,23795
"CFGB",6,26100,0,0,5200,879,879
"CFGB",7,25700,743,743,10600,1201,1201
"CFGB",9,237814,3327,3327,29400,2544,2544
"CFGB",12,5000,1951,1951,5000,1223,1223
"CFIA",1,560371000,140226000,140226000,564349000,139512000,139512000
"CFIA",2,18863000,2645000,2645000,14057000,2665000,2665000
"CFIA",3,2576000,312000,312000,1576000,146000,146000
"CFIA",4,65856000,9931000,9931000,86165000,8361000,8361000
"CFIA",5,14587000,490000,490000,14395000,232000,232000
"CFIA",6,11396000,3105000,3105000,12316000,2422000,2422000
"CFIA",7,16941000,2160000,2160000,29365000,2574000,2574000
"CFIA",8,0,0,0,0,0,0
"CFIA",9,12445000,1402000,1402000,11708000,1509000,1509000
"CFIA",10,13969000,524000,524000,4319000,2615000,2615000
"CFIA",12,2249000,883000,883000,2205000,82000,82000
"CGC",1,43203000,10815000,10815000,42646000,10387000,10387000
"CGC",2,2885000,618000,618000,3515000,604000,604000
"CGC",3,279000,31000,31000,330000,36000,36000
"CGC",4,3485000,875000,875000,2677000,303000,303000
"CGC",5,6478000,1501000,1501000,5979000,1411000,1411000
"CGC",6,1243000,303000,303000,1931000,317000,317000
"CGC",7,1250000,343000,343000,880000,248000,248000
"CGC",9,3810000,345000,345000,4423000,297000,297000
"CGC",12,0,167000,167000,0,68000,68000
"CGC",20,-57126000,-14240000,-14240000,-57082000,-21583000,-21583000
"CH",1,179913000,44635000,44635000,176300000,42872000,42872000
"CH",2,3692000,916000,916000,6532000,828000,828000
"CH",3,3580000,285000,285000,5283000,774000,774000
"CH",4,19160000,3509000,3509000,37736000,5234000,5234000
"CH",5,3940000,786000,786000,6980000,876000,876000
"CH",6,871000,78000,78000,2220000,164000,164000
"CH",7,2988000,379000,379000,5304000,994000,994000
"CH",9,5294000,267000,267000,3689000,170000,170000
"CH",10,1102979000,256591000,256591000,1217454000,266985000,266985000
"CH",12,1708000,2069000,2069000,2707000,1321000,1321000
"CH",20,-9957000,-882000,-882000,-12607000,-767000,-767000
"CHRC",1,19806639,4851180,4851180,19161896,4744543,4744543
"CHRC",2,1100000,134457,134457,900000,120108,120108
"CHRC",3,260000,27713,27713,200000,40592,40592
"CHRC",4,2376224,176290,176290,1831224,210931,210931
"CHRC",5,400000,96747,96747,300000,66012,66012
"CHRC",6,140000,8394,8394,100000,18090,18090
"CHRC",7,180000,16140,16140,130000,19840,19840
"CHRC",8,0,1528,1528,0,1500,1500
"CHRC",9,500000,13006,13006,400000,6133,6133
"CHRC",12,5000,0,0,0,0,0
"CHRC",20,-2300000,-433412,-433412,-1200000,-463152,-463152
"CI",1,615265000,150941000,150941000,574348000,133612000,133612000
"CI",2,51758000,10815000,10815000,57675000,12257000,12257000
"CI",3,11443000,506000,506000,4500000,800000,800000
"CI",4,598613000,80286000,80286000,445976000,72268000,72268000
"CI",5,31114000,9363000,9363000,12647000,9782000,9782000
"CI",6,10282000,675000,675000,6794000,125000,125000
"CI",7,31898000,6397000,6397000,51872000,8670000,8670000
"CI",9,37270000,928000,928000,28602000,222000,222000
"CI",10,1356449000,422124000,422124000,1231051000,357024000,357024000
"CI",12,25487000,21423000,21423000,4042000,5240000,5240000
"CI",20,-394797000,-124343000,-124343000,-619265000,-164717000,-164717000
"CICS",1,2924372,577824,577824,2877953,611818,611818
"CICS",2,929000,71756,71756,929000,70873,70873
"CICS",3,45300,300,300,45300,0,0
"CICS",4,1405900,52322,52322,1505900,64628,64628
"CICS",5,466000,39719,39719,366000,21691,21691
"CICS",6,29000,4525,4525,29000,43,43
"CICS",7,31000,111,111,31000,11093,11093
"CICS",9,140000,4411,4411,140000,0,0
"CICS",12,506,66855,66855,506,72185,72185
"CIHR",1,42951000,11637000,11637000,42880000,11457000,11457000
"CIHR",2,5725000,1501000,1501000,3965000,1362000,1362000
"CIHR",3,303000,94000,94000,491000,87000,87000
"CIHR",4,6912000,638000,638000,8851000,522000,522000
"CIHR",5,1559000,483000,483000,1135000,355000,355000
"CIHR",6,51000,0,0,52000,0,0
"CIHR",7,272000,2000,2000,129000,3000,3000
"CIHR",9,803000,224000,224000,949000,238000,238000
"CIHR",10,1043857000,188259000,188259000,1027149000,179275000,179275000
"CIHR",12,0,153000,153000,0,138000,138000
