"dept_code","vote_num","vs_type","name_en","name_fr","in_year_auth","in_year_quarter_exp","in_year_cumul_exp","last_year_auth","last_year_quarter_exp","last_year_cumul_exp"
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme",63352000,15885000,15885000,64222000,14901000,14901000
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions",240222000,22853000,22853000,243460000,20019000,20019000
"ACOA","S",999,"Statutory Authorities","Autorisations législatives",7991000,1993000,1993000,8815000,2204000,2204000
"AECB",1,1,"Operating and Program","Fonctionnement et Programme",37940000,7799000,7799000,38687000,7342000,7342000
"AECB","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",4191000,1048000,1048000,4609000,1152000,1152000
"AECB","S",999,"Expenditures pursuant to subsection 21(3) of the Nuclear Safety and Control Act","Dépenses en vertu du paragraphe 21(3) de la Loi sur la sûreté et la réglementation nucléaires",93279000,19568000,19568000,91443000,18330000,18330000
"AECB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",0,0,0,28000,0,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme",541800000,124066000,124066000,536955000,115850000,115850000
"AGR",5,2,"Capital","Capital",74990000,5175000,5175000,81993000,3731000,3731000
"AGR",10,3,"Grants & Contributions","Subventions et Contributions",375882000,14729000,14729000,343252000,15002000,15002000
"AGR","S",999,"Statutory Authorities","Autorisations législatives",1313690000,47533000,47533000,1319830000,46598000,46598000
"ATSSC",1,1,"Operating and Program","Fonctionnement et Programme",55285874,15980008,15980008,51533784,16145948,16145948
"ATSSC","S",999,"Statutory Authorities","Autorisations législatives",8657629,2097806,2097806,9413110,2286293,2286293
"CAS",1,1,"Operating and Program","Fonctionnement et Programme",68590000,14104000,14104000,65200000,14721000,14721000
"CAS","S",999,"Contributions to Employee Benefit Plans","Contributions aux régimes d’avantages sociaux des employés",6657000,1664000,1664000,7152000,1788000,1788000
"CAS","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",2000,2000,2000,1000,1000,1000
