original_name,standardized_name
(A.C.C.E.S.) Accessible Community Counselling and Employment Services,Accessible Community Counselling and Employment Services
(CAHRD) Centre for Aboriginal Human Resource Development Inc,Centre for Aboriginal Human Resource Development Inc
007 Livestock Feeders Ltd,007 Livestock Feeders Ltd
0741594 Holdings Ltd,0741594 Holdings Ltd
0831517 BC Ltd,0831517 BC Ltd
0853797 BC Ltd,0853797 BC Ltd
0865894 B.C. Ltd (Agritech North),0865894 B.C. Ltd (Agritech North)
0869624 B.C. Ltd,0869624 BC Ltd
0869624 BC Ltd,0869624 BC Ltd
0890278 B C Ltd,0890278 B C Ltd
0890278 B.C. Ltd,0890278 BC Ltd
0890278 BC Ltd,0890278 BC Ltd
0932591 B.C. Ltd,0932591 BC Ltd
0939292 BC Ltd,0939292 BC Ltd
0986763 BC Ltd,0986763 BC Ltd
0988081 BC Ltd,0988081 BC Ltd
0995316 BC Ltd,0995316 BC Ltd
0rijin Village,0rijin Village
10 Carden Shared Space,10 Carden Shared Space
100 Acre Wood Inc,100 Acre Wood Inc
100 Nons Inc,100 Nons inc
100 Nons inc,100 Nons inc
1000 Islands Community Development Corporation,1000 Islands Community Development Corporation
10039365 Canada Inc - Chalets Baie des Plongeurs,10039365 Canada Inc - Chalets Baie des Plongeurs
10040629 Manitoba Ltd,10040629 Manitoba Ltd
10042801 MB Ltd,10042801 MB Ltd
100478 PEI Inc,100478 PEI Inc
1006029 Ontario Inc,1006029 Ontario Inc
10086428 Canada Inc (Outgo Web Services (OWS)),Outgo Web Services
10100530 Manitoba Ltd,10100530 Manitoba Ltd
101082401 Saskatchewan Ltd,101082401 Saskatchewan Ltd
101122387 Saskatchewan Ltd,101122387 Saskatchewan Ltd
101208383 Saskatchewan Ltd,101208383 Saskatchewan Ltd
101265496 Saskatchewan Ltd,101265496 Saskatchewan Ltd
10138121 Manitoba Inc,10138121 Manitoba Inc
101399 PEI Inc,101399 PEI Inc
101412 P.E.I. Inc ( Acorn Press),Acorn Press
101435 PEI Inc,101435 PEI Inc
101497 PEI Inc,101497 PEI Inc
10156213 Canada Ltd,10156213 Canada Ltd
101586 PEI Inc,101586 PEI Inc
1017907 Ontario Inc,1017907 Ontario Inc
101792 PEI Inc,101792 PEI Inc
102003869 Saskatchewan Corp (Oa: Kicih Awasis Family Services),Kicih Awasis Family Services
102038000 Saskatchewan Corp,102038000 Saskatchewan
102062448 Saskatchewan Ltd,102062448 Saskatchewan Ltd
102069557 Saskatchewan Ltd,102069557 Saskatchewan Ltd
"102119034 Saskatchewan Ltd, 102050303 Saskatchewan Ltd, 624533 BC Ltd, 671392 BC Ltd","102119034 Saskatchewan Ltd, 102050303 Saskatchewan Ltd, 624533 BC Ltd, 671392 BC Ltd"
102128890 Saskatchewan Ltd,102128890 Saskatchewan Ltd
102320 PEI Inc,102320 PEI Inc
1024248 Ontario Inc,1024248 Ontario Inc
102840 PEI Inc,102840 PEI Inc
10284068 Canada Inc - Edgard,10284068 Canada Inc - Edgard
10311669 Canada Corp,10311669 Canada Corp
10312487 Canada Inc (Solucan),Le Groupe Solucan
10312487 Canada Inc - Le Groupe SoluCan,Le Groupe Solucan
10312487 Canada Inc - Le Groupe Solucan,Le Groupe Solucan
10320633 Canada Inc,10320633 Canada Inc
10320633 Canada Inc.,10320633 Canada Inc
10320633 Canada inc,10320633 Canada inc
10380008 Canada Inc,10380008 Canada Inc
1039521 Ontario Inc,1039521 Ontario Inc
10408875 Canada Inc,10408875 Canada Inc
10432423 Canada Ltd,10432423 Canada Ltd
10498700 Canada Inc,10498700 Canada Inc
10498700 Canada Inc - M0851,10498700 Canada Inc
1054204 Ontario Inc,1054204 Ontario Inc
1054642 Ontario Inc,1054642 Ontario Inc
10546950 Canada Inc,10546950 Canada Inc
1055466 Ontario Inc,1055466 Ontario Inc
10565 Nfld Inc,10565 Nfld Inc
10566 Energy NL Inc,10566 Energy NL Inc
10567329 Canada Inc - Ryu Westmount,Ryu Westmount
10583308 Canada Inc,10583308 Canada Inc
10584231 Canada Inc - Plannit,Plannit
10584231 Canada Inc - Plannit MC,Plannit
10591971 Canada Centre,10591971 Canada Centre
10594237 Canada Inc - Koena Spa et bains nordiques,Koena Spa et bains nordiques
1059434 Ontario Inc,1059434 Ontario Inc
10647802 Canada Limited O/A Outland-Carillion,Outland-Carillion
10647802 Canada Ltd,Outland-Carillion
1067084 BC Ltd,1067084 BC Ltd
10684210 Canada Inc,10684210 Canada Inc
10693103 Canada Inc - Pourvoirie de la Lièvre,Pourvoirie de la Lièvre
10696056 Canada Inc,Widescape
10696056 Canada Inc - Widescape,Widescape
10703273 Canada Inc,10703273 Canada Inc
1072552 BC Ltd,1072552 BC Ltd
10731617 Canada Inc,10731617 Canada Inc
10736406 Canada Inc,10736406 Canada Inc
1076905 Ontario Ltd,1076905 Ontario Ltd
1077333 BC Ltd,1077333 BC Ltd
10774847 Canada Inc,10774847 Canada Inc
10793574 Canada Association,10793574 Canada Association
10849553 Canada Association - Cybereco,10849553 Canada Association - Cybereco
10947482 Canada Inc,10947482 Canada Inc
10965359 Canada Inc,10965359 Canada Inc
10E Ave productions Inc,10th Ave Productions Inc
10th Ave Productions Inc.,10th Ave Productions Inc
11008722 Canada Inc - Restaurant Ryu Griffintown,Restaurant Ryu Griffintown
11008790 Canada Inc - Restaurant Ayla,Restaurant Ayla
11015559 Canada Inc- Restaurant Ryu Peel,Restaurant Ryu Peel
11017624 Canada Corp,11017624 Canada Corp
11027638 Canada Foundation,11027638 Canada Foundation
11062069 Canada Inc,11062069 Canada Inc
11081233 Canada Inc,11081233 Canada Inc
11084836 Canada Inc,11084836 Canada Inc
1111310 Ontario Ltd,1111310 Ontario Ltd
11114140 Canada Inc,11114140 Canada Inc
1113235 Ontario Ltd,1113235 Ontario Ltd
11157337 Canada Corp,11157337 Canada Corp
11166948 Canada Inc,11166948 Canada Inc
11281232 Canada Inc,11281232 Canada Inc
11309692 Canada Inc,11309692 Canada Inc
11323075 Canada Inc - Médias Addope,Médias Addope
11335928 Canada Inc,11335928 Canada Inc
1136811 Ontario inc,1136811 Ontario inc
"1138511 Alberta Ltd, Dene Tha' First Nation",Dene Tha' First Nation
11399527 Canada Society,11399527 Canada Society
11412302 Canada Inc,11412302 Canada Inc
11414135 Canada Ltd,11414135 Canada Ltd
11464884 Canada Inc - Livia Adm,Livia Adm
1146495 Ontario Inc,1146495 Ontario Inc
1147785 Ontario Ltd,1147785 Ontario Ltd
11497235 Canada Inc,11497235 Canada Inc
1155776 BC Ltd,1155776 BC Ltd
11570935 Canada Inc (dba RedX),dba RedX
1157341 BC Ltd,1157341 BC Ltd
11590227 Canada Association,11590227 Canada Association
11593765 Canada Association,11593765 Canada Association
11651684 Canada Inc,11651684 Canada Inc
11656520 Canada Inc,11656520 Canada Inc
11671936 Canada Inc - Apikol,Apikol
1168031 Ontario Inc,1168031 Ontario Inc
1171142 BC ltd,1171142 BC Ltd
