id,stable_id,subject_id,name_en,name_fr,doc
DR-drr18-1,DR-1,OAG-BGX00,Well-managed and accountable government,Un gouvernement bien géré et responsable,drr18
PROGRAM-drr18-1,PROGRAM-1,OAG-BGX01,Well-managed and accountable government,Un gouvernement bien géré et responsible,drr18
DR-drr18-2,DR-2,SSHRC-BNT00,Canada’s social sciences and humanities research is internationally competitive,La recherche en sciences humaines canadienne est concurrentielle à l’échelle internationale.,drr18
PROGRAM-drr18-2,PROGRAM-2,SSHRC-BNT01,Individuals and teams engage in research and research-related activities,Des chercheurs seuls et en équipe participent à des travaux de recherche et à des activités connexes,drr18
DR-drr18-3,DR-3,SSHRC-BNT00,Canada has a pool of highly skilled people in the social sciences and humanities,Le Canada a un bassin de personnes hautement qualifiées en sciences humaines.,drr18
PROGRAM-drr18-3,PROGRAM-3,SSHRC-BNT02,Research knowledge is produced and mobilized,Des connaissances issues de la recherche sont acquises et mobilisées,drr18
DR-drr18-4,DR-4,SSHRC-BNT00,Canada’s social sciences and humanities research knowledge is used,Les connaissances canadiennes en sciences humaines sont utilisées.,drr18
PROGRAM-drr18-4,PROGRAM-4,SSHRC-BNT02,"Students and postdoctoral researchers enhance their research, professional, and knowledge mobilization skills","Des étudiants et des chercheurs postdoctoraux améliorent leurs compétences en recherche, leurs compétences professionnelles et leur capacité de mobiliser les connaissances",drr18
DR-drr18-5,DR-5,SSHRC-BNU00,Canada’s university and college research environments are strong,Les environnements de recherche universitaires et collégiaux du Canada sont solides.,drr18
PROGRAM-drr18-5,PROGRAM-5,SSHRC-BNT03,Partnerships are established,Des partenariats sont établis,drr18
DR-drr18-6,DR-6,PSEP-BVS00,National security threats are understood and reduced,Les menaces à la sécurité publique sont mieux comprises et atténuées,drr18
PROGRAM-drr18-6,PROGRAM-6,SSHRC-BNU01,Investment in research resources,Des investissements sont faits pour les ressources en matière de recherche,drr18
DR-drr18-7,DR-7,PSEP-BVT00,Community safety practices are strengthened,Les pratiques de sécurité communautaire sont renforcées,drr18
PROGRAM-drr18-7,PROGRAM-7,PSEP-BVS01,National security threats are understood and reduced,On comprend les menaces et on prend des mesures pour réduire les menaces à la sécurité nationale,drr18
DR-drr18-8,DR-8,PSEP-BVT00,Canadian communities are safe,Les collectivités canadiennes sont en sécurité,drr18
PROGRAM-drr18-8,PROGRAM-8,PSEP-BVS02,Canada’s Critical Infrastructure is secure and resilient,Les infrastructures essentielles du Canada sont sûres et résilientes,drr18
DR-drr18-9,DR-9,PSEP-BVT00,Crime is prevented and addressed in populations/communities most at-risk,On prévient et combat la criminalité dans les populations et les collectivités les plus à risque,drr18
