service_id,year,cra_business_ids_collected,sin_collected,phone_inquiry_count,online_inquiry_count,online_application_count,live_application_count,mail_application_count,other_application_count,comment_en,comment_fr
1,2018,Yes,Not Applicable,,,4789.0,0.0,,8044.0,"Our data tracking mechanism did not allow for detailed tracking of website visits, telephone enquiries and application by mail by service type.","Nos mécanismes de suivi des données ne nous permettaient pas d'enregistrer les données liées aux visites du site web, demandes d'information par telephone et applications par la poste par type de service."
1026,2018,No,Not Applicable,30000.0,442967.0,134939.0,0.0,0.0,0.0,"Columns AA and AB are for FY 2018-19

Column AC is for 2018 and reflects only the number of fees paid. A report on the number of applications or other transactions made is not available.","Les colonnes AA et AB portent sur l’exercice 2018-2019.

La colonne AC correspond à 2018 et ne reflète que le nombre de droits payés. Aucun rapport n’est produit quant au nombre de demandes ou aux autres transactions effectuées."
8,2018,Not Applicable,Not Applicable,,5421.0,10117.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
1502,2018,No,No,0.0,0.0,0.0,0.0,0.0,0.0,"This service utilizes the following service delivery channels, but data on use of these channels is not available at this time because it is not being collected: Telephone, Website Visits, Online Applications, In-Person Applications, Applications by Mail.","Ce service utilise les canaux de prestation de services suivants, mais les données relatives à l’utilisation de ces canaux ne sont pas disponibles en ce moment, puisqu’ils ne sont pas recueillis : applications par téléphone, visites sur le site Web, applications en ligne, applications en personne, applications par courrier."
1162,2018,No,No,,,,0.0,0.0,0.0,Service is not offered online or by telephone and data is not available.,Le service n’est pas offert en ligne ou par téléphone et les données ne sont pas disponibles.
3,2018,Yes,Not Applicable,,,571.0,,,448235.0,"Our data tracking mechanisms did not support the tracking of website visit, telephone enquiries and application by mail per type of service.","Nos mécanismes de suivi des données ne nous permettaient pas d'enregistrer les données liées aux visites du site web, demandes d'information par telephone et applications par la poste par type de service."
5,2018,No,Not Applicable,,,,,,,Data pending,En attentes de données
6,2018,No,Not Applicable,,,,,,,Data pending,En attente de données
1325,2018,Not Applicable,No,,7728.0,,,,,Data is not available for unspecified fields.,Les données ne sont pas disponibles pour les champs non spécifiés.
1565,2018,No,Not Applicable,640.0,20257.0,0.0,0.0,0.0,0.0,,
925,2018,Not Applicable,Not Applicable,,,,,46592.0,186364.0,"Tool only accepts numeric values.  N/A would be a more applicable response than ""blank"" for Number of telephone enquiries through to Number of in-person applications","L'outil n'accepte que les valeurs numériques.  S.O. serait une réponse plus pertinente que "" vide "" pour le nombre de demandes de renseignements téléphoniques jusqu'au nombre de demandes en personne"
1326,2018,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,11.0,Most applications have been delivered via encryped USB stick or other storage medium.,La majorité des demandes ont été transmises par le biais des clés USB encodées ou autre forme de stockage.
1566,2018,No,No,0.0,6546.0,0.0,0.0,0.0,0.0,,
1577,2018,No,No,,,,,,,Volume not available for this service,Volume non disponible pour ce service
16,2018,Not Applicable,Not Applicable,,67140.0,2510.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
1755,2018,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,"This service utilizes the following service delivery channels, but data on use of these channels is not available at this time because it is not yet ready for publication: Telephone, Website Visits, Online Applications, In-Person Applications, Applications by Mail.","Ce service utilise les modes de prestation de service suivants, mais les données sur l’utilisation de ces modes ne sont pas accessibles pour le moment, puisqu’elles ne sont pas encore prêtes pour la publication : demandes téléphoniques, visites sur le site Web, demandes en ligne, demandes en personne, demandes par courrier."
20,2018,Not Applicable,Not Applicable,,2556.0,2577.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
838,2018,No,No,,256272.0,,,,,,S.O.
1688,2018,Not Applicable,Not Applicable,,,,,,,A review of digital platforms and service standards is ongoing.,Une révision des plateformes numériques et des normes de service est en cours.
19,2018,Not Applicable,Not Applicable,0.0,,,13.0,,418.0,"Applications requested through other channels include email (400 requests) and telephone (18 requests). The CSPS does not collect data on the number of telephone enquiries received specifically for this service. This service is not listed on its website. As such, there is no data for the number of website visits and no online applications.","Les autres modes de transmission sont le courriel (400 demandes) et le téléphone (18 demandes). L’ÉFPC ne recueille pas de données sur le nombre de demandes reçues par téléphone précisément pour ce service. Ce service n’est pas annoncé sur le site Web de l’École. Par conséquent, il n’y a pas de données concernant le nombre de visites sur le site Web et pas de demandes en ligne."
22,2018,Not Applicable,Not Applicable,,2732.0,,,,,"The ""Web Inquiries"" service does not require a CRA BN number or a SIN number.
Clients can submit an inquiry, or make comments through WD's on-line feedback form. Clients are not submitting an application through this service.",Le service de « demandes de renseignements sur le Web » ne nécessite pas de numéro d’entreprise de l’ARC ni de numéro d’assurance sociale. Les clients peuvent présenter une demande de renseignements ou faire des commentaires au moyen du formulaire de rétroaction en ligne de DEO. Les clients ne présentent pas de demandes par l’entremise de ce service.
991,2018,Not Applicable,Yes,2405999.0,0.0,,,85837.0,,"- Applications for CPP Disability can only currently be submitted by mail.  However an online application for CPP Disability is expected to be launched in FY 2019-2020.
- The number of website visits is currently not reported on canada.ca","– Les demandes de prestations d’invalidité du RPC doivent être soumises par la poste. Une demande numérique sera introduit durant l'année 2019-20.
- Le nombre de visites du site Web n'est pas disponible sur Canada.ca."
33,2018,Not Applicable,Not Applicable,,2034.0,143.0,,,,SSC accepts online requests only.,SPC n’accepte que les demandes présentées en ligne.
29,2018,Not Applicable,Not Applicable,16.0,732.0,,1.0,0.0,5.0,No online service for this service.,Aucun service en ligne pour ce service.
