year,service,cra_business_ids_collected,SIN_collected,phone_inquiry_count,phone_application_count,phone_inquiry_and_application_count,online_inquiry_count,online_application_count,live_application_count,mail_application_count,email_application_count,fax_application_count,other_application_count,comment_en,comment_fr
2018,1014,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Our only indicator is the Percentage of funding committed to Indigenous Representative Organizations. This service does not utilize the following service delivery channels, and therefore data on use of these channels is not applicable: Telephone, Website Visits, Online Applications, In-Person Applications, Applications by Mail.","Notre seul indicateur est le « Pourcentage de financement affecté aux organisations représentatives autochtones ». Ce service n’utilise pas les canaux de prestation de services suivants. Par conséquent, les données relatives à l’utilisation de ces canaux ne sont pas applicables : demandes téléphoniques, visites sur le site Web, demandes en ligne, demandes en personne, demandes par courrier."
2018,1005,,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Due to the sensitivity of the program and low volume, specific numbers are not made public.","En raison de la nature délicate du programme et du faible volume de la demande, les nombres précis ne sont pas rendus publics."
2018,1008,,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The program is administer in the region and managed by NHQ. Regions work with recipients directly or virtually in the development of their projects. At present there is no on-line integrated system for the management of applications.,"Le programme est administré dans la région et géré par l'administration centrale. Les régions travaillent avec les destinataires directement ou virtuellement dans le développement de leurs projets. À l'heure actuelle, il n'y a pas de système intégré en ligne pour la gestion des applications."
2018,1031,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018,1035,,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018,1038,,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Data regarding online service inquiries are not tracked by MCTS. There are currently 640 active subscriptions, from 517 distinct email addresses subscribing to the NavWarn email service.",Les SCTM n’effectuent pas le suivi des données relatives aux demandes de service en ligne. Il existe actuellement 640 inscriptions actives provenant de 517 adresses électroniques différentes abonnées au service de courriel NAVWARN.
2019,1088,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2019,1089,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Health Canada is one of the main departments leading the response to the Covid19 pandemic. Due to competing priorities we are not able to provide complete information on volume received by delivery channel at this time.,"Santé Canada est l'un des principaux ministères qui dirigent la réponse à la pandémie de Covid19. En raison de priorités concurrentes, nous ne sommes pas en mesure de fournir à l'heure actuelle des informations complètes sur le volume reçu par canal de distribution."
2018,1095,,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"All communications with Canadians are handled by the sponsoring program, not NPP.","Toutes les communications avec les Canadiens sont gérées par le programme parrain, et non par les PNI."
2019,1095,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"All communications with Canadians are handled by the sponsoring program, not NPP.","Toutes les communications avec les Canadiens sont gérées par le programme parrain, et non par les PNI."
