dept_submissions__document__year,service,category,value_en,value_fr
2018,7,SERVICE,https://www.canada.ca/en/services/benefits/publicpensions/cpp.html,https://www.canada.ca/fr/services/prestations/pensionspubliques/rpc.html
2019,7,SERVICE,https://www.canada.ca/en/services/benefits/publicpensions/cpp.html,https://www.canada.ca/fr/services/prestations/pensionspubliques/rpc.html
2018,8,SERVICE,http://service.ssc-spc.gc.ca/en/services/communicating/email/gc-employees,http://service.ssc-spc.gc.ca/fr/services/communication/courriel/gc-employees
2019,8,SERVICE,http://service.ssc-spc.gc.ca/en/services/communicating/email/gc-employees,http://service.ssc-spc.gc.ca/fr/services/communication/courriel/gc-employees
2018,10,STANDARD,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/rapports-reports/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/rapports-reports/page-3-fra.html
2019,10,STANDARD,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/rapports-reports/page-3-eng.html,https://www.tpsgc-pwgsc.gc.ca/sc-cs/nsnnnr-ossr/rapports-reports/page-3-fra.html
2018,10,SERVICE,https://buyandsell.gc.ca/for-government,https://achatsetventes.gc.ca/pour-le-gouvernement
2019,10,SERVICE,https://buyandsell.gc.ca/for-government,https://achatsetventes.gc.ca/pour-le-gouvernement
2018,12,SERVICE,http://catalogueapprentissage-learningcatalogue.tpsgc-pwgsc.gc.ca/alto.aspx?lang=eng,http://catalogueapprentissage-learningcatalogue.tpsgc-pwgsc.gc.ca/alto.aspx?lang=fra
2018,13,SERVICE,https://buyandsell.gc.ca/event-calendar,https://achatsetventes.gc.ca/calendrier-des-evenements
2019,13,SERVICE,https://buyandsell.gc.ca/event-calendar,https://achatsetventes.gc.ca/calendrier-des-evenements
2018,13,SERVICE,https://canada.ca/OSME,https://canada.ca/BPME
2019,13,SERVICE,https://canada.ca/OSME,https://canada.ca/BPME
2018,8,STANDARD,http://service.ssc-spc.gc.ca/en/services/communicating/email/gc-employees#standards,http://service.ssc-spc.gc.ca/fr/services/communication/courriel/gc-employees#normes
2019,8,STANDARD,http://service.ssc-spc.gc.ca/en/services/communicating/email/gc-employees#standards,http://service.ssc-spc.gc.ca/fr/services/communication/courriel/gc-employees#normes
2018,8,STANDARD,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante
2018,14,SERVICE,http://service.ssc-spc.gc.ca/en/services/infrastructure/network-infra/gcnetwan-admin,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-reseau/re-rgc-admin
2018,14,STANDARD,http://service.ssc-spc.gc.ca/en/services/infrastructure/network-infra/gcnetwan-admin#service,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-reseau/re-rgc-admin#normes
2018,14,STANDARD,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante
2018,15,SERVICE,http://service.ssc-spc.gc.ca/en/services/communicating/mobile-dev-phones/mobile-users,http://service.ssc-spc.gc.ca/fr/services/communication/appareils-mobiles-lignefixe/mobiles-utils
2019,15,SERVICE,http://service.ssc-spc.gc.ca/en/services/communicating/mobile-dev-phones/mobile-users,http://service.ssc-spc.gc.ca/fr/services/communication/appareils-mobiles-lignefixe/mobiles-utils
2018,15,STANDARD,http://service.ssc-spc.gc.ca/en/services/communicating/mobile-dev-phones/mobile-users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/appareils-mobiles-lignefixe/mobiles-utils#normes
2019,15,STANDARD,http://service.ssc-spc.gc.ca/en/services/communicating/mobile-dev-phones/mobile-users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/appareils-mobiles-lignefixe/mobiles-utils#normes
2018,15,STANDARD,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante
2018,16,SERVICE,http://service.ssc-spc.gc.ca/en/services/communicating/videoconferencing/users,http://service.ssc-spc.gc.ca/fr/services/communication/videoconference/utils
2018,16,STANDARD,http://service.ssc-spc.gc.ca/en/services/communicating/videoconferencing/users#standards,http://service.ssc-spc.gc.ca/fr/services/communication/videoconference/utils#normes
2018,16,STANDARD,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante
2018,17,SERVICE,http://service.ssc-spc.gc.ca/en/services/infrastructure/contact-centre-infra,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-centre-contact
2018,17,STANDARD,http://service.ssc-spc.gc.ca/en/services/infrastructure/contact-centre-infra/cc-admin#standards,http://service.ssc-spc.gc.ca/fr/services/infrastructure/infra-centre-contact/cc-admin#normes
2018,18,STANDARD,https://www.csps-efpc.gc.ca/About_Us/service-eng.aspx,https://www.csps-efpc.gc.ca/About_Us/service-fra.aspx
2019,18,STANDARD,https://www.csps-efpc.gc.ca/About_Us/service-eng.aspx,https://www.csps-efpc.gc.ca/About_Us/service-fra.aspx
2018,18,SERVICE,https://www.csps-efpc.gc.ca/index-eng.aspx,https://www.csps-efpc.gc.ca/index-fra.aspx
2019,18,SERVICE,https://www.csps-efpc.gc.ca/index-eng.aspx,https://www.csps-efpc.gc.ca/index-fra.aspx
2018,5,SERVICE,http://www.inspection.gc.ca/about-the-cfia/accountability/complaints-and-appeals/eng/1547179421299/1547179421595,http://www.inspection.gc.ca/au-sujet-de-l-acia/responsabilisation/bureau-des-plaintes-et-des-appels/fra/1547179421299/1547179421595
2019,5,SERVICE,http://www.inspection.gc.ca/about-the-cfia/accountability/complaints-and-appeals/eng/1547179421299/1547179421595,http://www.inspection.gc.ca/au-sujet-de-l-acia/responsabilisation/bureau-des-plaintes-et-des-appels/fra/1547179421299/1547179421595
2018,6,SERVICE,http://www.inspection.gc.ca/about-the-cfia/accountability/complaints-and-appeals/eng/1547179421299/1547179421595,http://www.inspection.gc.ca/au-sujet-de-l-acia/responsabilisation/bureau-des-plaintes-et-des-appels/fra/1547179421299/1547179421595
2019,6,SERVICE,http://www.inspection.gc.ca/about-the-cfia/accountability/complaints-and-appeals/eng/1547179421299/1547179421595,http://www.inspection.gc.ca/au-sujet-de-l-acia/responsabilisation/bureau-des-plaintes-et-des-appels/fra/1547179421299/1547179421595
2018,6,STANDARD,http://www.inspection.gc.ca/about-the-cfia/accountability/complaints-and-appeals/eng/1547179421299/1547179421595,http://www.inspection.gc.ca/au-sujet-de-l-acia/responsabilisation/bureau-des-plaintes-et-des-appels/fra/1547179421299/1547179421595
2019,6,STANDARD,https://www.inspection.gc.ca/about-cfia/complaints-and-appeals/process/service-standards/eng/1432733804664/1432733805883,https://www.inspection.gc.ca/a-propos-de-l-acia/bureau-des-plaintes-et-des-appels/processus/normes-de-service/fra/1432733804664/1432733805883
2018,1,STANDARD,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2019,1,STANDARD,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2018,1,SERVICE,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2019,1,SERVICE,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2018,20,SERVICE,http://service.ssc-spc.gc.ca/en/services/dc/high-perf-comp/,http://service.ssc-spc.gc.ca/fr/services/cd/calcul-haute-perf
2018,1,SERVICE,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/paso/eng/1403831598660/1403831599519,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/bpdpm/fra/1403831598660/1403831599519
2019,1,SERVICE,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/paso/eng/1403831598660/1403831599519,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/bpdpm/fra/1403831598660/1403831599519
2018,1,STANDARD,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/paso/eng/1403831598660/1403831599519,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/bpdpm/fra/1403831598660/1403831599519
2019,1,STANDARD,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/paso/eng/1403831598660/1403831599519,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/bpdpm/fra/1403831598660/1403831599519
2018,4,STANDARD,http://www.inspection.gc.ca/food/archived-food-guidance/safe-food-production-systems/food-recall-and-emergency-response/eng/1300375639646/1300376138588,http://www.inspection.gc.ca/aliments/directives-archivees-sur-les-aliments/systemes-de-production-d-aliments-salubres/rappels-d-aliments-et-mesures-d-urgence/fra/1300375639646/1300376138588
2019,4,STANDARD,http://www.inspection.gc.ca/food/archived-food-guidance/safe-food-production-systems/food-recall-and-emergency-response/eng/1300375639646/1300376138588,http://www.inspection.gc.ca/aliments/directives-archivees-sur-les-aliments/systemes-de-production-d-aliments-salubres/rappels-d-aliments-et-mesures-d-urgence/fra/1300375639646/1300376138588
2018,4,SERVICE,https://healthycanadians.gc.ca/recall-alert-rappel-avis/index-eng.php?cat=1,http://canadiensensante.gc.ca/recall-alert-rappel-avis/index-fra.php?cat=1
2019,4,SERVICE,https://healthycanadians.gc.ca/recall-alert-rappel-avis/index-eng.php?cat=1,http://canadiensensante.gc.ca/recall-alert-rappel-avis/index-fra.php?cat=1
2018,4,SERVICE,http://www.inspection.gc.ca/about-the-cfia/newsroom/food-safety-system/food-recalls/eng/1332206599275/1332207914673,http://www.inspection.gc.ca/au-sujet-de-l-acia/salle-de-nouvelles/systeme-de-salubrite-des-aliments/rappels-d-aliments/fra/1332206599275/1332207914673
2018,2,SERVICE,http://www.inspection.gc.ca/food/imports/nisc/eng/1364059150360/1364059265637,http://www.inspection.gc.ca/aliments/importations/csni/fra/1364059150360/1364059265637
2019,2,SERVICE,https://www.inspection.gc.ca/importing-food-plants-or-animals/eng/1573836795867/1573836899201,https://www.inspection.gc.ca/importation-d-aliments-de-vegetaux-ou-d-animaux/fra/1573836795867/1573836899201
2018,2,SERVICE,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2018,2,STANDARD,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2019,2,STANDARD,http://inspection.gc.ca/about-the-cfia/permits-licences-and-approvals/centre-of-administration-for-permissions/eng/1395348583779/1395348638922,http://inspection.gc.ca/au-sujet-de-l-acia/permis-licences-et-approbations/centre-d-administration-pour-les-permissions/fra/1395348583779/1395348638922
2018,17,STANDARD,http://service.ssc-spc.gc.ca/en/aboutus/partners/partwork/it-health,http://service.ssc-spc.gc.ca/fr/apropos/partenaires/collpartenaire/it-sante
2018,21,STANDARD,https://www.wd-deo.gc.ca/eng/9677.asp,https://www.wd-deo.gc.ca/fra/9677.asp
2019,21,STANDARD,https://www.wd-deo.gc.ca/eng/9677.asp,https://www.wd-deo.gc.ca/fra/9677.asp
2018,22,STANDARD,https://www.wd-deo.gc.ca/eng/9677.asp,https://www.wd-deo.gc.ca/fra/9677.asp
2019,22,STANDARD,https://www.wd-deo.gc.ca/eng/9677.asp,https://www.wd-deo.gc.ca/fra/9677.asp
