code,en,fr
comm,"Communications Services","Services de communications"
resource,"Resources","Resources"
adv,"Advisory Services","Services consultatifs"
reg,"Regulatory Compliance and Enforcement","Conformité aux règlements et application des règlements"
prop,"Real Property Services","Services immobiliters"
im,"Information Management Services","Services de gestion de l'information"
gnc,"Grants and Contributions","Subventions et Contributions"
edu,"Educational, Recreational and Cultural Encounters","Rencontres axées sur des activités éducatives, récréatives et culturelles"
mgnt,Management and Oversight Services,Services de gestion et de surveillance
reg_vol,High Volume Regulatory Transactions (HVRT),Transaction réglementaires à demande élevée (TRDE)
rule,Rule Making,Établissement de règles
mat,Material Services,Services de gestion du matériel
its,Information Technology Services,Services de technologie de l'information
hr,Human Resources Management,Services de gestion des ressources humains
fm,Financial Management Services,Services de gestion financière
legal,Legal Services,Services juridiques
acq,Acquisition Services,Services d'acquisition
