dept_submissions__document__year,dept_id,dept__name_en,dept__name_fr,dept__tbs_dept_code,eternal_id,name_en,name_fr,description_en,description_fr,first_active_year,last_active_year,collects_fees,last_gender_analysis,account_reg_digital_status,authentication_status,application_digital_status,decision_digital_status,issuance_digital_status,issue_res_digital_status,digital_enablement_comment_en,digital_enablement_comment_fr,last_accessibility_review,last_improve_from_feedback,scope_name_en,scope_name_fr,scope_code,service_type_name_en,service_type_name_fr,service_type_code,designations_name_en,designations_name_fr,designations_code,target_groups_id,target_groups_name_en,target_groups_name_fr,programs_activity_code,feedback_channels_name_en,feedback_channels_name_fr,feedback_channels_code,digital_identity_platforms_name_en,digital_identity_platforms_name_fr,digital_identity_platforms_code,accessibility_assessors_name_en,accessibility_assessors_name_fr,accessibility_assessors_code,recipient_type_name_en,recipient_type_name_fr,recipient_type_code
2018,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,1,Permission to Operate (domestically),Permission d'opérer (intérieur),"Permission required to conduct activities related to the production and selling of food, animal or plants.","Permission requise pour la conduite d'activités liées à la production et à la vente d'aliments, d'animaux ou de végétaux.",2018,,TRUE,2018,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC001,Economic Segments,Segments économiques,BUH04<>BUH08<>BUH12,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,1,Permission to Operate (domestically),Permission d'opérer (intérieur),"Permission required to conduct activities related to the production and selling of food, animal or plants.","Permission requise pour la conduite d'activités liées à la production et à la vente d'aliments, d'animaux ou de végétaux.",2018,,TRUE,2018,ENABLED,ENABLED,NA,NA,NA,NA,These services are not yet online,Ces services ne sont pas encore en ligne,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC001,Economic Segments,Segments économiques,BUH04<>BUH08<>BUH12,Telephone,Par téléphone,tel,"Cyber Auth/ECM - External (Public) credential and authentication (GCKey, CBS)","Authentification électronique/GJE - Service de gestion des justificatifs externes (CléGC, SCJI)",gckey,,,,,,
2018,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,2,Permission to Import,Permission d'importer,Permission required to allow industry or individual to bring goods into Canada.,Permission requise afin de permettre à l'industrie ou à un individu d'amener des biens au Canada.,2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC001,Economic Segments,Segments économiques,BUH04<>BUH08<>BUH12,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,2,Permission to Import,Permission d'importer,Permission required to allow industry or individual to bring goods into Canada.,Permission requise afin de permettre à l'industrie ou à un individu d'amener des biens au Canada.,2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,NOT_ENABLED,,,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Priority Service,Service prioritaire,priority,TGC001,Economic Segments,Segments économiques,BUH04<>BUH08<>BUH12,Email<>Fax<>Telephone,Par courriel<>Par fax<>Par téléphone,email<>fax<>tel,"Cyber Auth/ECM - External (Public) credential and authentication (GCKey, CBS)","Authentification électronique/GJE - Service de gestion des justificatifs externes (CléGC, SCJI)",gckey,,,,,,
2018,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,3,Permission to Export,Permission d'exporter,Permission required to allow industry or individual to sell goods to another country.,Permission requise afin de permettre à l'industrie ou à un individu de vendre des bien à un autre pays.,2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,,,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC001,Economic Segments,Segments économiques,BUH04<>BUH08<>BUH12,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,3,Permission to Export,Permission d'exporter,Permission required to allow industry or individual to sell goods to another country.,Permission requise afin de permettre à l'industrie ou à un individu de vendre des bien à un autre pays.,2018,,TRUE,,ENABLED,ENABLED,ENABLED,ENABLED,ENABLED,NOT_ENABLED,,,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Priority Service,Service prioritaire,priority,TGC001,Economic Segments,Segments économiques,BUH04<>BUH08<>BUH12,Email<>Fax<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En personne<>Par la poste<>Par téléphone,email<>fax<>person<>post<>tel,"Cyber Auth/ECM - External (Public) credential and authentication (GCKey, CBS)","Authentification électronique/GJE - Service de gestion des justificatifs externes (CléGC, SCJI)",gckey,,,,,,
2018,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,4,Recall Notification- Food,Avis de rappel - Aliments,Provide a list of the most recent public advisories for high-risk food recalls.  The CFIA classifies recalls based on the level of health risk associated with the food product being recalled.,Offre une liste des plus récents avis publics pour des rappels d'aliments de haut risque. L'Agence classifie les rappels en se basant sur le niveau de risque à la santé associé à l'aliment faisant l'objet du rappel.,2018,,FALSE,,ENABLED,ENABLED,ENABLED,NA,ENABLED,ENABLED,Clients can subscribe to the online notification service. This service does not include a decision interaction point.,Les clients peuvent s'inscrire en ligne au service d'avis. Ce service n'a pas de point d'interraction pour la prise de decision.,,,External Service,Service externe,external,Communications,Les communications,comm,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,ISS02,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,4,Food Recall Warnings- High Risk,Avis de rappel d'aliments - Risque élevé,Provide a list of the most recent public advisories for high-risk food recalls.  The CFIA classifies recalls based on the level of health risk associated with the food product being recalled.,Offre une liste des plus récents avis publics pour des rappels d'aliments de haut risque. L'Agence classifie les rappels en se basant sur le niveau de risque à la santé associé à l'aliment faisant l'objet du rappel.,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Clients can subscribe to the email/online notification service.,Les clients peuvent s'inscrire par couriel ou en ligne au service d'avis.,,,External Service,Service externe,external,Communications,Les communications,comm,Priority Service,Service prioritaire,priority,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUH11,Telephone,Par téléphone,tel,,,,,,,,,
2018,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,5,Regulatory Complaints,Plaintes règlementaires,Provide regulated parties to request a review of a regulatory decision made by the Canadian Food Inspection Agency's staff.,Permet aux parties règlementées de demander la revue d'une décision règlementaire prise par un agent de l'Agence canadienne d'inspection des aliments.,2018,,FALSE,,NA,NA,NOT_ENABLED,NA,NA,NOT_ENABLED,Structure of this service does not require a registration,La structure de ce service ne nécessite pas d'inscription,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service<>Priority Service,Service essentiel<>Service prioritaire,essential<>priority,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUH04<>BUH08<>BUH12,Email<>Fax<>Online<>In-Person<>Postal Mail<>Telephone,Par courriel<>Par fax<>En ligne<>En personne<>Par la poste<>Par téléphone,email<>fax<>online<>person<>post<>tel,,,,,,,,,
2019,65,Canadian Food Inspection Agency,Agence canadienne d’inspection des aliments,CFIA,5,Regulatory Complaints,Plaintes règlementaires,Provide regulated parties to request a review of a regulatory decision made by the Canadian Food Inspection Agency's staff.,Permet aux parties règlementées de demander la revue d'une décision règlementaire prise par un agent de l'Agence canadienne d'inspection des aliments.,2018,,FALSE,,NA,NA,NA,NA,NA,NA,Structure of this service does not require a registration,La structure de ce service ne nécessite pas d'inscription,,,External Service,Service externe,external,"Agreements, Permissions, Inspections, Rulings","Accords, autorisations, inspections, décisions",reg,Essential Service,Service essentiel,essential,TGC001<>TGC006,Economic Segments<>Persons,Segments économiques<>Étiquettes associées aux personnes,BUH04<>BUH08<>BUH12,Other<>Telephone,Autre<>Par téléphone,other<>tel,,,,,,,,,
