year,standard,standard_comment_en,standard_comment_fr,lower,upper,met_count,count,is_target_met
2022,1002,,,99.0,100,2417,2445,0
2020,1002,,,99.0,100,5101,5101,1
2021,1002,,,99.0,100,2789,2822,1
2020,1003,,,100.0,100,434677,434677,1
2022,1008,"**NESS received 127 RFAs from PTs and responded to 120 in FY2022-23. 
**6 or the remaining 7 RFAs were redacted by the requested PT and 1 was since completed in FY2023-24, as negotiated with the PT, as it was in support of a mass gathering event that took place in July 2023, so 127 in total. 
**Volume meeting target set to 127 as service standard was met.","**NESS a reçu 127 appels d'offres des TP et a répondu à 120 d'entre eux au cours de l'exercice 2022-23. 
**Six des sept appels d'offres restants ont été expurgés par la TP requise et un a été achevé depuis lors au cours de l'exercice 2023-24, comme négocié avec la TP, car il s'agissait de soutenir un événement de rassemblement de masse qui a eu lieu en juillet 2023, soit un total de 127 appels d'offres. 
**L'objectif de volume atteint est fixé à 127 car la norme de service a été respectée.",100.0,100,127,127,1
2020,1008,"In 2020-21, the NESS received 170 RFAs (10 were retracted by the requestor) and completed 162 responses (including RFAs that could not be filled and RFAs received before April 1 2020).","En 2020-21, le RNSU a reçu 170 demandes d’aide (10 ont été rétractés par le demandeur) et a complété 162 réponses (y compris les demandes d’aide qui n'ont pas pu être remplis et les demandes d’aide reçus avant le 1er avril 2020).",100.0,100,162,170,0
2021,1008,"NESS received 255 RFAs from PTs and responded to 237. The remaining 18 RFAs were redacted by the requested PT, so 255 in total. Volume meeting target set to 255 as service standard was met.",,100.0,100,255,255,1
2022,1009,Service standard is being met or exceeded. No change to method or process is recomended.,La norme de service est respectée ou dépassée. Il n'est pas recommandé de modifier la méthode ou le processus.,80.0,100,293,306,1
2020,1009,"Service standard is in place for RG2 licences, which represent 93% of our licenced community.  Per Cabinet Directive on Regulation (CDR) departments and agencies are responsible for developing, publishing, and reviewing service standards for high-volume regulatory transactions (more than 100 per year) that promote the timeliness of decision-making. RG3 and RG4 licensing does not meet HVRA threshold.","La norme de service est en place pour les licences associées au groupe à risque de catégorie 2, qui représentent 93 % des licences. Selon la Directive du Cabinet sur la réglementation (DCR), les ministères et organismes sont chargés d'élaborer, de publier et de passer en revue les normes de service pour des transactions réglementaires  à demande élevée (plus de 100 par année) qui favorisent la prise de décision en temps opportun. Les liences associées aux groupes à risque de catégories 3 et 4 ne respectent pas le seuil de la LAPHT.",80.0,100,543,680,1
2021,1009,,,80.0,100,430,452,1
2022,1011,,,90.0,100,120,121,1
2020,1011,,,90.0,100,56,58,1
2021,1011,,,90.0,100,70,71,1
2022,1012,"This year saw an unprecedented amount of funding being requested from the CNSC’s Participant Funding Program. Due to the complexity of the applications, the high amount of funding requested, and the capacity constraints of CNSC staff, a longer period was required to review certain applications. This resulted in delays of between 10-16 days beyond the 45-day business standard for two Environmental Impact Statement projects. While the standard was not met in these cases, funding was still awarded well in advance of either EIS being released, and enabling recipients’ ability to complete the work.","Cette année, le Programme de financement des participants de la CCSN a reçu un nombre sans précédent de demandes de financement. En raison de la complexité des demandes, du montant élevé de l'aide financière demandée et des contraintes de capacité du personnel de la CCSN, une période plus longue a été nécessaire pour examiner certaines demandes. Cela a entraîné des retards de 10 à 16 jours au-delà de la norme de 45 jours pour deux projets d'étude d'impact environnemental (EIE). Bien que la norme n`a pas été respectée dans ces cas, le financement a tout de même été accordé bien avant la publication de l'une ou l'autre EIE, ce qui a permis aux bénéficiaires d'achever leur travail.",100.0,100,100,121,0
2020,1012,"There were delays beyond the 45-day business standard in the review period for one PFP opportunity related to the review of the draft Environmental Impact Statement for NexGen’s Rook I Project. This project is a new greenfield mine site that requires an environmental assessment under CEAA 2012, which legally requires the offering of participant funding and raises the Crown’s legal duty to consult. As a result, this project brought in many applications requesting over $1 million dollars, with the majority of the applications coming from Indigenous groups, which was well over the $150,000 being offered and budgeted for this phase of the project. This was an unprecedented amount being requested of the CNSC’s PFP. Due to the complexity of the 9 applications and the high amount of funding requested, a longer period of time was required to review all the applications and to obtain senior management approvals and direction as to whether more funding could be awarded than initially allocated in the PFP’s annual budget forecast.","Il y a eu des retards qui ont dépassé la norme de 45 jours pour la période d’examen concernant une possibilité de PFP liée à l’examen de l’ébauche de l’énoncé des incidences environnementales pour le projet Rook I de NexGen. Ce projet est un nouveau site minier vierge qui doit faire l’objet d’une évaluation environnementale en vertu de la LCEE 2012, ce qui entraîne l’obligation d’offrir une aide financière aux participants et déclenche l’obligation légale de consulter de la Couronne. Par conséquent, ce projet a reçu de nombreuses demandes de plus d’un million de dollars, dont la majorité provenait de groupes autochtones, ce qui dépassait largement les 150 000 $ offerts et budgétisés pour cette phase du projet. Il s’agissait d’un montant sans précédent demandé pour le PFP de la CCSN. En raison de la complexité des neuf demandes et du montant élevé des fonds demandés, il a fallu plus de temps pour examiner toutes les demandes et obtenir les approbations et les directives de la haute direction quant à la possibilité d’accorder plus de fonds que ceux initialement alloués dans les prévisions budgétaires annuelles du PFP.",100.0,100,49,58,0
2021,1012,,,100.0,100,71,71,1
2022,1013,"Service standard is being met or exceeded. No change to method or process is recomended. 
Please note that an additional 35 applications were issued after 80 days; however, they did not meet conditions for service delivery to apply (i.e., missing information or potential adverse information) and were therefore not included in the calculation.","La norme de service est respectée ou dépassée. Il n'est pas recommandé de modifier la méthode ou le processus. 
Veuillez noter que 35 demandes supplémentaires ont été émises après 80 jours ; cependant, elles ne remplissaient pas les conditions d'application de la prestation de service (c.-à-d. informations manquantes ou informations défavorables potentielles) et n'ont donc pas été incluses dans le calcul.",80.0,100,74,74,1
2020,1013,,,80.0,100,100,140,0
2021,1013,The indicator is no longer relevant and will always be 100%. Suggest retiring service standard.,L'indicateur n'est plus pertinent et sera toujours de 100%. Suggérer de retirer la norme de service.,80.0,100,183,183,1
2022,1015,,,90.0,100,2886,3003,1
2020,1015,,,0.0,100,0,0,0
2021,1015,,,90.0,100,2867,3191,1
2022,1016,,,90.0,100,515,845,0
2020,1016,,,0.0,100,0,0,0
2021,1016,,,90.0,100,796,1273,0
2022,1017,,,90.0,100,498,1200,0
2020,1017,,,0.0,100,0,0,0
2021,1017,,,90.0,100,201,628,0
2022,1018,,,90.0,100,3451,3777,1
2020,1018,,,0.0,100,0,0,0
2021,1018,,,90.0,100,445,501,0
2020,1023,,,100.0,100,28,28,1
2021,1023,,,100.0,100,0,0,0
2020,1024,"Target (%) has not be estalished.

Annual Business Volume Satisfying is not currently tracked.","Cible de la norme (%) n'a pas été établi.

Volume d'activités annuelles qui répond à las norme n'est actuellement pas suivies.",0.0,100,0,397,1
2021,1024,,,0.0,100,0,86,0
2022,1025,"Release dates are established jointly with the United States Census Bureau in accordance with the Canada-US data-sharing agreement for international merchandise trade. All efforts are made to ensure that these release dates are met. Only under extreme circumstances will release dates be delayed. In the past, US government shutdowns have resulted in publication dates being changed, and events such as this can necessitate rescheduling dates for several releases in order to allow adequate time for processing of the backlog of data once US government employees are able to return to work.","Les dates de diffusion sont établies conjointement avec le United States Census Bureau conformément à l'accord de partage de données entre le Canada et les États-Unis pour le commerce international de marchandises. Tous les efforts sont faits pour que ces dates de diffusion soient respectées. Ce n'est que dans des circonstances extrêmes que les dates de diffusion seront retardées. Dans le passé, les fermetures du gouvernement américain ont entraîné la modification des dates de publication, et des événements comme celui-ci peuvent nécessiter le report des dates de plusieurs publications afin de laisser suffisamment de temps pour le traitement de l'arriéré de données une fois que les employés du gouvernement américain sont en mesure de retourner au travail.",95.0,100,12,12,1
2020,1025,,S/O,100.0,100,12,12,1
2021,1025,"Release dates are established jointly with the United States Census Bureau in accordance with the Canada-US data-sharing agreement for international merchandise trade. All efforts are made to ensure that these release dates are met. Only under extreme circumstances will release dates be delayed. In the past, US government shutdowns have resulted in publication dates being changed, and events such as this can necessitate rescheduling dates for several releases in order to allow adequate time for processing of the backlog of data once US government employees are able to return to work.","Les dates de diffusion sont établies conjointement avec le United States Census Bureau conformément à l'accord de partage de données entre le Canada et les États-Unis pour le commerce international de marchandises. Tous les efforts sont faits pour que ces dates de diffusion soient respectées. Ce n'est que dans des circonstances extrêmes que les dates de diffusion seront retardées. Dans le passé, les fermetures du gouvernement américain ont entraîné la modification des dates de publication, et des événements comme celui-ci peuvent nécessiter le report des dates de plusieurs publications afin de laisser suffisamment de temps pour le traitement de l'arriéré de données une fois que les employés du gouvernement américain sont en mesure de retourner au travail.",95.0,100,12,12,1
2022,1026,Release dates are established and communicated in advance.,Les dates de parutions sont établies et communiquées à l'avance.,95.0,100,4,4,1
2020,1026,,S/0,100.0,100,4,4,1
2018,1026,,,90.0,100,3,3,1
2021,1026,,,95.0,100,4,4,1
2022,1027,,,90.0,100,6023,6028,1
2020,1027,"As similar services (but for different products) are consolidated together for the purpose of this exercise, some of the fields only indicate the most representative selection amongst the individual components. As such, the selection for some of these products might be different.","Puisque les services similaires (mais pour differents produits) sont consolidés ensemble pour les fins de cet exercice, certains des champs d'entré indique seulement la selection la plus représentative parmi les composantes individuelles. Ainsi, la selection peut être différente pour certains produit.",90.0,100,12134,12219,1
2018,1027,,,90.0,100,3,3,1
2021,1027,,,90.0,100,6490,6516,1
2022,1028,ATIP Operations does not set a service standard target but reports rather on the number of requests that were completed within legislated timelines.,"Les Opérations de l'AIPRP n'établissent pas d'objectif de norme de service, mais rendent compte plutôt du nombre de demandes qui ont été traitées dans les délais prescrits par la loi.",,100,185,532,0
2018,1028,,,90.0,100,3,3,1
2020,1028,"The ATIP Division does not set targets for timeliness. For detailed information, please view the Access to Information Act and Privacy Act Annual Reports.","La Division de l'AIPRP ne fixe pas d'objectif de rapidité. Pour des renseignements détaillés, veuillez consulter la Loi sur l’accès à l’information et les rapports annuels de la Loi sur la protection des renseignements personnels.",100.0,100,92,249,0
2021,1028,ATIP Operations does not set a service standard target but reports rather on the number of requests that were completed within legislated timelines.,"Les Opérations de l'AIPRP n'établissent pas d'objectif de norme de service, mais rendent compte plutôt du nombre de demandes qui ont été traitées dans les délais prescrits par la loi.",,100,170,466,0
2022,1030,,,90.0,100,9822,13833,0
2020,1030,,,90.0,100,8915,15110,0
2021,1030,,,90.0,100,9822,13833,0
2018,1033,,,85.0,100,25626,27520,1
2019,1033,,,85.0,100,23973,27876,1
2022,1034,,,90.0,100,69386,69618,1
2020,1034,,,100.0,100,34120,34120,1
2018,1034,,,80.0,100,21095,21590,1
2019,1034,,,80.0,100,25412,26198,1
2021,1034,,,90.0,100,35401,35633,1
2018,1035,,,80.0,100,12601,13946,1
2019,1035,,,80.0,100,15718,18277,1
2022,1038,,,90.0,100,105,108,1
2020,1038,,,90.0,100,67,67,1
2018,1038,,,85.0,100,38085,39415,1
2019,1038,,,85.0,100,36292,37033,1
2021,1038,,,90.0,100,72,78,1
2022,1039,,,80.0,100,4553,4599,1
2020,1039,Unable to track results separately by channel (online and mail),Aucun suivi des résultats par méthode d'application (en ligne et courrier),80.0,100,15320,17137,1
2018,1039,,,80.0,100,26480,26747,1
2021,1039,,,80.0,100,5142,5258,1
2018,1040,Telephone or in-person inspections,Inspections par téléphone ou en personne,0.0,100,0,0,0
2022,1042,87% of enquiries from reporting entities received a response within FINTRAC's service standard.,87% of enquiries from reporting entities received a response within FINTRAC's service standard.,80.0,100,6055,6960,1
2020,1042,87% of enquiries from reporting entities received a response within FINTRAC's service standard.,87 % des demandes de renseignements des entités déclarantes ont reçu une réponse dans les délais prévus par la norme de service de CANAFE.,80.0,100,5611,6431,1
2021,1042,87% of enquiries from reporting entities received a response within FINTRAC's service standard.,87 % des demandes de renseignements des entités déclarantes ont reçu une réponse dans les délais prévus par la norme de service de CANAFE.,80.0,100,6055,6960,1
2022,1043,,,100.0,100,12000000,12000000,1
2020,1043,"100% (39,485,863 total mailing items)","100% (39,485,863 total des envois postaux)",100.0,100,8929350,8929350,1
2021,1043,Channel over which standard is administered - feedback on the delivery of payments is monitored by the RGPB and discussed in person at periodic service meetings with DSB.,Mode de prestation par l'entremise duquel la norme est administrée - le retour d'informations sur la livraison des paiements est contrôlé par le RGPB et discuté en personne lors de réunions de service périodiques avec DSB.,100.0,100,14145634,14145634,1
2020,1044,,,95.0,100,3481861,3609231,1
2018,1044,,,80.0,100,2649,2676,1
2019,1044,,,80.0,100,1687,1687,1
2021,1044,Postal mail has been retired.,,95.0,100,3568369,3657761,1
2018,1048,,,80.0,100,22,29,0
2020,1050,The timelines for the service standards are only valid for returns received on or before filing due date.,Les échéanciers pour les normes de service ne sont valides que pour les déclarations reçues au plus tard à la date d’échéance de production.,95.0,100,22967879,23601537,1
2021,1050,The timelines for the service standards are only valid for returns received on or before filing due date.,Les échéanciers pour les normes de service ne sont valides que pour les déclarations reçues au plus tard à la date d’échéance de production.,95.0,100,20816026,22863847,0
2020,1052,,,95.0,100,6572002,6755872,1
2021,1052,Postal mail retired.,,95.0,100,7120954,7392455,1
2018,1054,,,80.0,100,12,36,0
2018,1055,,,80.0,100,86,86,1
2022,1057,,,70.0,100,610,847,1
2020,1057,Unspecified,Non spécifié,70.0,100,514,637,1
2021,1057,,,70.0,100,393,513,1
2022,1058,,,100.0,100,9720,9720,1
2020,1058,volumes not available,volume non disponible,99.0,100,0,0,0
2021,1058,Volume is not a factor. Service support was available100% of the time during defined support hours.,Le volume n'est pas un facteur.  Soutien de service était disponible 100% du temps pendant les heures de soutien définies.,99.0,100,0,0,0
2018,1060,,,80.0,100,142,177,1
2022,1061,Volume cannot be disclosed due to privacy reasons.,La quantité ne peut être divulgué pour des raisons de confidentialité.,,100,0,0,0
2018,1061,,,80.0,100,83,87,1
2020,1061,,,0.0,100,52,52,1
2021,1061,,,75.0,100,35,45,1
2022,1062,Volume cannot be disclosed due to privacy reasons.,La quantité ne peut être divulgué pour des raisons de confidentialité.,,100,0,0,0
2020,1062,,,0.0,100,0,0,0
2021,1062,,,75.0,100,0,0,0
2018,1066,,,80.0,100,117,137,1
2018,1067,,,80.0,100,32,36,1
2018,1070,,,80.0,100,53,60,1
2020,1071,Service standard applies to all returns,La norme de service s'applique à tous les retours,95.0,100,309067,328458,0
2021,1071,Service standard applies to all returns,La norme de service s'applique à tous les retours,95.0,100,269924,270244,1
2018,1072,,,80.0,100,1053,1055,1
2020,1073,"The Board issued 9 decisions related to the use of works with unlocatable owners within 45 days, as per our service standards.","La Commission a rendu 9 décisions liées à l’utilisation d’œuvres dont le titulaire est introuvable, toutes en deçà de 45 jours, conformément à nos normes de service.",70.0,100,9,9,1
2021,1073,,,70.0,100,0,0,0
2022,1074,Volume is not a factor. Communications were provided as described 100% of the time.,Le volume n'est pas un facteur. Les communications ont été fournies comme décrit 100 % du temps.,100.0,100,25,25,1
2020,1074,99%.  Metrics are best guess at this time; service standards will be updated with the implementation of service management tools in FY 2022-2023.,99%.  Ces chiffres sont approximatifs pour le moment.Nos critères d'évaluation de service seront mis à jour avec la mise en place de l'outil de gestion des services en 2022-2023.,80.0,100,495,500,1
2021,1074,,,80.0,100,220,220,1
2022,1075,Volume is not a factor. Service support was available100% of the time during defined support hours.,Le volume n'est pas un facteur.  Soutien de service était disponible 100% du temps pendant les heures de soutien définies.,99.0,100,25,25,1
2020,1075,95%.  Metrics are best guess at this time; service standards will be updated with the implementation of service management tools in FY 2022-2023.,95%.  Ces chiffres sont approximatifs pour le moment.Nos critères d'évaluation de service seront mis à jour avec la mise en place de l'outil de gestion des services en 2022-2023.,80.0,100,475,500,1
2018,1075,,,80.0,100,26,34,0
2021,1075,,,80.0,100,220,220,1
2022,1076,"The course evaluation satisfaction rating must be an overall minimum of 8/10 to continue to be offered through the CSPS. In one category, a score of 7.56 in 2021-2022 was received; the course is being re-evaluated/updated.","Le taux de satisfaction de l’évaluation du cours doit être d’au moins 8/10 pour continuer d’être offert par l’entremise de l’EFPC. Dans une catégorie, une note de 7,56 en 2021-2022 a été reçue; Le cours est en cours de réévaluation ou de mise à jour.",100.0,100,0,0,0
2020,1076,"First year of delivery with CSPS - results of assessment not yet available. CSPS will collect course evaluation results and will share a quarterly report with CIRNAC, who will then consider any pertinent changes to the course content, as needed.  The course evaluation satisfaction rating must be a minimum of 4/5 to continue to be offered as part of the CSPS calendar.","Première année de prestation avec l'EFPC - les résultats de l'évaluation ne sont pas encore disponibles. L'EFPC recueillera les résultats de l'évaluation des cours et partagera un rapport trimestriel avec CIRNAC, qui examinera ensuite toute modification pertinente au contenu du cours, au besoin. La cote de satisfaction de l'évaluation du cours doit être d'au moins 4/5 pour continuer à être offert dans le cadre du calendrier de l'École.",0.0,100,0,0,0
2018,1076,,,80.0,100,11,11,1
2021,1076,"The course evaluation satisfaction rating must be an overall minimum of 8/10 to continue to be offered through the CSPS. In one category, a score of 7.56 in 2021-2022 was received; the course is being re-evaluated/updated.","Le taux de satisfaction de l’évaluation du cours doit être d’au moins 8/10 pour continuer d’être offert par l’entremise de l’EFPC. Dans une catégorie, une note de 7,56 en 2021-2022 a été reçue; Le cours est en cours de réévaluation ou de mise à jour.",100.0,100,8,8,1
2022,1077,Annual business volume varies.  Testing volume may vary due to unpredictable events (e.g. outbreak). Staff shortages and supply chain issues impacted performance. The number of accredited tests performed in a given year are tracked by NML's Quality Office,Le volume d'affaires annuel varie.  Le volume des tests peut varier en raison d'événements imprévisibles (p. ex. une éclosion). Le manque de personnel et les problèmes de chaîne d’approvisionnement ont eu une incidence sur le rendement. Le nombre de tests accrédités effectués au cours d'une année donnée est suivi par le Bureau de Qualité de LNM,95.0,100,51196,56053,0
2020,1077,Annual business volume varies.  Testing volume may vary due to unpredictable events (e.g. outbreak). The number of accredited tests performed in a given year are tracked by NML's Quality Office,Le volume d'affaires annuel varie.  Le volume des tests peut varier en raison d'événements imprévisibles (p. ex. une éclosion). Le nombre de tests accrédités effectués au cours d'une année donnée est suivi par le Bureau de Qualité de LNM,95.0,100,37098,43742,0
2021,1077,Annual business volume varies.  Testing volume may vary due to unpredictable events (e.g. outbreak). COVID-19-related staff shortages and supply chain issues impacted performance. The number of accredited tests performed in a given year are tracked by NML's Quality Office,Le volume d'affaires annuel varie.  Le volume des tests peut varier en raison d'événements imprévisibles (p. ex. une éclosion). 1. Le manque de personnel et les problèmes de chaîne d’approvisionnement liés à la COVID-19 ont eu une incidence sur le rendement. Le nombre de tests accrédités effectués au cours d'une année donnée est suivi par le Bureau de Qualité de LNM,95.0,100,60103,66528,0
2018,1078,,,100.0,100,26,26,1
2019,1078,,,100.0,100,60,60,1
2022,1079,Annual business volume varies - service is responsive to events which may be unpredictable (e.g. outbreak),Le volume d'affaires annuel varie - le service réagit à des événements qui peuvent être imprévisibles (p. ex. une éclosion),100.0,100,4,4,1
2020,1079,Annual business volume varies - service is responsive to events which may be unpredictable (e.g. outbreak),Le volume d'affaires annuel varie - le service réagit à des événements qui peuvent être imprévisibles (p. ex. une éclosion),100.0,100,5,5,1
2021,1079,Annual business volume varies - service is responsive to events which may be unpredictable (e.g. outbreak),Le volume d'affaires annuel varie - le service réagit à des événements qui peuvent être imprévisibles (p. ex. une éclosion),100.0,100,3,3,1
2022,1080,Annual business volume varies - service is responsive to events which may be unpredictable (e.g. outbreak),Le volume d'affaires annuel varie - le service réagit à des événements qui peuvent être imprévisibles (p. ex. une éclosion),100.0,100,3,3,1
2020,1080,Annual business volume varies - service is responsive to events which may be unpredictable (e.g. outbreak),Le volume d'affaires annuel varie - le service réagit à des événements qui peuvent être imprévisibles (p. ex. une éclosion),100.0,100,0,0,0
2021,1080,Annual business volume varies - service is responsive to events which may be unpredictable (e.g. outbreak),Le volume d'affaires annuel varie - le service réagit à des événements qui peuvent être imprévisibles (p. ex. une éclosion),100.0,100,2,2,1
2022,1083,"The Service Standard Target was calculate in hours, given that Canada.ca was available 100% of the time (24 hours x 365 days = 8,760 hours)","La norme de service ciblé a été calculée en heures, étant donné que Canada.ca était disponible 100% du temps (24 heures x 365 jours = 8 760 heures.",99.0,100,8760,8760,1
2020,1083,,,99.0,100,8760,8760,1
2021,1083,"The Service Standard Target was calculate in hours, given that Canada.ca was available 100% of the time (24 hours x 365 days = 8,760 hours)","La norme de service ciblé a été calculée en heures, étant donné que Canada.ca était disponible 100% du temps (24 heures x 365 jours = 8 760 heures.",99.0,100,8760,8760,1
2022,10,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration,99.0,100,0,1121,0
2020,10,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration,99.0,100,0,8372,0
