standard_id,year,lower,count,met_count,comment_en,comment_fr
23,2018,80,52192,41754,"Available reports did not contain the total number of calls that satisfied the service standard, only the total number of calls and the percentage that met the service standard. The total displayed in the ""annual business volume satisfying the service standard"" has been calculated using the total annual business volume and the percentage that met the service standard.","Les rapports disponibles ne contiennent pas le nombre total d’appels qui satisfont à la norme de service, seulement le nombre total d’appels et le pourcentage d’appels qui satisfont à la norme de service. Le total indiqué comme volume annuel répondant à la norme de service (Volume d'activités annuelles qui répond à la norme) a été calculé à partir du volume annuel total et du pourcentage qui satisfait à la norme de service."
19,2018,95,2510,0,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.
14,2018,50,1034,0,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.
10,2018,99,10117,0,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.
16,2018,95,16889,0,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.
1341,2018,95,593673,0,Total annual business volumes satisfying the service standard have not been included due to the underlying methodology used to calculate the extent to which the service standard target has been met. The performance measurement methodology is based on random samplings of results for each service channel at different points of time.,Le volume annuel total conforme à la norme de service n’a pas été inclus en raison de la méthode sous-jacente utilisée pour calculer la mesure dans laquelle la norme de service cible a été respectée. La méthode de mesure du rendement repose sur des échantillons aléatoires de résultats pour chaque canal de service à différents moments.
58,2018,99.5,49249,0,Annual Business Volume Satisfying Standard: Data collection and measurement is not possible at this time as the current tool has not been configured to collect this information. A new IT Service Management (ITSM) tool has been procured and its configuration is in the initial stages.,Volume d'activités annuelles qui répond à la norme: La collecte et l’analyse des données ne peuvent être effectuées à l’heure actuelle puisque l’outil n’a pas été configuré à des fins de collecte d’information. On a fait l’acquisition d’un nouvel outil de gestion des services de TI (GSTI) et on a commencé sa configuration.
26,2018,95,0,0,Performance results are not available. A recommendation for 2019–2020 will be to remove this service standard and to consider replacing it with a more effective one.,"Les résultats de rendement ne sont pas disponibles. Pour 2019-2020, il sera recommandé de retirer cette norme de service et de la remplacer pour une norme plus efficace."
28,2018,90,4789,4789,,
29,2018,90,18989,18513,,
