dept_submissions__document__year,eternal_id,service,name_en,name_fr,first_active_year,last_active_year,last_gcss_tool_year,channel__name_en,channel__name_fr,channel__code,standard_type__name_en,standard_type__name_fr,standard_type__code,standard_comment_en,standard_comment_fr
2019,1233,838,Emails for less urgent inquiries: 24hr response time (24/7).,Courriels concernant les questions qui ne pas urgentes: temps de réponse de 24 heures (24/7).,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1235,838,Phone support for critical issues during business or after hours: respond within 1 hr (24/7).,Support téléphonique pour les questions essentielles durant ou après les heures de bureau : réponse en moins d'une heure (24/7).,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1408,790,"After the registration deadline, applicants are notified if they have been successful or not. Timelines vary based on the total number of applicants.","Une fois la date limite d'inscription passée, les candidats sont informés si leur demande d'inscription fut acceptée ou non. La durée est variable et dépend du nombre total de candidats.",,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1745,808,https://laws-lois.justice.gc.ca/eng/acts/A-1/,https://laws-lois.justice.gc.ca/fra/lois/A-1/,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,1746,808,https://laws-lois.justice.gc.ca/eng/acts/P-21/FullText.html,https://laws-lois.justice.gc.ca/fra/lois/P-21/TexteComplet.html,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,2015,353,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,2016,353,Communicating a funding decision after receiving a completed application is submitted: 30 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 30 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,2017,353,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3447,284,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3449,355,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3451,355,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3453,355,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3455,353,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3457,353,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,3459,353,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,663,354,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,664,354,Communicating a funding decision after receiving a completed application is submitted: 30 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 30 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2020,665,354,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,730,810,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,731,810,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,732,813,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,733,813,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,734,813,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,735,814,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,736,814,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,737,814,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,851,351,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,852,351,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,853,351,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,857,817,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,858,817,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,859,817,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,872,795,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,873,795,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,874,795,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,875,352,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,876,352,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,877,352,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,881,339,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,882,339,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,883,339,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,887,356,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,888,356,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,889,356,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,893,775,Acknowledging the receipt of a funding request: 15 Business days,Accuser réception d'une demande de financement : 15 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,894,775,Communicating a funding decision after receiving a completed application is submitted: 52 Weeks,Communiquer une décision de financement après la réception d'une demande complète : 52 semaines,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
2019,895,775,Issuing a payment following receipt of all required documentation: 30 Business days,Effectuer un paiement après la réception de l'ensemble des documents requis : 30 jours ouvrables,,,0,Online,En ligne,onl,Timeliness,Rapidité,Timeliness,,
