"id","parent_id","name_en","name_fr","description_en","description_fr","planned_spend_pa_last_year","spend_pa_last_year","drr_spend_expl_en","drr_spend_expl_fr","planned_fte_pa_last_year","fte_pa_last_year","drr_fte_expl_en","drr_fte_expl_fr"
"P1001-0008","AGR-AAA00","AgriStability","Agri-stabilité","AgriStability provides support when producers experience large margin declines. A producer may be able to receive an AgriStability payment when their current year program margin falls below a percentage of their historical reference margin. AgriStability is cost-shared 60:40 by federal, and provincial or territorial governments. This program uses funding from the following transfer payment(s): (Statutory) Grant payments for the AgriStability program and (Statutory) Contribution payments for the AgriStability program.","Agri-stabilité apporte un soutien aux producteurs lorsque leur marge diminue fortement. Un producteur peut être admissible à un paiement au titre d’Agri-stabilité lorsque leur marge du programme de l’année courante est en deçà d’un certain pourcentage de leur marge de référence historique. Agri-stabilité est un programme à frais partagés entre les gouvernements fédéral, et provinciaux ou territoriaux, selon un rapport 60 : 40.Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de subventions (législatifs) pour le programme Agri-stabilité et paiements de contributions (législatifs) pour le programme Agri-stabilité.",277591038.00,357696156.00,"Actual spending was more than planned spending due to a decrease in commodity prices, increasing producers’ need for support under the program. The AgriStability program is statutory and demand-driven, rather than being funded from a set allocation for each fiscal year. For AgriStability, although the administrative costs of the program remain relatively constant, the year-to-year grant and contribution payments are directly related to both participation and industry conditions.","Les dépenses réelles étaient plus élevées que les dépenses prévues en raison d’une diminution des prix des produits de base, ce qui a exacerbé le besoin des producteurs de recevoir du financement du programme. En plus d’être de nature législative, le programme Agri-stabilité est axé sur la demande, au lieu d’être financé à même une enveloppe établie pour chaque exercice financier. Bien que les frais d’administration demeurent relativement constants, les paiements de subvention et de contribution d’une année à l’autre sont directement liés à la participation et à la situation de l’industrie.",164.00,162.00,"",""
"P1001-0009","AGR-AAA00","AgriInvest","Agri-investissement","AgriInvest helps producers manage income declines, and provides support for investments to mitigate risks or improve market income. Producers’ AgriInvest accounts build as they make annual deposits based on a percentage of their Allowable Net Sales and receive matching contributions from federal, and provincial or territorial governments. AgriInvest is cost shared 60:40 by federal, and provincial or territorial governments. This program uses funding from the following transfer payment(s): (Statutory) Grant payments for the AgriInvest program and (Statutory) Contribution payments for the AgriInvest program.","Agri-investissement aide les producteurs à gérer des baisses de revenu et accorde un soutien pour des investissements qui permettent d’atténuer les risques ou d’améliorer le revenu du marché. Les comptes Agri-investissement des producteurs grossissent grâce à leurs dépôts annuels, qui représentent un pourcentage de leurs ventes nettes admissibles, et aux contributions de contrepartie qu’ils reçoivent des gouvernements fédéral, et provinciaux ou territoriaux. Agri-investissement est un programme à frais partagés entre les gouvernements fédéral, et provinciaux ou territoriaux, selon un rapport 60 : 40.Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de subventions (législatifs) pour le programme Agri-investissement et paiements de contributions (législatifs) pour le programme Agri-investissement.",156017096.00,187125696.00,"Actual spending was more than planned spending due to strong sector performance, resulting in higher Allowable Net Sales and increased government matching contributions. AgriInvest is demand-driven, rather than being funded from a set allocation for each fiscal year. Although the administrative costs of the program remain relatively constant, the variance from year-to-year grant and contribution expenditures is directly related to both participation and commodity prices. Producer deposits and government contributions are based on a percentage of income generated from the sale of commodities for a production period (Allowable Net Sales).","Les dépenses réelles étaient plus élevées que les dépenses prévues en raison du fort rendement du secteur, qui a entraîné une augmentation des ventes nettes ajustées et des contributions de contrepartie du gouvernement. Agri-investissement est axé sur la demande au lieu d’être financé à même une enveloppe établie pour chaque exercice. Bien que les frais d’administration demeurent relativement constants, l’écart des paiements de subvention et de contribution d’une année à l’autre est directement lié à la participation et au prix des produits de base. Les dépôts des producteurs et les contributions gouvernementales correspondent à un pourcentage des revenus générés par la vente des produits de base au cours d’une période de production donnée (ventes nettes ajustées).",125.00,132.00,"",""
"P1001-0010","AGR-AAA00","AgriRecovery","Agri-relance","AgriRecovery is a disaster-relief framework that allows federal, provincial and territorial governments to work together on a case-by-case basis to assess natural disasters (for example, extreme weather, disease, pests, et cetera) affecting Canadian farmers and respond with targeted, disaster-specific programming when assistance is needed beyond existing programming (AgriStability, AgriInvest, AgriInsurance, Canadian Food Inspection Agency compensation, et cetera). The aim of AgriRecovery is to provide affected producers with assistance to help them take action to mitigate the impacts of the disaster and/or resume business operations as quickly as possible following a disaster event. This program uses funding from the following transfer payment(s): (Statutory) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery.","Agri-relance est un cadre d’aide en cas de catastrophe qui permet aux gouvernements fédéral, provinciaux et territoriaux d’évaluer conjointement, au cas-par-cas, l’ampleur de catastrophes naturelles (par exemple, conditions météorologiques extrêmes, maladies, parasites, et cetera) frappant les agriculteurs canadiens et d’offrir à ces derniers des programmes d’aide ciblés selon la catastrophe en cause lorsqu’une aide autre que celle prévue par les programmes en vigueur (Agri-stabilité, Agri-investissement, Agri-protection, indemnisation par l’Agence canadienne d’inspection des aliments, et cetera) est nécessaire. Agri-relance vise à aider les producteurs touchés à prendre des mesures pour atténuer les répercussions d’une catastrophe et/ou à reprendre leurs activités commerciales le plus rapidement possible à la suite d’une catastrophe. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contributions (législatifs) pour le programme d’aide en cas de catastrophe agricole - Agri-relance.",122761988.00,8323781.00,"Actual spending was less than planned spending as only two initiatives were implemented in 2016-17: the 2016 Canada-Alberta Bovine Tuberculosis Assistance Initiative and the 2016 Canada-Saskatchewan Bovine Tuberculosis Assistance Initiative. AgriRecovery is a demand-driven program. The spending varies from year to year depending on the need for disaster response initiatives.","Les dépenses réelles ont été inférieures aux dépenses prévues, car seules deux initiatives ont été mises en œuvre en 2016–2017 : l’Initiative d’aide aux éleveurs d’animaux atteints de tuberculose bovine de 2016 entre le Canada et l’Alberta et l’Initiative d’aide aux éleveurs d’animaux atteints de tuberculose bovine de 2016 entre le Canada et la Sakatchewan. Agri relance est un programme régi par la demande. Les dépenses varient d’une année à l’autre en fonction du besoin de recourir aux initiatives d’aide en cas de catastrophe.",11.00,10.00,"",""
"P1001-0011","AGR-AAA00","AgriInsurance","Agri-protection","AgriInsurance helps producers minimize the economic impacts of production losses caused by adverse weather, diseases and other specified perils. AgriInsurance is a program that uses premiums to fund liabilities. The premiums are cost shared between the federal government, provincial governments and producers. The commodities covered vary by province and continue to expand. This program uses funding from the following transfer payment(s): (Statutory) Contribution payments for the AgriInsurance program.","Agri-protection aide les producteurs à minimiser les conséquences économiques des pertes de production causées par des conditions météorologiques défavorables, des maladies ainsi que d’autres catastrophes précises. Agri-protection est un programme basé sur une analyse actuarielle fiable qui utilise des primes pour financier les indemnités. Les primes sont payées selon une formule de partage des coûts entre le gouvernement fédéral, les gouvernements provinciaux et les producteurs. L’éventail de produits visés par le programme varie selon la province et continue de s’agrandir. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements de contributions (législatifs) pour le programme Agri-protection.",645346998.00,704340362.00,"","",20.00,21.00,"",""
"P1001-0012","AGR-AAA00","Canadian Agricultural Loans Act","Loi canadienne sur les prêts agricoles","The Canadian Agricultural Loans Act is a legislated financial loan guarantee program that improves availability of credit to farmers and agricultural co-operatives. Under the program, the Government of Canada guarantees to financial institutions repayment of the loans that they make to farmers and agricultural co-operatives for eligible purposes. Farmers use these loans to establish, improve and develop their farms, while agricultural co-operatives use loans to process, distribute, or market the products of farming. This program uses funding from the following transfer payment(s): Loan guarantees under the Canadian Agricultural Loans Act (R.S.C., 1985, c. 25 [3rd Supp.]).","La Loi canadienne sur les prêts agricoles est un programme légiféré de garantie d’emprunt qui améliore la disponibilité du crédit pour les agriculteurs et les coopératives agricoles. En vertu du programme, le gouvernement du Canada garantit aux institutions financières le remboursement des prêts accordés aux agriculteurs et aux coopératives agricoles à des fins admissibles. Les agriculteurs utilisent ces prêts pour créer, améliorer et développer leurs fermes alors que les coopératives agricoles s’en servent pour traiter, distribuer ou mettre en marché les produits de l’agriculture. Le programme utilise les paiements de transfert suivants comme source de financement : Prêts garantis en vertu de la Loi canadienne sur les prêts agricoles (L.R.C.,1985, ch. 25 [3e suppl.]).",14748009.00,1222386.00,"Actual spending was less than planned spending as lower prime lending rates across the financial industry have reduced uptake of the program and have also decreased the costs associated with defaulted loans. This, in combination with amounts recovered from past years honoured loans, has reduced the overall program costs below the planned spending amount for 2016–17.","Les dépenses réelles ont été inférieures aux dépenses prévues, car des taux d’intérêt préférentiels peu élevés dans l’ensemble du secteur financier ont entraîné une baisse de la participation au programme de même qu’une diminution des coûts liés aux prêts en souffrance. Cette situation, combinée aux montants recouvrés grâce aux prêts remboursés ces dernières années, a réduit les coûts globaux du programme à un montant inférieur à celui des dépenses prévues pour 2016–2017.",4.00,3.00,"Actual full-time equivalents were lower than planned as it reflects a reallocation of full-time equivalents within Agriculture and Agri-Food Canada to better manage operational work load, taking into account the increased operational tempo driven by the emerging priorities, including Growing Forward 2 program initiatives.","Le nombre réel d’équivalents temps plein était moins élevé que prévu puisqu’il rend compte d’une réaffectation des équivalents temps plein au sein d’Agriculture et Agroalimentaire Canada afin que la charge de travail opérationnelle soit mieux gérée, en tenant compte de l’augmentation du rythme opérationnel entraîné par les nouvelles priorités, y compris les initiatives de programme de Cultivons l’avenir 2."
"P1001-0013","AGR-AAA00","Agricultural Marketing Programs Act","Loi sur les programmes de commercialisation agricole","The Advance Payments Program and the Price Pooling Program are active federal loan-guarantee programs legislated under the authority of the Agricultural Marketing Programs Act. Under the Advance Payments Program, the government guarantees the repayment of the cash advances made to crop and livestock producers by third-party administrators for a specified period of time, based on the value of their agricultural product. These cash advances improve producers’ cash flow throughout the year, enabling them to meet financial obligations and benefit from the best market conditions. Eligible producers can receive an Advance Payments Program advance of up to $400,000 at a preferential interest rate, with the government paying the interest on the first $100,000. Producers repay their advance plus interest, as their product is sold. Target clients are producers of agricultural products as defined under the Agricultural Marketing Programs Act. The Price Pooling Program helps market agricultural products under cooperative plans by guaranteeing an average initial price for products sold by marketing agencies. This enables marketing agencies to secure financing and to issue initial delivery payments to their members. The government guarantee protects agencies against unanticipated declines in the market price of their products that exceed 35%. Target clients are marketing agencies of agricultural products defined under the Agricultural Marketing Programs Act. This program uses funding from the following transfer payment(s): Payments in connection with the Agricultural Marketing Programs Act (S.C. 1997, c. 20).","Le Programme de paiements anticipés et le Programme de mise en commun des prix sont des programmes de garantie d’emprunt actifs qui relèvent de la Loi sur les programmes de commercialisation agricole. En vertu du Programme de paiements anticipés, le gouvernement garantit le remboursement des avances versées aux producteurs de végétaux et d’animaux par des tiers administrateurs pour une période déterminée en se fondant sur la valeur de leur produit agricole. Ces avances de fonds améliorent les liquidités des producteurs tout au long de l’année, ce qui leur permet de respecter les obligations financières et de tirer parti des meilleures conditions de marché. Un producteur admissible peut recevoir l’avance prévue par le Programme de paiements anticipés pouvant atteindre 400 000 $ à un taux d’intérêt préférentiel, le gouvernement versant les intérêts sur le premier 100 000 $. Les producteurs remboursent l’avance plus les intérêts dès que leur produit est vendu. Les clients cibles sont les producteurs de denrées agricoles au sens de la Loi sur les programmes de commercialisation agricole. Le Programme de mise en commun des prix aide à commercialiser des produits agricoles visés par des plans coopératifs en garantissant un prix initial moyen pour les produits vendus par les agences de commercialisation. Ceci permet aux agences de commercialisation d’obtenir du financement et de dispenser les paiements de première livraison à leurs membres. La garantie du gouvernement protège les agences contre les déclins imprévus du prix du marché de leurs produits qui dépassent 35,0 %. Les clients cibles sont les agences de commercialisation des produits agricoles visés par la Loi sur les programmes de commercialisation agricole. Le programme utilise les paiements de transfert suivants comme source de financement : Paiements relatifs à la Loi sur les programmes de commercialisation agricole (L.C. 1997, ch. 20).",72005000.00,29518901.00,"Actual spending was lower than planned spending due to current below average interest rates. Uptake of the Advance Payments Program by producers fluctuates from year-to-year based on demand, interest rates and the needs of producers. This figure is net of amounts recovered from past defaulted advances and the level of program spending is consistent with levels in recent years.","Les dépenses réelles étaient inférieures aux dépenses prévues en raison des taux d’intérêt actuellement inférieurs à la moyenne. Le nombre de demandes des producteurs reçues dans le cadre du Programme de paiements anticipés varie d’une année à l’autre en fonction de la demande, des taux d’intérêt et des besoins des producteurs. Ce chiffre ne compte pas les montants recouvrés des avances antérieures en souffrance, et le niveau de dépenses de programme est en phase avec les niveaux des dernières années.",32.00,31.00,"",""
"P1001-0014","AGR-AAA00","Hog Industry Loan Loss Reserve","Réserve pour pertes sur prêts dans l’industrie du porc","The Hog Industry Loan Loss Reserve Program (HILLRP) is aimed at assisting viable hog operations with their short term liquidity pressures by providing long term loans. The program will reduce lenders’ exposure to risk by sharing the risk of long term loans with the Government of Canada, thereby encouraging these lenders to extend credit and facilitate debt restructuring.","Le Programme de réserve pour pertes sur prêts dans l’industrie du porc (PRPPIP) vise à aider les exploitations porcines rentables à atténuer les pressions financières à court terme en fournissant des prêts à long terme. Le programme aidera à réduire l’exposition des prêteurs aux risques associés à l’octroi de prêts à long terme en les partageant avec le gouvernement du Canada, ce qui encouragera les prêteurs à consentir un crédit et à faciliter le refinancement de la dette.",0.00,-20782068.00,"","",0.00,0.00,"",""
"P1001-0022","AGR-CMA00","Trade and Market Expansion","Croissance du commerce et des marchés","The Trade and Market Expansion program, funded by existing departmental resources and Growing Forward 2, enhances Canada’s market presence by promoting science-based trade rules, re-opening, maintaining and expanding markets, and pursuing free trade agreements with key trading partners, recognizing the importance of global markets to the profitability of Canada’s agriculture, agri-food and agri-based products sector. To fully capture the benefits of free trade agreements and increased access, the Trade and Market Expansion program also provides resources and tools, such as market intelligence, a trade commissioner service and Canada Brand tools and coordination that enable industry to seize new market opportunities and build commercial success. The program uses funding from the following transfer payment(s): Grants to foreign recipients for participation in international organizations supporting agriculture.","Le programme Croissance du commerce et des marchés qui est financé par les ressources ministérielles existantes et par Cultivons l’avenir 2, accroît la présence du Canada sur les marchés en favorisant des règlements commerciaux basés sur la science, en assurant la réouverture, le maintien et la croissance des marchés ainsi qu’en concluant des accords de libre-échange avec les principaux partenaires commerciaux, reconnaissant l’importance des marchés internationaux à la rentabilité du secteur canadien de l’agriculture, de l’agroalimentaire et des produits agro-industriels. Pour que l’industrie puisse bénéficier de tous les avantages des accords de libre-échange et d’un accès accru aux marchés, le programme Croissance du commerce et des marchés offre également des ressources et des outils comme des renseignements sur les marchés, un service de délégués commerciaux et, sous la marque Canada, des outils et de la coordination, qui permettent à l’industrie de tirer parti des nouveaux débouchés commerciaux et de connaître un succès commercial. Le programme utilise les paiements de transfert suivants comme source de financement : Subventions versées à des bénéficiaires étrangers pour leur participation auprès d’organisations internationales qui appuient l’agriculture.",32417202.00,20240305.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities. In addition, planned spending included funding that was later transferred to other government departments for Growing Forward 2 initiatives.","Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes. De plus, les dépenses prévues comprenaient également un financement qui a été transféré par la suite à d’autres ministères dans le cadre d’initiatives de Cultivons l’avenir 2.",132.00,131.00,"",""
"P1001-0024","AGR-CMA00","Sector Engagement and Development","Mobilisation et développement du secteur","The Sector Engagement and Development program, funded by existing departmental resources and Growing Forward 2, seeks to improve the sector’s competitiveness and market success. Regional and sector specialists work to maintain and expand working relationships through collaboration with provinces and territories, national and regional agricultural and food associations, individual companies and value chain members, in order to develop knowledge and address issues of importance facing the sector, including market and regulatory issues.","Le programme Mobilisation et développement du secteur, qui est financé par les ressources ministérielles existantes et par Cultivons l’avenir 2, vise à améliorer la compétitivité du secteur et à favoriser son succès sur les marchés. Des spécialistes régionaux et sectoriels s’emploient à entretenir et à étendre les relations de travail, de concert avec les provinces et les territoires, les associations agricoles et alimentaires nationales et régionales ainsi que les entreprises individuelles et les membres de la chaîne de valeur en vue d’acquérir des connaissances et de relever les défis principaux auxquels est confronté le secteur, dont ceux qui ont trait aux marchés et à la réglementation.",22140517.00,23540045.00,"","",171.00,160.00,"",""
"P1001-0027","AGR-CMA00","Pest Management: Pesticides Minor Use Program","Lutte antiparasitaire : Programme de pesticides à usage limité","This Growing Forward 2 program improves grower access to new minor uses of pesticides. Pesticide residue, efficacy and crop tolerance studies are conducted to generate and to inform regulatory data packages, which are submitted to Health Canada for new minor uses of pesticide products. In addition, collaborative work with our colleagues in the United States results in joint pesticide submissions to the regulatory agencies of both countries and the simultaneous availability of new pesticide minor uses in both countries. The increased availability of new minor use pesticides prevents trade barriers with countries where these products are already available.","Ce programme de Cultivons l’avenir 2 accroît l’accès des agriculteurs à de nouveaux pesticides à usage limité. Des études sur les résidus de pesticides, l’efficacité des pesticides et la tolérance des cultures sont menées pour générer à l’intention de Santé Canada des ensembles de données réglementaires concernant les nouveaux pesticides à usage limité. Par ailleurs, les travaux menés en collaboration avec nos collègues des États-Unis donnent lieu à des  soumissions conjointes sur les pesticides aux organismes de réglementation des deux pays et à la disponibilité simultanée des nouveaux pesticides à usage limité dans les deux pays. L’accessibilité accrue à de nouveaux pesticides à usage limité élimine les obstacles commerciaux avec les pays dans lesquels ces produits sont déjà accessibles.",10302317.00,8655668.00,"Actual spending was less than planned spending primarily due to a realignment among programs in response to shifting priorities.","Les dépenses réelles étaient inférieures aux dépenses prévues, essentiellement en raison d’une réorganisation des programmes visant à tenir compte des priorités changeantes.",53.00,49.00,"",""
