dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year,avg_share
ACOA,Abroad,2,.,.,.,.,0.00065
ACOA,MB,.,.,1,1,.,0.00065
ACOA,NB,361,312,309,301,313,0.51869
ACOA,NCR ON,28,26,25,25,25,0.04192
ACOA,NL,114,100,94,97,98,0.16347
ACOA,NS,115,99,107,130,128,0.18817
ACOA,PE,57,53,55,50,49,0.0858
ACOA,Unknown,.,.,.,.,2,0.00065
AECB,AB,9,10,8,8,8,0.0102
AECB,Abroad,1,1,1,.,2,0.00119
AECB,NB,4,5,4,4,6,0.00546
AECB,NCR ON,790,785,756,758,776,0.91718
AECB,NCR QC,1,1,.,.,.,0.00047
AECB,ON (minus NCR),34,31,33,34,43,0.04153
AECB,QC (minus NCR),11,11,8,7,7,0.01044
AECB,SK,14,12,11,11,9,0.01353
AGR,AB,526,494,460,486,475,0.08629
AGR,Abroad,3,2,2,.,.,0.00025
AGR,BC,274,254,214,206,209,0.0409
AGR,MB,916,843,720,672,626,0.13352
AGR,NB,156,145,131,127,148,0.02499
AGR,NCR ON,2503,2190,1950,1924,1870,0.36897
AGR,NCR QC,2,.,.,.,.,0.00007
AGR,NL,39,36,30,35,39,0.00633
AGR,NS,147,135,128,127,139,0.0239
AGR,NT,1,.,.,.,.,0.00004
AGR,NU,1,1,.,.,.,0.00007
AGR,ON (minus NCR),419,401,354,371,359,0.06731
AGR,PE,90,80,87,91,95,0.01566
AGR,QC (minus NCR),650,596,518,515,510,0.0986
AGR,SK,915,813,696,639,634,0.1307
AGR,Unknown,.,.,.,.,62,0.00219
AGR,YT,2,1,1,1,1,0.00021
AHRAC,BC,4,.,.,.,.,0.28571
AHRAC,NCR ON,10,.,.,.,.,0.71429
APPRT,BC,1,.,.,.,.,0.07692
APPRT,NCR ON,9,3,.,.,.,0.92308
ATSSC,BC,.,.,.,5,6,0.01521
ATSSC,MB,.,.,.,2,1,0.00415
ATSSC,NCR ON,.,.,.,310,331,0.88658
ATSSC,NCR QC,.,.,.,12,14,0.03596
ATSSC,NS,.,.,.,2,2,0.00553
ATSSC,ON (minus NCR),.,.,.,7,7,0.01936
ATSSC,QC (minus NCR),.,.,.,11,12,0.03181
ATSSC,Unknown,.,.,.,.,1,0.00138
CAS,AB,10,11,10,13,12,0.01759
CAS,BC,37,31,25,26,35,0.04838
CAS,MB,6,5,5,6,6,0.0088
CAS,NB,2,2,1,2,2,0.00283
CAS,NCR ON,469,445,439,442,473,0.71254
CAS,NCR QC,4,3,3,3,6,0.00597
CAS,NL,.,.,.,.,2,0.00063
CAS,NS,3,3,3,3,3,0.00471
CAS,ON (minus NCR),68,67,71,67,76,0.10964
CAS,QC (minus NCR),61,56,57,56,53,0.08891
CAT,NCR ON,10,9,9,.,.,1
CB,NCR ON,14,14,12,17,14,0.9726
CB,NCR QC,.,1,1,.,.,0.0274
CBSA,AB,517,502,507,526,506,0.03587
CBSA,Abroad,8,9,5,6,12,0.00056
CBSA,BC,1936,1779,1744,1787,1839,0.12741
CBSA,MB,509,508,482,486,475,0.0345
