"DeptCode","SObj","TotalAuthorityCurrent","ExpenditureatquarterendCurrent","TotalExpenditureCurrent","TotalAuthorityPrevious","ExpenditureatquarterendPrevious","TotalExpenditurePrevious"
"ACOA",1,58758000,16243000,16243000,60062000,15012000,15012000
"ACOA",2,2316000,564000,564000,2864000,526000,526000
"ACOA",3,432000,71000,71000,358000,42000,42000
"ACOA",4,4757000,325000,325000,6907000,727000,727000
"ACOA",5,1812000,268000,268000,1397000,304000,304000
"ACOA",6,1472000,167000,167000,432000,144000,144000
"ACOA",7,424000,99000,99000,314000,37000,37000
"ACOA",9,1322000,277000,277000,1097000,265000,265000
"ACOA",10,240222000,22853000,22853000,243460000,20020000,20020000
"ACOA",12,50000,-136000,-136000,-394000,47000,47000
"AECB",1,96965000,22639000,22639000,94816000,21980000,21980000
"AECB",2,5476000,1384000,1384000,5546000,1169000,1169000
"AECB",3,1269000,301000,301000,1365000,241000,241000
"AECB",4,17424000,1950000,1950000,19082000,2255000,2255000
"AECB",5,5416000,555000,555000,5309000,700000,700000
"AECB",6,1642000,95000,95000,1733000,47000,47000
"AECB",7,794000,53000,53000,703000,108000,108000
"AECB",9,3894000,554000,554000,3945000,185000,185000
"AECB",10,2502000,788000,788000,2253000,216000,216000
"AECB",12,28000,96000,96000,15000,-77000,-77000
"AGR",1,470488000,119751000,119751000,469887000,113374000,113374000
"AGR",2,11649000,2508000,2508000,11078000,2678000,2678000
"AGR",3,6156000,1232000,1232000,5136000,1173000,1173000
"AGR",4,104330000,13249000,13249000,120164000,18915000,18915000
"AGR",5,2685000,2715000,2715000,3760000,675000,675000
"AGR",6,17193000,1658000,1658000,18545000,3097000,3097000
"AGR",7,44288000,5461000,5461000,51410000,6023000,6023000
"AGR",8,31928000,3790000,3790000,10084000,1460000,1460000
"AGR",9,47851000,2309000,2309000,41160000,3523000,3523000
"AGR",10,1618306000,47277000,47277000,1585676000,45205000,45205000
"AGR",12,8621000,2556000,2556000,25075000,1753000,1753000
"AGR",20,-57133000,-11003000,-11003000,-59946000,-16695000,-16695000
"ATSSC",1,63436938,15846506,15846506,63922400,15889623,15889623
"ATSSC",2,3922308,519051,519051,3019068,478003,478003
"ATSSC",3,763549,240966,240966,504948,46039,46039
"ATSSC",4,8313656,530710,530710,7190216,819326,819326
"ATSSC",5,1962740,564658,564658,1692358,392643,392643
