"Deptcode","Vote","Votestattype","DescEn","Descfr","Auth2012","Exp2012","Auth2013","Exp2013","Auth2014","Exp2014","Auth2015","Exp2015","Auth2016","Exp2016"
"ACOA",1,1,"Operating/Program","Fonctionnement/Programme",82386685,72981202,74725659.00,69058793.00,68604382,65978345.00,67652575,63025130,67442115,61978440
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions",241592300,233185297,236733470.00,236733461.00,232078550,231078546.00,230745973,230745966,262479240,262479231
"ACOA","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",9470228,9470228,8346591.00,8346591.00,8208478,8208478.00,7809399,7809399,7900191,7900191
"ACOA","S",999,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs",84,84,0.00,0.00,20,20.00,0,0,0,0
"ACOA","S",999,"Salary and Motor Car Allowance","Traitement et allocation pour automobile",2000,2000,1425.00,1425.00,2000,2000.00,1189,1189,0,0
"ACOA","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",42992,23136,28877.00,17838.00,22847,5702.00,31149,27284,28013,7640
"AECB",1,1,"Operating/Program","Fonctionnement/Programme",40407092,37676689,49630375.00,46130800.00,42749352,40051490.00,41651356,39835227,40670827,37939111
"AECB","S",999,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés",14659788,14659788,15830839.00,15830839.00,13657948,13657948.00,13363785,13363785,13103856,13103856
"AECB","S",999,"Expenditures pursuant to Paragraph 29.1(1) of Financial Administration Act","Dépenses aux termes du paragraphe 29.1(1) de la Loi sur la gestion des finances publiques",89544119,87308726,0.00,0.00,0,0.00,0,0,0,0
"AECB","S",999,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État",54041,53951,20058.00,0.00,49602,19968.00,58000,29634,56449,56368
"AECB","S",999,"Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act","Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires",0,0,85973334.00,83655382.00,86936223,84410163.00,89967267,84740022,93887126,86026695
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État",345308000,341243000,378062900.00,351762900.00,332428000,325643000.00,552126692,491064000,968615589,784133000
