"DeptCode","Vote","VoteStatType","AuthorityCode_Text_English","AuthorityCode_Text_French","Item","FY2014","FY2015","FY2016","FY2017"
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","ME",63873388,64399896,64222120,63351960
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","SEC",35962,0,0,0
"ACOA",1,1,"Operating and Program","Fonctionnement et Programme","VA",4695032,3252679,3219995,6586778
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","ME",216270293,225573493,235160493,240222493
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","SEA",0,0,8300000,0
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","SEB",11184057,0,1678001,43594308
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","SEC",179398,5172480,17340746,154401
"ACOA",5,3,"Grants & Contributions","Subventions et Contributions","VA",4444802,0,0,0
"ACOA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",8340703,8609600,8814591,7970491
"ACOA","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",-132225,-800201,-914400,0
"ACOA","S",0,"Refunds of amounts credited to revenues in previous years","Remboursements de montants portés aux revenus d'exercices antérieurs","SA",20,0,0,0
"ACOA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","ME",2000,2000,0,0
"ACOA","S",0,"Salary and Motor Car Allowance","Traitement et allocation pour automobile","SA",0,-811,0,0
"ACOA","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",22847,31149,28013,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","ME",36578266,38921080,38686934,37939524
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","SEB",0,0,86001,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","SEC",167265,103491,0,0
"AECB",1,1,"Operating and Program","Fonctionnement et Programme","VA",6003821,2626785,1897892,2175889
"AECB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","ME",4166487,4501548,4608973,4190809
"AECB","S",0,"Contributions to employee benefit plans","Contributions aux régimes d'avantages sociaux des employés","SA",9491461,8862237,8494883,0
"AECB","S",0,"Spending of proceeds from the disposal of surplus Crown assets","Dépenses des produits de la vente de biens excédentaires de l'État","SA",49602,58000,56449,0
"AECB","S",0,"Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act","Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires","ME",90892542,89757117,92870309,94790126
"AECB","S",0,"Spending of the revenues pursuant to section 21(3) of the Nuclear Safety and Control Act","Dépense des recettes conformément à l'article 21(3) de la Loi sur la sûreté et la réglementation nucléaires","SA",-3956319,210150,1016817,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","ME",102143000,102143000,968615589,971055162
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEA",195000000,164900000,0,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEB",35285000,0,0,300001
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","SEC",0,52283692,0,0
"AECL",1,5,"Payments to Crown Corps","Paiement aux sociétés d'État","VA",0,232800000,0,0
"AECL","S",0,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l'article 2146 de la Loi sur l'emploi et la croissance, pour la dissolution d'Énergie atomique du Canada limitée","ME",0,17000000,0,0
"AECL","S",0,"Pursuant to section 2146 of the Jobs and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited","Conformément à l'article 2146 de la Loi sur l'emploi et la croissance, pour la dissolution d'Énergie atomique du Canada limitée","SA",1100000,-17000000,0,0
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","ME",544949432,548177880,534827658,535624241
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","SEA",0,-7400000,2127657,6175775
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","SEB",5588731,0,1993716,1270503
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","SEC",0,6851667,344107670,-199000
"AGR",1,1,"Operating and Program","Fonctionnement et Programme","VA",34923299,30072472,30185322,63584723
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","ME",365352000,367238619,343252000,335932000
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","SEA",0,32996000,0,39950000
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","SEB",42662022,0,30074850,18875983
"AGR",10,3,"Grants & Contributions","Subventions et Contributions","SEC",0,35521769,0,1
"AGR",5,2,"Capital","Capital","ME",27872294,27872294,74750000,74339571
"AGR",5,2,"Capital","Capital","SEA",0,15450000,7242500,650000
"AGR",5,2,"Capital","Capital","SEB",1280700,0,1300500,2827000
"AGR",5,2,"Capital","Capital","SEC",0,5452738,8004489,2319622
"AGR",5,2,"Capital","Capital","VA",4222979,6714391,6181577,0
"AGR","S",0,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association","ME",2859547,0,0,0
"AGR","S",0,"Canadian Cattlemen's Association Legacy Fund","Fonds pour l'avenir de la Canadian Cattlemen's Association","SA",-153481,-205473,0,0
