DeptCode,Tenure,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
ACOA,Casual,9,9,19,17,26,0.02600
ACOA,Indeterminate,629,569,547,552,559,0.92818
ACOA,Student,24,6,16,18,14,0.02535
ACOA,Term,15,6,9,17,16,0.02047
AECB,Indeterminate,827,824,798,767,755,0.94234
AECB,Term,37,32,23,55,96,0.05766
AGR,Casual,235,228,197,214,300,0.04150
AGR,Indeterminate,5721,5089,4405,4204,4098,0.83137
AGR,Student,518,502,514,590,574,0.09538
AGR,Term,170,172,175,186,195,0.03175
AHRAC,Casual,1,.,.,.,.,0.07143
AHRAC,Indeterminate,12,.,.,.,.,0.85714
AHRAC,Term,1,.,.,.,.,0.07143
APPRT,Indeterminate,6,2,.,.,.,0.61538
APPRT,Term,4,1,.,.,.,0.38462
ATSSC,Casual,.,.,.,23,24,0.06501
ATSSC,Indeterminate,.,.,.,278,290,0.78562
ATSSC,Student,.,.,.,3,10,0.01798
ATSSC,Term,.,.,.,45,50,0.13140
CAS,Casual,15,18,34,45,47,0.04995
CAS,Indeterminate,548,527,489,477,507,0.80050
CAS,Student,28,16,23,18,21,0.03330
CAS,Term,69,62,68,78,93,0.11624
CAT,Casual,2,1,.,.,.,0.10714
CAT,Indeterminate,6,6,9,.,.,0.75000
CAT,Term,2,2,.,.,.,0.14286
CB,Indeterminate,12,15,13,15,13,0.93151
CB,Term,2,.,.,2,1,0.06849
CBSA,Casual,244,200,345,291,306,0.01944
CBSA,Indeterminate,13849,13444,13183,13267,13245,0.93942
CBSA,Student,371,357,352,386,435,0.02666
CBSA,Term,246,217,216,169,185,0.01449
CCMD,Casual,121,43,48,52,59,0.09252
CCMD,Indeterminate,716,588,555,558,541,0.84732
CCMD,Student,15,3,11,21,27,0.02206
CCMD,Term,63,23,11,15,21,0.03810
CCRA,Casual,1,.,.,.,.,0.00000
CCRA,Indeterminate,33381,31755,31419,31054,30637,0.77668
CCRA,Student,558,658,690,746,701,0.01646
CCRA,Term,8728,8843,8170,8259,8146,0.20686
CDC,Casual,.,.,.,1,2,0.01038
CDC,Indeterminate,56,53,45,46,54,0.87889
CDC,Student,.,1,3,2,1,0.02422
CDC,Term,7,5,3,7,3,0.08651
CEAA,Casual,14,6,24,18,30,0.07823
CEAA,Indeterminate,207,192,182,184,199,0.81973
CEAA,Student,3,4,6,6,8,0.02296
CEAA,Term,16,17,18,21,21,0.07908
CEO,Casual,27,19,55,38,113,0.08978
CEO,Indeterminate,359,347,317,313,324,0.59138
CEO,Student,21,18,29,23,21,0.03990
CEO,Term,121,111,119,256,176,0.27895
CFGB,Casual,2,1,.,2,.,0.02660
CFGB,Indeterminate,33,36,35,37,33,0.92553
CFGB,Term,1,1,2,3,2,0.04787
CFIA,Indeterminate,5934,5663,5627,5423,5330,0.89947
CFIA,Student,71,62,107,71,64,0.01206
CFIA,Term,575,529,581,515,552,0.08848
CGC,Casual,11,16,10,12,5,0.02135
CGC,Indeterminate,578,546,388,379,378,0.89719
CGC,Student,3,4,7,9,6,0.01147
CGC,Term,88,59,8,8,14,0.06999
CH,Casual,101,60,103,125,101,0.05391
CH,Indeterminate,1771,1599,1603,1526,1520,0.88218
CH,Student,45,41,53,43,58,0.02640
CH,Term,64,53,62,79,83,0.03751
CHRC,Casual,4,14,7,11,15,0.04942
CHRC,Indeterminate,183,179,165,167,167,0.83430
