"deptcode","activitycode","TagID"
"ACOA","ABH00","GOC002"
"ACOA","ABH00","MOD005"
"ACOA","ABK00","GOC002"
"ACOA","ABK00","MOD005"
"ACOA","ABR00","GOC002"
"ACOA","ABR00","MOD019"
"ACOA","ISC00","GOC017"
"AECB","ATZ00","GOC007"
"AECB","AUA00","GOC007"
"AECB","AUC00","GOC007"
"AECB","DAI00","GOC007"
"AECB","DAI00","MOD001"
"AECB","DAJ00","GOC007"
"AECB","DAJ00","MOD001"
"AECB","DAK00","GOC007"
"AECB","DAK00","MOD001"
"AECB","DAL00","GOC007"
"AECB","DAL00","MOD001"
"AECB","DAM00","GOC007"
"AECB","DAM00","MOD001"
"AECB","DAM00","MOD004"
"AECB","DAM00","MOD005"
"AECB","DAM00","MOD019"
"AECB","ISC00","GOC017"
"AECL","ATV00","GOC019"
"AGR","AAA00","GOC002"
"AGR","AAA00","MOD004"
"AGR","AAA00","MOD005"
"AGR","AAA00","MOD019"
"AGR","AAB00","GOC005"
"AGR","AAB00","MOD001"
"AGR","AAE00","GOC002"
"AGR","AAG00","GOC002"
"AGR","AAH00","GOC005"
"AGR","AAH00","MOD002"
"AGR","AAI00","GOC005"
"AGR","AAJ00","GOC004"
"AGR","AAK00","GOC004"
"AGR","ABF00","GOC002"
"AGR","ABG00","GOC003"
"AGR","ABG00","MOD005"
"AGR","ABG00","MOD019"
"AGR","ABQ00","GOC002"
"AGR","ABQ00","MOD001"
"AGR","ABQ00","MOD004"
"AGR","ABQ00","MOD005"
"AGR","ABQ00","MOD019"
"AGR","CMA00","GOC002"
"AGR","CMA00","MOD005"
"AGR","CMA00","MOD019"
"AGR","ISC00","GOC017"
"AHRAC","BDC00","GOC006"
"AHRAC","BDD00","GOC006"
"AHRAC","ISC00","GOC017"
"APPRT","AMB00","GOC009"
"APPRT","ISC00","GOC017"
"ATSSC","CHC00","GOC016"
"ATSSC","CHC00","MOD019"
"ATSSC","CHC00","MOD020"
"ATSSC","CHD00","GOC016"
"ATSSC","CHD00","MOD019"
"ATSSC","CHD00","MOD020"
"ATSSC","CHE00","GOC016"
"ATSSC","CHE00","MOD020"
"ATSSC","ISC00","GOC017"
"CAS","ARW00","GOC014"
"CAS","ARW00","MOD002"
"CAS","ARX00","GOC014"
"CAS","ARX00","MOD002"
"CAS","ISC00","GOC017"
"CAT","BBB00","GOC015"
"CAT","ISC00","GOC017"
"CATSA","BIY00","GOC019"
"CB","AOJ00","GOC002"
"CB","AOJ00","MOD001"
"CB","ISC00","GOC017"
"CBC","ACH00","GOC019"
"CBSA","AWZ00","GOC010"
"CBSA","AWZ00","MOD001"
"CBSA","AWZ00","MOD021"
"CBSA","AXB00","GOC007"
"CBSA","AXB00","MOD001"
"CBSA","AXB00","MOD002"
"CBSA","AXB00","MOD019"
"CBSA","AXE00","GOC010"
"CBSA","AXE00","MOD001"
"CBSA","AXE00","MOD019"
"CBSA","AXE00","MOD021"
"CBSA","AXI00","GOC005"
"CBSA","AXI00","MOD001"
"CBSA","AXI00","MOD002"
"CBSA","AXI00","MOD019"
"CBSA","AXJ00","GOC005"
"CBSA","AXJ00","MOD001"
"CBSA","AXJ00","MOD019"
"CBSA","HGB00","GOC007"
"CBSA","HGB00","MOD002"
"CBSA","HGB00","MOD021"
"CBSA","HGC00","GOC007"
"CBSA","HGC00","MOD001"
"CBSA","HGC00","MOD002"
"CBSA","HGC00","MOD021"
"CBSA","ISC00","GOC017"
"CC","ACF00","GOC019"
"CCC","AQS00","GOC019"
"CCMD","BIB00","GOC016"
"CCMD","BIC00","GOC016"
"CCMD","BID00","GOC016"
"CCMD","DAS00","GOC016"
"CCMD","DAS00","MOD020"
"CCMD","ISC00","GOC017"
"CCOHS","AMH00","GOC006"
"CCOHS","AMH00","MOD019"
"CCOHS","ISC00","GOC017"
"CCRA","ABW00","GOC015"
"CCRA","ABW00","MOD019"
"CCRA","ABX00","GOC016"
"CCRA","ABX00","MOD001"
"CCRA","ABX00","MOD019"
"CCRA","ABY00","GOC001"
"CCRA","ABY00","MOD019"
"CCRA","ABZ00","GOC015"
"CCRA","ABZ00","MOD001"
"CCRA","ABZ00","MOD019"
"CCRA","ACB00","GOC016"
"CCRA","ACB00","MOD001"
"CCRA","ACB00","MOD019"
"CCRA","ACC00","GOC016"
"CCRA","ACC00","MOD019"
"CCRA","ACD00","GOC015"
"CCRA","ACD00","MOD019"
"CCRA","BRA01","GOC016"
"CCRA","BRA01","MOD019"
"CCRA","BRA02","GOC016"
"CCRA","BRA02","MOD001"
"CCRA","BRA02","MOD019"
"CCRA","BRA03","GOC016"
"CCRA","BRA03","MOD001"
"CCRA","BRA03","MOD019"
"CCRA","BRA04","GOC016"
"CCRA","BRA04","MOD001"
"CCRA","BRA04","MOD019"
"CCRA","BRA05","GOC016"
"CCRA","BRA05","MOD001"
"CCRA","BRA05","MOD019"
"CCRA","BRA06","GOC015"
"CCRA","BRA06","MOD019"
"CCRA","BRA07","GOC015"
"CCRA","BRA07","MOD019"
"CCRA","BRA08","GOC015"
"CCRA","BRA08","MOD019"
"CCRA","BRA09","GOC016"
"CCRA","BRA09","MOD001"
"CCRA","BRA09","MOD019"
"CCRA","BRA10","GOC016"
"CCRA","BRA10","MOD001"
"CCRA","BRA10","MOD019"
"CCRA","BRA11","GOC016"
"CCRA","BRA11","MOD001"
"CCRA","BRA11","MOD019"
"CCRA","BRB01","GOC001"
"CCRA","BRB01","MOD019"
"CCRA","BRC01","GOC015"
"CCRA","BRC01","MOD019"
"CCRA","ISC00","GOC017"
"CCRA","ISS01","GOC017"
"CCRA","ISS02","GOC017"
"CCRA","ISS03","GOC017"
"CCRA","ISS04","GOC017"
"CCRA","ISS05","GOC017"
"CCRA","ISS06","GOC017"
"CCRA","ISS07","GOC017"
"CCRA","ISS08","GOC017"
"CCRA","ISS09","GOC017"
"CCRA","ISS0Z","GOC017"
"CDC","AAL00","GOC019"
"CEAA","AGG00","GOC002"
"CEAA","AGG00","MOD001"
"CEAA","AGH00","GOC002"
"CEAA","AGH00","MOD001"
"CEAA","ISC00","GOC017"
"CEO","HGG00","GOC016"
"CEO","HGG00","MOD001"
"CEO","HGI00","GOC016"
"CEO","HGI00","MOD001"
"CEO","HGJ00","GOC016"
"CEO","HGJ00","MOD019"
"CEO","ISC00","GOC017"
"CFDC","AFB00","GOC019"
"CFDC","AFF00","GOC019"
"CFDC","ISC00","GOC019"
"CFGB","ATA00","GOC016"
"CFGB","ATA00","MOD001"
"CFGB","ISC00","GOC017"
"CFIA","AAQ00","GOC006"
"CFIA","AAQ00","MOD001"
"CFIA","AJY00","GOC006"
"CFIA","AJY00","MOD001"
"CFIA","AJZ00","GOC004"
"CFIA","AJZ00","MOD001"
"CFIA","HGA00","GOC013"
"CFIA","HGA00","MOD005"
"CFIA","HGA00","MOD019"
"CFIA","ISC00","GOC017"
"CGC","AAW00","GOC003"
"CGC","AAW00","MOD001"
"CGC","AAZ00","GOC003"
"CGC","AAZ00","MOD001"
"CGC","ABA00","GOC003"
"CGC","ABB00","GOC003"
"CGC","ABB00","MOD001"
"CGC","ABC00","GOC003"
"CGC","ABD00","GOC005"
"CGC","ABD00","MOD001"
"CGC","ABE00","GOC005"
"CGC","ISC00","GOC017"
"CH","ACR00","GOC009"
"CH","ACR00","MOD004"
