program_id,tag_id
INAC-BWM16,MOD005
CSC-BUL01,MOD021
EA-BVD07,MOD005
EA-BZA02,MOD019
JUS-BNY01,MOD001
CNEDA-BNL05,MOD004
FO-BTH05,MOD019
FIN-BUV01,MOD001
TBC-BXA02,MOD002
CH-BSG02,MOD005
INDSC-BXM12,MOD005
PCA-BGW03,MOD019
TBC-BXB05,MOD002
EC-BGT02,MOD001
INAC-BWM08,MOD005
CBSA-BUG01,MOD021
GSC-BVY03,MOD020
NEB-BXV01,MOD001
TC-BTW22,MOD021
EA-BZA04,MOD019
CI-BGF02,MOD019
NR-BTL04,MOD019
CNEDA-BNL03,MOD019
PSEP-BVT02,MOD001
CNEDA-BNL02,MOD005
CI-BGE07,MOD005
PHAC-BVR02,MOD021
HRSD-BGP01,MOD019
WDO-BYM04,MOD004
TC-BTX02,MOD004
TC-BTW11,MOD021
PCA-BGW09,MOD001
ISC-BNP07,MOD019
HRSD-BGP06,MOD001
EA-BVB22,MOD021
JUS-BNY09,MOD005
WATER-BYR01,MOD005
TC-BTY02,MOD001
INAC-BWR07,MOD001
ND-BYY07,MOD019
HRSD-BGM12,MOD005
NEB-BXU02,MOD001
EA-BVC06,MOD019
CPCC-BWX01,MOD004
CEO-BYG01,MOD019
PCAN-ISS10,MOD020
CBSA-BUF09,MOD019
EA-BVD14,MOD005
CFIA-BUH14,MOD001
INDSC-BYP03,MOD005
ND-BUN07,MOD021
HRSD-BGO14,MOD001
FIN-BUV07,MOD008
OICC-BTK06,MOD005
NFB-BYZ03,MOD019
PCA-BGW06,MOD001
PSEP-BVS03,MOD021
SWC-BXR05,MOD005
ORL-BVA04,MOD001
SHARE-BYE06,MOD021
FO-BTI01,MOD005
HRSD-BGO21,MOD005
TC-BTW10,MOD001
HRSD-BGP01,MOD001
VAC-BWI12,MOD004
CFIA-BUH02,MOD019
EA-BVB01,MOD002
CCRA-BRA05,MOD019
ATSSC-BEE03,MOD019
SSHRC-BNT05,MOD004
NRC-BNQ13,MOD019
AGR-BWN05,MOD019
SHARE-BYE02,MOD020
NR-BTM10,MOD005
CI-BGE02,MOD019
H-BVH04,MOD001
RCMP-BXI08,MOD021
EA-BZA04,MOD002
ND-BUP08,MOD002
WDO-BNW02,MOD005
CPCC-BWX02,MOD004
H-BVH13,MOD019
CFIA-BUH15,MOD019
AGR-BWN03,MOD001
INDSC-BYP16,MOD004
CBSA-BUG05,MOD021
OICC-BYT03,MOD004
AGR-BWN09,MOD019
ND-BUN04,MOD021
ND-BUO09,MOD021
GSC-BVY02,MOD020
TBC-BXA04,MOD008
SC-BNV02,MOD019
EA-BVB22,MOD002
INDSC-BYP03,MOD019
TC-BTW13,MOD001
ND-BUR05,MOD002
ISC-BNP08,MOD020
NR-BTL02,MOD019
H-BVH09,MOD001
NRC-BNQ25,MOD020
CFIA-BUH04,MOD019
ISC-BNP18,MOD001
CTA-BTT03,MOD001
EC-BGT08,MOD001
H-BVG12,MOD005
FEDSO-BNM11,MOD005
VAC-BWI11,MOD004
NPB-BUB01,MOD019
CFIA-BUH05,MOD001
CEO-BGG04,MOD008
CCRA-BRB01,MOD019
TC-BTW14,MOD001
HRSD-BGO19,MOD001
VAC-BWI08,MOD005
INDSC-BXM10,MOD019
NSICP-BUE01,MOD002
HRSD-BGO12,MOD005
NRC-BNQ12,MOD019
CSC-BUL04,MOD021
INDSC-BYP18,MOD004
NRC-BNQ18,MOD020
TC-BTX04,MOD001
HRSD-BGM05,MOD019
TBC-BXD01,MOD001
INDSC-BXM01,MOD005
INDSC-BXM11,MOD019
PSEP-BVU01,MOD004
NR-BTM05,MOD019
INAC-BWM03,MOD019
EA-BVD13,MOD004
CCRA-BRA04,MOD001
AGR-BWP09,MOD019
H-BVH11,MOD001
EC-BGS08,MOD001
H-BVH17,MOD019
FIN-BUV02,MOD002
H-BVG21,MOD005
ND-BUQ02,MOD021
CFIA-BUH01,MOD001
HRSD-BGM03,MOD005
FO-BTF08,MOD001
TC-BTW15,MOD004
NR-BTO01,MOD019
EA-BVB05,MOD020
CRTC-BRT01,MOD001
HRSD-BGO13,MOD005
GSC-BVW04,MOD008
AECB-BTJ05,MOD001
ND-BUS01,MOD020
HRSD-BGO16,MOD005
ACOA-BED03,MOD019
INDSC-BYP17,MOD005
ND-BUS05,MOD021
INAC-BWR11,MOD005
PHAC-BVP01,MOD005
TC-BTX01,MOD008
HRSD-BGO26,MOD004
GSC-BVW02,MOD019
FJA-BNZ03,MOD020
ODPP-BRD01,MOD021
CSEC-BUM04,MOD021
EA-BVF09,MOD021
INDSC-BYP04,MOD005
INDSC-BXL02,MOD005
TC-BTY03,MOD008
CH-BSD03,MOD004
CBSA-BUF01,MOD021
EA-BVF09,MOD020
CH-BSD02,MOD002
EA-BVC06,MOD002
AGR-BWN01,MOD005
NEB-BXT01,MOD001
FO-BTI08,MOD002
HRSD-BGM04,MOD005
OICC-BTK03,MOD005
H-BVG09,MOD001
RCMP-BXG01,MOD021
WDO-BNW04,MOD005
TC-BTW16,MOD001
CEO-BXX01,MOD021
EC-BGT07,MOD001
SC-BNV03,MOD019
NRC-BNQ14,MOD019
AGR-BWP09,MOD005
TC-BTW26,MOD001
PCO-BWW01,MOD002
NRC-BNQ24,MOD019
TBC-BXA01,MOD002
PHAC-BVQ04,MOD021
NRC-BNQ01,MOD019
INDSC-BYP11,MOD005
ND-BUS13,MOD021
CPCC-BWX01,MOD005
H-BVG05,MOD004
ND-BUR03,MOD019
FO-BTF02,MOD005
EA-BVB03,MOD008
CSC-BUK02,MOD021
NPB-BUA01,MOD001
INDSC-BYP10,MOD019
ISC-BNO02,MOD002
ISC-BNP01,MOD005
EC-BGR06,MOD001
NR-BTO07,MOD002
SSHRC-BNT04,MOD004
TC-BTW01,MOD001
FO-BTF13,MOD005
NR-BTO09,MOD005
AGR-BWP12,MOD005
GSC-BVW03,MOD008
PCA-BGW14,MOD005
TBC-BXC08,MOD020
ND-BUP07,MOD021
EA-BVE02,MOD021
ND-BUR01,MOD019
ISC-BNN02,MOD005
EA-BVB19,MOD021
FEDSO-BNM10,MOD005
H-BVG06,MOD005
PCAN-BYK03,MOD004
PCAN-BYK04,MOD004
EA-BVD15,MOD004
H-BVG04,MOD019
ACOA-BED02,MOD005
EC-BGR05,MOD001
ND-BUS10,MOD021
FIN-BUV06,MOD002
INDSC-BXM02,MOD005
HRSD-BGO08,MOD005
CAS-BEG03,MOD020
CTA-BTT01,MOD001
FEDSO-BNM12,MOD005
OICC-BTK08,MOD002
EA-BVD03,MOD005
HRSD-BGQ04,MOD019
EA-BVD01,MOD002
HRSD-BGO11,MOD005
GSC-BVY04,MOD020
HRSD-BGO13,MOD019
EA-BVB10,MOD005
EA-BVC10,MOD001
CGC-BGB03,MOD001
CFIA-BUH13,MOD019
INDSC-BXQ01,MOD004
TC-BTX05,MOD002
WATER-ISS30,MOD002
PSEP-BVS01,MOD021
HRSD-BGO25,MOD019
NPB-BUB01,MOD001
TC-BTW08,MOD021
EC-BGR01,MOD001
PCAN-BYK03,MOD005
INDSC-BXL03,MOD005
ISC-BNP01,MOD004
CICS-BWV01,MOD020
VAC-BWI16,MOD004
NR-BTO05,MOD008
CAS-BEG05,MOD019
EA-BVD10,MOD005
EA-BVD04,MOD008
RCMP-BXI01,MOD021
INDSC-BXP04,MOD005
CFIA-BUH07,MOD001
CCRA-BRA09,MOD001
FJA-BNZ01,MOD020
FO-BTI02,MOD019
ND-BUS07,MOD002
GSC-BVY07,MOD020
CH-BSG04,MOD005
AGR-BWP06,MOD019
OCOL-BGI01,MOD020
SHARE-BYE03,MOD020
EC-BGT04,MOD005
INDSC-BYP20,MOD005
EA-BVE03,MOD019
INDSC-BXP06,MOD005
H-BVG21,MOD001
TC-BTW25,MOD021
NRC-BNQ15,MOD019
CI-BGD02,MOD019
AGR-BWP13,MOD019
ND-BYX03,MOD019
FEDNO-BYL02,MOD004
NR-BTO06,MOD002
PSEP-BVT02,MOD005
PHAC-BVR01,MOD021
SWC-BXR03,MOD005
