"id","en","fr"
"AUTH","Budgetary","Budgétaire"
"AUTH","Estimates","Budget des dépenses"
"AUTH","Lapse","Fond inutilisé"
"AUTH","Multi-Year Appropriations","Crédits pluriannuels"
"AUTH","QFR","RFT"
"AUTH","Statutory","Législatif"
"AUTH","Transfer Payments","Paiements de transfert"
"AUTH","Voted","Crédits"
"AUTH","Year-end Authorities","Autorisations en fin d'exercice"
"CFMRS","Expenditures","Dépenses"
"CFMRS","Lapse","Fond inutilisé"
"CPA","Federal Public Service","Fonction publique fédérale"
"EST_PROC","ARLU","MJANR"
"EST_PROC","Adjustments","Redressements"
"EST_PROC","Annual Reference Level Update","Mise à  jour annuelle des niveaux de référence"
"EST_PROC","Appropriated Parliamentary Entities","Entités parlementaires qui reçoivent des crédits"
"EST_PROC","Available from Previous Years","Reports des exercices antérieurs"
"EST_PROC","Blue Books","Livres bleus"
"EST_PROC","EMS","SGD"
"EST_PROC","Government Expenditure Plan (Part I)","Plan de dépenses du gouvernement (partie I)"
"EST_PROC","Governor General's Special Warrants","Mandats spéciaux du gouverneur général"
"EST_PROC","ME","Budget principal"
"EST_PROC","Main Estimates","Budget principal des dépenses"
"EST_PROC","Mains","Budget principal"
"EST_PROC","SEA","Budget supplémentaire A"
"EST_PROC","SEB","Budget supplémentaire B"
"EST_PROC","SEC","Budget supplémentaire C"
"EST_PROC","Statutory","Législatif"
"EST_PROC","Supplementary Estimates (A)","Budget supplémentaire des dépenses (A)"
"EST_PROC","Supplementary Estimates (B)","Budget supplémentaire des dépenses (B)"
"EST_PROC","Supplementary Estimates (C)","Budget supplémentaire des dépenses (C)"
"EST_PROC","Supplementary Estimates","Budget supplémentaire"
"EST_PROC","Supps","Suppl."
"EST_PROC","Tabled Amounts","Budgets déposés"
"EST_PROC","Transfers","Transferts"
"EST_PROC","Voted","Crédits"
"EST_PROC","Warrents","Mandats"
"EXP","Budgetary","Budgétaire"
"EXP","CFMRS","SCGRF"
"EXP","Lapse","Fond inutilisé"
"EXP","Program","Programme"
"EXP","Public Accounts","Comptes publics"
"EXP","QFR","RFT"
"EXP","Standard Objects","Articles Courants"
"EXP","Statutory","Législatif"
"EXP","Transfer Payments","Paiements de transfert"
