"dept_code","type","name_en","name_fr","pa_last_year_5_auth","pa_last_year_5_exp","pa_last_year_4_auth","pa_last_year_4_exp","pa_last_year_3_auth","pa_last_year_3_exp","pa_last_year_2_auth","pa_last_year_2_exp","pa_last_year_auth","pa_last_year_exp"
"ACOA","c","Contributions under the Business Development Program","Contributions en vertu du Programme de développement des entreprises",135457713,136938024,128584359,128584359,127625645,126625641,133140191,133140184,157272405,157272396
"ACOA","c","Contributions for the Atlantic Innovation Fund","Contributions pour le Fonds d'innovation de l'Atlantique",51691691,50327794,47766112,47766112,45027132,45027132,37241006,37241006,30653122,30653122
"ACOA","c","Contribution for the Innovative Communities Fund","Contributions pour le Fonds des collectivités innovatrices",31965488,27965488,34508394,34508394,41646990,41646990,40951128,40951128,47669438,47669438
"ACOA","c","Contributions under the Community Futures program","Contributions en vertu du Programme de développement des collectivités",12582399,12582399,12614168,12614168,12664849,12664849,12604443,12604443,12627869,12627869
"ACOA","c","Contributions to promote and coordinate economic development throughout Cape Breton Island","Contributions pour promouvoir et coordonner le développement économique dans l'île du Cap-Breton",0,0,0,0,4093435,4093435,2557053,2557053,992752,992752
"ACOA","c","Contributions under the Atlantic Policy Research Initiatives","Contributions en vertu des mesures de recherche stratégique visant la région de l'Atlantique",700000,583583,456848,456848,577558,577558,420170,420170,525445,525445
"ACOA","g","Grants to organizations to promote economic cooperation and development","Subventions à des organismes pour promouvoir la collaboration et le développement économique",533094,533094,484275,484275,442941,442941,350761,350761,202959,202959
"ACOA","c","Canada 150 Community Infrastructure Program","Programme d'infrastructures communautaires de Canada 150",0,0,0,0,0,0,3481221,3481221,12535250,12535250
"ACOA","c","Contributions for the Community Infrastructure Improvement Fund","Contributions pour le Fond d'amélioration d'infrastructure communautaire",8661915,4254915,12319305,12319305,0,0,0,0,0,0
"AECB","c","Contributions to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program, and the Canadian Safeguards Support Program","Contributions pour faciliter la recherche, le développement et la gestion des activités qui contribueront à la réalisation des objectifs du Programme de recherche et de soutien ainsi que du Programme canadien à l'appui des garanties",1270980,1270980,1365752,1365752,1733180,1733180,1391382,1391382,1565837,1565837
"AECB","c","Participant Funding Program","Programme d'aide financière aux participants",925000,105602,282878,282878,925000,60862,925000,170760,925000,233541
"AECB","g","Grants to enable the research, development and management of activities that contribute to the objectives of the Research and Support Program","Subventions pour faciliter la recherche, le développement et la gestion des activités qui contribueront à la réalisation des objectifs du Programme de recherche et de soutien",75000,75000,75000,75000,75000,75000,75000,74655,75000,68750
