dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,age20less,.,.,1,.,.
ACOA,age20to24,9,17,19,13,21
ACOA,age25to29,27,21,18,19,20
ACOA,age30to34,51,46,38,38,30
ACOA,age35to39,107,97,86,92,72
ACOA,age40to44,103,105,106,100,98
ACOA,age45to49,118,108,110,116,113
ACOA,age50to54,102,107,116,117,125
ACOA,age55to59,59,67,84,78,81
ACOA,age60to64,12,19,21,35,28
ACOA,age65plus,2,4,5,7,5
AECB,age20to24,15,18,29,43,42
AECB,age25to29,62,51,41,65,65
AECB,age30to34,76,64,65,75,72
AECB,age35to39,108,102,94,87,92
AECB,age40to44,118,121,111,121,111
AECB,age45to49,136,131,134,118,127
AECB,age50to54,149,143,142,140,142
AECB,age55to59,116,111,116,113,114
AECB,age60to64,55,55,61,58,61
AECB,age65plus,21,25,29,31,33
AGR,age20less,37,35,48,35,28
AGR,age20to24,380,358,396,410,441
AGR,age25to29,402,361,349,351,356
AGR,age30to34,539,439,391,389,400
AGR,age35to39,694,606,614,578,609
AGR,age40to44,739,664,649,662,685
AGR,age45to49,870,744,701,671,689
AGR,age50to54,1030,917,874,836,819
AGR,age55to59,838,736,725,737,705
AGR,age60to64,331,315,329,366,379
AGR,age65plus,131,116,118,132,123
APPRT,age25to29,1,.,.,.,.
APPRT,age35to39,1,.,.,.,.
APPRT,age55to59,1,.,.,.,.
ATSSC,age20less,.,.,.,1,3
ATSSC,age20to24,.,.,8,13,24
ATSSC,age25to29,.,.,23,32,57
ATSSC,age30to34,.,.,55,60,82
ATSSC,age35to39,.,.,48,52,79
ATSSC,age40to44,.,.,43,35,67
ATSSC,age45to49,.,.,44,45,59
ATSSC,age50to54,.,.,58,62,74
ATSSC,age55to59,.,.,35,37,67
ATSSC,age60to64,.,.,22,22,34
ATSSC,age65plus,.,.,13,15,24
CAS,age20less,1,1,.,4,1
CAS,age20to24,21,31,42,38,31
CAS,age25to29,99,86,84,106,91
CAS,age30to34,52,57,60,67,75
CAS,age35to39,72,72,70,72,60
CAS,age40to44,76,71,76,72,69
CAS,age45to49,103,87,85,99,91
CAS,age50to54,92,97,95,99,108
CAS,age55to59,71,73,67,71,63
CAS,age60to64,31,32,29,29,35
CAS,age65plus,5,7,10,11,12
CAT,age25to29,2,.,.,.,.
CAT,age30to34,1,3,.,.,.
CAT,age35to39,1,.,.,.,.
CAT,age45to49,1,1,.,.,.
CAT,age50to54,1,2,.,.,.
CAT,age55to59,2,1,.,.,.
CAT,age60to64,1,2,.,.,.
