dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,ex1,16,16,19,22,20
ACOA,ex2,7,7,8,8,10
ACOA,ex3,7,7,8,8,8
ACOA,ex4,3,4,4,4,3
ACOA,ex5,2,1,.,.,.
ACOA,non,555,556,565,573,552
AECB,ex1,41,45,43,43,41
AECB,ex2,18,20,20,17,16
AECB,ex3,12,12,16,16,14
AECB,ex4,4,4,4,4,4
AECB,ex5,1,1,1,1,1
AECB,non,780,739,738,770,783
AGR,ex1,67,61,63,58,64
AGR,ex2,37,32,33,32,37
AGR,ex3,19,19,18,16,17
AGR,ex4,7,4,5,6,6
AGR,ex5,3,3,2,4,4
AGR,non,5858,5172,5073,5051,5106
APPRT,non,3,.,.,.,.
ATSSC,ex1,.,.,15,16,12
ATSSC,ex2,.,.,4,4,5
ATSSC,ex3,.,.,3,2,4
ATSSC,non,.,.,327,352,549
CAS,ex1,10,11,11,11,12
CAS,ex2,1,1,1,1,1
CAS,ex3,1,1,1,.,.
CAS,ex4,1,1,.,1,1
CAS,non,610,600,605,655,622
CAT,non,9,9,.,.,.
CB,ex2,1,1,.,.,.
CB,ex3,.,.,1,1,1
CB,non,14,12,16,13,13
CBSA,ex1,113,113,104,115,92
CBSA,ex2,42,44,44,43,41
CBSA,ex3,31,29,30,36,33
CBSA,ex4,5,4,5,4,3
CBSA,ex5,2,3,3,4,4
CBSA,non,14025,13903,13927,13969,13534
CCMD,ex1,26,27,23,25,25
CCMD,ex2,9,7,6,10,6
CCMD,ex3,6,6,5,4,3
CCMD,ex4,4,3,5,5,4
CCMD,ex5,1,.,.,.,.
CCMD,non,611,582,607,604,572
CCRA,ex1,204,206,197,194,206
CCRA,ex2,120,141,133,125,118
CCRA,ex3,60,60,63,53,58
CCRA,ex4,15,15,15,14,15
CCRA,ex5,13,10,10,10,10
CCRA,non,40844,39847,39641,39088,39816
CDC,ex1,1,2,2,2,4
CDC,ex2,2,.,1,1,1
CDC,ex3,.,1,1,1,.
CDC,non,56,48,52,56,56
CEAA,ex1,13,11,16,17,17
CEAA,ex2,2,1,2,1,1
CEAA,ex3,2,2,2,3,3
CEAA,non,202,216,209,237,268
CEO,ex1,17,16,19,17,15
CEO,ex2,4,4,4,6,8
CEO,ex3,4,5,3,3,3
CEO,ex4,2,2,2,2,1
CEO,non,468,493,602,606,557
CFGB,ex2,1,1,1,1,2
CFGB,non,37,36,41,34,37
CFIA,ex1,64,65,66,75,67
CFIA,ex2,36,37,38,39,50
CFIA,ex3,28,26,28,28,22
CFIA,ex4,7,4,4,4,5
CFIA,ex5,3,4,4,3,3
CFIA,non,6116,6179,5869,5797,6033
CGC,ex1,4,5,4,4,4
CGC,ex2,3,3,2,2,2
CGC,ex4,1,1,1,2,1
CGC,non,617,404,401,395,428
CH,ex1,61,62,55,62,60
CH,ex2,21,21,20,21,24
CH,ex3,14,16,17,16,13
CH,ex4,2,3,1,3,3
CH,ex5,1,2,1,2,2
CH,non,1654,1717,1679,1658,1657
CHRC,ex1,7,8,8,8,8
CHRC,ex2,3,2,4,2,1
CHRC,ex4,1,1,1,1,1
CHRC,non,204,188,191,194,181
CHRT,ex1,1,1,.,.,.
CHRT,ex2,1,1,.,.,.
CHRT,non,19,18,.,.,.
CI,ex1,92,106,98,114,124
CI,ex2,24,26,31,25,28
CI,ex3,23,28,26,31,30
CI,ex4,4,4,4,5,4
CI,ex5,2,2,2,2,1
CI,non,4705,5761,6224,6410,6278
CICS,ex1,1,1,1,1,1
CICS,non,22,23,22,21,21
CIHR,ex1,4,3,4,3,3
CIHR,ex2,16,13,12,12,12
CIHR,ex3,2,2,3,3,3
CIHR,ex4,2,1,1,1,.
CIHR,non,370,393,412,390,444
CIRB,ex1,5,5,.,.,.
CIRB,ex2,1,1,.,.,.
CIRB,ex3,1,.,.,.,.
CIRB,non,84,82,.,.,.
CITT,ex1,.,2,.,.,.
CITT,ex2,4,2,.,.,.
CITT,ex3,2,2,.,.,.
CITT,non,67,71,.,.,.
CNEDA,ex1,.,.,6,7,5
CNEDA,ex2,.,.,1,2,2
CNEDA,ex4,.,.,1,1,.
CNEDA,non,.,.,67,67,71
CPAC,ex1,.,.,1,1,.
CPAC,non,16,17,18,18,.
CPCC,ex1,.,.,.,1,1
CPCC,ex2,1,1,1,.,.
CPCC,non,8,10,13,28,26
CRTC,ex1,17,14,13,16,13
CRTC,ex2,7,6,4,4,4
CRTC,ex3,5,4,5,5,6
CRTC,ex4,1,1,1,1,1
CRTC,non,414,410,439,424,438
CSA,ex1,8,6,8,8,10
CSA,ex2,10,8,7,8,8
CSA,ex3,7,7,6,7,5
CSA,ex4,.,1,1,1,2
CSA,non,638,599,578,592,630
CSC,ex1,78,71,62,52,53
CSC,ex2,71,65,64,73,67
CSC,ex3,24,23,23,21,23
CSC,ex4,11,10,11,10,10
CSC,ex5,1,2,1,1,1
CSC,non,18316,18088,17478,17015,16955
CSEC,ex1,12,7,3,2,1
CSEC,ex2,37,44,43,42,39
CSEC,ex3,16,17,16,17,17
CSEC,ex4,3,3,3,5,3
CSEC,ex5,2,1,1,1,1
CSEC,non,2005,2099,2102,2095,2148
CTA,ex1,9,8,8,7,10
CTA,ex2,2,2,2,2,2
CTA,ex3,2,2,3,3,3
CTA,non,231,206,228,227,208
CTAIB,ex1,1,1,1,1,1
CTAIB,ex2,5,5,5,5,6
CTAIB,ex4,1,1,1,1,1
CTAIB,non,195,196,206,208,201
EA,ex1,319,266,275,286,291
EA,ex2,119,117,120,134,144
EA,ex3,122,108,104,107,111
EA,ex4,28,30,31,23,23
EA,ex5,9,8,5,9,10
EA,non,8267,5498,5438,5331,5482
EC,ex1,107,101,105,93,95
EC,ex2,31,34,31,32,31
EC,ex3,27,23,25,22,25
EC,ex4,6,5,5,4,4
EC,ex5,2,3,3,3,4
EC,non,6235,6384,6426,6321,6442
ERC,ex2,1,.,.,1,1
ERC,non,5,5,6,6,5
FCAC,ex1,5,5,5,5,4
FCAC,ex2,.,.,.,1,1
FCAC,ex4,1,.,1,1,1
FCAC,non,67,73,78,87,93
FEDSO,ex1,5,7,6,4,4
FEDSO,ex2,6,6,6,7,6
FEDSO,ex4,2,3,2,1,2
FEDSO,non,205,208,204,210,205
FIN,ex1,82,79,71,69,69
FIN,ex2,34,35,33,35,40
FIN,ex3,23,25,21,24,26
FIN,ex4,9,9,8,7,8
FIN,ex5,7,7,8,7,7
FIN,non,601,596,602,593,597
FJA,ex1,3,4,3,4,2
FJA,ex3,1,1,1,1,.
FJA,ex4,.,.,.,1,.
FJA,ex5,.,.,.,.,1
FJA,non,63,53,50,53,56
FO,ex1,162,141,132,127,127
FO,ex2,36,37,33,37,45
FO,ex3,41,29,35,39,37
FO,ex4,10,9,8,11,10
FO,ex5,2,2,2,2,.
FO,non,10043,9740,9648,9685,10011
FORDQ,ex1,6,7,8,7,9
FORDQ,ex2,5,5,5,6,6
FORDQ,ex3,1,.,2,2,1
FORDQ,ex4,2,2,.,1,2
FORDQ,non,325,334,316,317,318
FTRAC,ex1,25,24,26,18,20
FTRAC,ex2,5,4,3,4,4
FTRAC,ex3,3,3,3,2,2
FTRAC,non,341,316,323,350,352
GG,ex1,8,8,7,7,6
GG,ex2,2,1,2,2,2
GG,ex3,3,3,3,3,3
GG,non,145,143,144,154,138
GSC,ex1,151,160,156,155,160
GSC,ex2,115,112,127,128,131
GSC,ex3,56,51,56,61,54
GSC,ex4,8,10,13,9,13
GSC,ex5,2,4,2,3,3
GSC,non,11812,11630,11738,11705,12533
H,ex1,99,103,93,93,80
H,ex2,65,70,77,71,66
H,ex3,36,36,32,31,30
H,ex4,7,7,7,6,9
H,ex5,3,2,3,4,3
H,non,9491,9123,8867,8984,9139
HMIRC,ex1,2,.,.,.,.
HMIRC,non,29,.,.,.,.
HRSD,ex1,307,296,307,311,324
HRSD,ex2,74,73,66,64,67
HRSD,ex3,64,63,73,67,69
HRSD,ex4,14,10,12,13,14
HRSD,ex5,7,8,6,5,5
HRSD,non,19580,20647,21243,21852,23250
IJC,ex2,1,1,1,1,1
IJC,ex3,1,1,1,1,1
IJC,non,30,29,30,30,30
INAC,ex1,120,116,99,102,106
INAC,ex2,42,37,42,39,37
INAC,ex3,38,39,34,38,39
INAC,ex4,5,5,2,5,4
INAC,ex5,3,2,4,4,4
INAC,non,4767,4658,4503,4394,4518
IOG,ex1,4,5,3,4,6
IOG,ex3,4,4,4,4,4
IOG,ex4,1,1,1,1,1
IOG,non,75,75,72,76,77
IPC,ex1,10,8,11,10,10
IPC,ex2,5,5,5,5,4
IPC,ex3,2,2,2,2,2
IPC,non,241,246,264,242,245
IRB,ex1,18,14,13,12,11
IRB,ex2,9,9,7,7,7
IRB,ex3,2,2,3,3,5
IRB,ex4,1,1,1,1,1
IRB,ex5,1,.,.,.,.
IRB,non,1003,957,930,950,1007
ISC,ex1,118,104,104,103,107
ISC,ex2,49,52,52,53,54
ISC,ex3,35,34,36,37,39
ISC,ex4,4,4,5,7,6
ISC,ex5,5,4,2,3,5
ISC,non,4571,4520,4543,4573,4736
JUS,ex1,36,32,30,28,30
JUS,ex2,10,10,10,15,11
JUS,ex3,8,8,8,8,8
JUS,ex4,3,1,1,.,1
JUS,ex5,.,2,3,3,.
JUS,non,4668,4521,4424,4407,4411
LAC,ex1,12,14,14,13,10
LAC,ex2,10,9,12,11,11
LAC,ex3,3,4,4,3,.
LAC,ex4,3,2,1,2,2
LAC,non,885,1014,995,909,907
MPCC,ex1,1,.,.,.,.
MPCC,ex3,.,1,2,2,1
MPCC,non,17,13,20,24,24
ND,ex1,89,79,81,87,86
ND,ex2,33,33,32,36,41
ND,ex3,30,27,29,31,27
ND,ex4,3,4,4,5,4
ND,ex5,6,5,5,6,6
ND,non,24778,22998,22460,22789,23014
NEB,ex1,15,14,17,18,15
NEB,ex2,2,2,1,4,6
NEB,ex3,12,13,14,16,18
NEB,ex4,2,2,3,3,3
NEB,ex5,1,.,1,1,1
NEB,non,377,404,411,427,413
NFB,ex1,4,6,6,3,2
NFB,ex2,18,19,20,18,19
NFB,ex3,1,.,.,2,4
NFB,ex4,5,6,6,4,4
NFB,ex5,1,1,1,1,1
NFB,non,437,388,361,361,341
NPB,ex1,6,7,6,5,5
NPB,ex2,7,6,6,6,7
NPB,ex3,1,1,1,1,1
NPB,non,440,445,454,435,435
NR,ex1,67,70,71,60,64
NR,ex2,35,34,34,40,42
