dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,cas,9,19,17,26,16
ACOA,ind,569,547,552,559,552
ACOA,stu,6,16,18,14,17
ACOA,ter,6,9,17,16,8
AECB,ind,824,798,767,755,753
AECB,na,.,.,.,.,1
AECB,stu,.,.,.,.,14
AECB,ter,32,23,55,96,91
AGR,cas,228,197,214,300,198
AGR,ind,5089,4405,4204,4098,4280
AGR,stu,502,514,590,574,512
AGR,ter,172,175,186,195,244
APPRT,ind,2,.,.,.,.
APPRT,ter,1,.,.,.,.
ATSSC,cas,.,.,23,24,32
ATSSC,ind,.,.,278,290,393
ATSSC,na,.,.,.,.,1
ATSSC,stu,.,.,3,10,10
ATSSC,ter,.,.,45,50,134
CAS,cas,18,34,45,47,17
CAS,ind,527,489,477,507,522
CAS,stu,16,23,18,21,16
CAS,ter,62,68,78,93,81
CAT,cas,1,.,.,.,.
CAT,ind,6,9,.,.,.
CAT,ter,2,.,.,.,.
CB,ind,15,13,15,13,12
CB,ter,.,.,2,1,2
CBSA,cas,200,345,291,306,114
CBSA,ind,13444,13183,13267,13245,13006
CBSA,stu,357,352,386,435,440
CBSA,ter,217,216,169,185,147
CCMD,cas,43,48,52,59,43
CCMD,ind,588,555,558,541,528
CCMD,stu,3,11,21,27,26
CCMD,ter,23,11,15,21,13
CCRA,ind,31755,31419,31054,30637,30889
CCRA,na,.,.,.,.,1
CCRA,stu,658,690,746,701,997
CCRA,ter,8843,8170,8259,8146,8336
CDC,cas,.,.,1,2,4
CDC,ind,53,45,46,54,54
CDC,stu,1,3,2,1,.
CDC,ter,5,3,7,3,3
CEAA,cas,6,24,18,30,19
CEAA,ind,192,182,184,199,232
CEAA,stu,4,6,6,8,13
CEAA,ter,17,18,21,21,25
CEO,cas,19,55,38,113,39
CEO,ind,347,317,313,324,325
CEO,stu,18,29,23,21,14
CEO,ter,111,119,256,176,206
CFGB,cas,1,.,2,.,.
CFGB,ind,36,35,37,33,38
CFGB,ter,1,2,3,2,1
CFIA,ind,5663,5627,5423,5330,5501
CFIA,stu,62,107,71,64,92
CFIA,ter,529,581,515,552,587
CGC,cas,16,10,12,5,8
CGC,ind,546,388,379,378,394
CGC,stu,4,7,9,6,4
CGC,ter,59,8,8,14,29
CH,cas,60,103,125,101,79
CH,ind,1599,1603,1526,1520,1546
CH,stu,41,53,43,58,61
CH,ter,53,62,79,83,73
CHRC,cas,14,7,11,15,11
CHRC,ind,179,165,167,167,162
CHRC,stu,6,7,8,10,11
CHRC,ter,16,20,18,13,7
CHRT,cas,1,1,.,.,.
CHRT,ind,16,16,.,.,.
CHRT,stu,1,.,.,.,.
CHRT,ter,3,3,.,.,.
CI,cas,647,822,1008,996,722
CI,ind,3622,4253,4242,4381,4565
CI,na,.,.,.,.,4
CI,stu,107,148,145,135,65
CI,ter,474,704,990,1075,1109
CICS,cas,1,1,.,.,.
CICS,ind,21,22,22,21,20
CICS,stu,1,1,1,1,1
CICS,ter,.,.,.,.,1
CIHR,ind,372,365,361,361,391
CIHR,stu,5,15,25,11,18
CIHR,ter,17,32,46,37,53
CIRB,cas,1,2,.,.,.
CIRB,ind,79,76,.,.,.
CIRB,ter,11,10,.,.,.
CITT,cas,.,7,.,.,.
CITT,ind,61,57,.,.,.
CITT,stu,1,4,.,.,.
CITT,ter,11,9,.,.,.
CNEDA,cas,.,.,7,3,4
CNEDA,ind,.,.,65,67,71
CNEDA,stu,.,.,.,1,1
CNEDA,ter,.,.,3,6,2
CPAC,cas,.,.,.,1,.
CPAC,ind,15,15,16,15,.
CPAC,ter,1,2,3,3,.
CPCC,cas,2,1,.,3,1
CPCC,ind,2,8,7,17,17
CPCC,na,.,.,.,.,1
CPCC,stu,3,.,1,.,.
CPCC,ter,2,2,6,9,8
CRTC,cas,19,19,24,16,10
CRTC,ind,398,395,411,406,421
CRTC,stu,4,7,8,9,10
CRTC,ter,23,14,19,19,21
CSA,cas,17,16,24,26,37
CSA,ind,588,574,542,546,540
CSA,stu,35,16,18,17,47
CSA,ter,23,15,16,27,31
CSC,cas,303,352,178,245,245
CSC,ind,17368,17013,16646,16131,16102
CSC,stu,83,63,38,60,77
CSC,ter,747,831,777,736,685
CSEC,cas,1,1,1,3,1
CSEC,ind,1940,2000,2019,2023,2070
CSEC,na,.,.,.,.,2
CSEC,stu,.,.,.,.,55
CSEC,ter,134,170,148,136,81
CTA,cas,8,8,25,29,20
CTA,ind,217,205,199,192,181
CTA,stu,8,.,8,6,8
CTA,ter,11,5,9,12,14
CTAIB,cas,1,7,6,4,6
CTAIB,ind,195,191,201,205,195
CTAIB,stu,2,1,1,2,4
CTAIB,ter,4,4,5,4,4
EA,cas,348,261,298,253,273
EA,ind,7844,5415,5277,5231,5316
EA,na,.,.,.,.,1
EA,stu,266,136,143,156,171
EA,ter,406,215,255,250,300
EC,cas,255,318,292,271,265
EC,ind,5660,5675,5709,5514,5631
EC,stu,354,372,324,339,347
EC,ter,139,185,270,351,358
ERC,ind,5,5,4,5,5
ERC,ter,1,.,2,2,1
FCAC,cas,6,8,7,12,15
FCAC,ind,62,66,72,76,76
FCAC,stu,2,.,.,4,2
FCAC,ter,3,4,5,2,6
FEDSO,cas,23,19,25,22,24
FEDSO,ind,172,189,181,172,164
FEDSO,stu,4,2,2,11,3
FEDSO,ter,19,14,10,17,26
FIN,cas,16,19,21,23,16
FIN,ind,727,715,704,698,713
FIN,na,.,.,.,.,1
FIN,stu,9,10,5,7,10
FIN,ter,4,7,13,7,7
FJA,cas,6,2,4,8,3
FJA,ind,59,55,48,50,56
FJA,stu,1,.,.,.,.
FJA,ter,1,1,2,1,.
FO,cas,576,693,729,647,561
FO,ind,8821,8457,8221,8190,8593
FO,na,.,.,.,.,24
FO,stu,98,89,110,96,100
FO,ter,799,719,798,968,952
FORDQ,cas,25,38,37,29,27
FORDQ,ind,280,262,258,270,274
FORDQ,stu,20,21,19,13,10
FORDQ,ter,14,27,17,21,25
FTRAC,ind,331,316,317,327,321
FTRAC,stu,15,6,17,27,30
FTRAC,ter,28,25,21,20,27
GG,cas,4,5,6,13,5
