"id","parent_id","name_en","name_fr"
"corp_int_gp","","Interests","Intérêts"
"fed_int_gp","","Federal Organizations","Organisations fédérales"
"other_gp","","Other Organizations","Autres organismes"
"crown_corp_p","fed_int_gp","Crown Corporations","Sociétés d'État"
"dept_agency_p","fed_int_gp","Departmental Agencies and Agents of Parliament","Organismes ministériels et agents du Parlement"
"dept_corp_p","fed_int_gp","Departmental Corporations and Service Agencies","Établissements publics et organismes de services"
"min_dept_p","fed_int_gp","Ministerial Departments","Ministères"
"parl_ent_p","fed_int_gp","Parliamentary Entities","Entités Parlementaires"
"spec_op_agency_p","fed_int_gp","Special Operating Agencies","Organismes de services spéciaux"
"corp_int","corp_int_gp","Interests","Intérêts"
"other_p","other_gp","Other Organizations","Autres organismes"
"other","other_p","Other Organizations","Autres organismes"
"dept_corp","dept_corp_p","Departmental Corporations","Établissements publics"
"serv_agency","dept_corp_p","Service Agencies","Organismes de services"
"parl_ent","parl_ent_p","Parliamentary Entities","Entités Parlementaires"
"spec_op_agency","spec_op_agency_p","Special Operating Agencies","Organismes de services spéciaux"
"inter_org","corp_int","International Organizations","Organisations internationales"
"joint_enterprise","corp_int","Joint Enterprises","Entreprises en coparticipation"
"shared_gov_corp","corp_int","Shared-Governance Corporations","Sociétés à régie partagée"
"agents_parl","dept_agency_p","Agents Of Parliament","Agents du Parlement"
"dept_agency","dept_agency_p","Departmental Agencies","Organismes ministériels"
"min_dept","min_dept_p","Ministerial Departments","Ministères"
"crown_corp","crown_corp_p","Crown Corporations","Sociétés d'État"

