"level","location_code","name_en","name_fr","latitude","longitude"
1,1,"Atlantic","Atlantique",".","."
1,2,"Quebec","Qu�bec",".","."
1,3,"Ontario","Ontario",".","."
1,4,"Prairies","Prairies",".","."
1,5,"British Columbia","Colombie-Britannique",".","."
1,6,"Territories","Territoires",".","."
2,10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador",".","."
2,11,"Prince Edward Island","�le-du-Prince-�douard",".","."
2,12,"Nova Scotia","Nouvelle-�cosse",".","."
2,13,"New Brunswick","Nouveau-Brunswick",".","."
2,24,"Quebec","Qu�bec",".","."
2,35,"Ontario","Ontario",".","."
2,46,"Manitoba","Manitoba",".","."
2,47,"Saskatchewan","Saskatchewan",".","."
2,48,"Alberta","Alberta",".","."
2,59,"British Columbia","Colombie-Britannique",".","."
2,60,"Yukon","Yukon",".","."
2,61,"Northwest Territories","Territoires du Nord-Ouest",".","."
2,62,"Nunavut","Nunavut",".","."
3,1001,"Division No. 1","Division No. 1",47.5400,-53.069
3,1002,"Division No. 2","Division No. 2",47.2127,-55.230
3,1003,"Division No. 3","Division No. 3",47.6482,-57.369
3,1004,"Division No. 4","Division No. 4",48.4160,-58.704
3,1005,"Division No. 5","Division No. 5",49.0887,-57.695
3,1006,"Division No. 6","Division No. 6",48.9593,-55.544
3,1007,"Division No. 7","Division No. 7",48.5271,-53.622
3,1008,"Division No. 8","Division No. 8",49.5659,-55.262
3,1009,"Division No. 9","Division No. 9",50.6853,-56.834
3,1010,"Division No. 10","Division No. 10",53.1455,-62.030
3,1011,"Division No. 11","Division No. 11",55.4045,-60.140
3,1101,"Kings","Kings",46.2569,-62.521
3,1102,"Queens","Queens",46.2741,-63.159
3,1103,"Prince","Prince",46.5353,-63.889
3,1201,"Shelburne","Shelburne",43.6751,-65.369
3,1202,"Yarmouth","Yarmouth",43.8378,-66.023
3,1203,"Digby","Digby",44.3892,-65.980
3,1204,"Queens","Queens",44.1268,-64.784
3,1205,"Annapolis","Annapolis",44.7973,-65.315
3,1206,"Lunenburg","Lunenburg",44.4407,-64.408
3,1207,"Kings","Kings",45.0567,-64.589
3,1208,"Hants","Hants",45.0424,-63.850
3,1209,"Halifax","Halifax",44.7000,-63.558
3,1210,"Colchester","Colchester",45.3933,-63.328
3,1211,"Cumberland","Cumberland",45.7005,-64.074
3,1212,"Pictou","Pictou",45.5953,-62.681
3,1213,"Guysborough","Guysborough",45.2910,-61.687
3,1214,"Antigonish","Antigonish",45.6066,-61.899
3,1215,"Inverness","Inverness",46.0336,-61.262
3,1216,"Richmond","Richmond",45.6264,-60.927
3,1217,"Cape Breton","Cape Breton",46.1567,-60.163
3,1218,"Victoria","Victoria",46.2702,-60.677
3,1301,"Saint John","Saint John",45.2790,-66.043
3,1302,"Charlotte","Charlotte",45.1518,-67.010
3,1303,"Sunbury","Sunbury",45.8327,-66.484
3,1304,"Queens","Queens",45.8585,-66.060
3,1305,"Kings","Kings",45.5429,-65.821
3,1306,"Albert","Albert",45.9628,-64.812
3,1307,"Westmorland","Westmorland",46.0962,-64.685
3,1308,"Kent","Kent",46.5166,-64.845
3,1309,"Northumberland","Northumberland",46.9780,-65.542
3,1310,"York","York",45.9432,-66.809
3,1311,"Carleton","Carleton",46.2974,-67.587
3,1312,"Victoria","Victoria",46.9383,-67.660
