id,name_en,name_fr,positive,neutral,negative,agree
Q01,"My department or agency implements activities and practices that support a diverse workplace.","Mon ministère ou organisme met en place des activités et des pratiques qui favorisent un milieu de travail diversifié.","1,2",3,"4,5","1,2"
Q02,"Overall, my department or agency treats me with respect.","Dans l’ensemble, mon ministère ou organisme me traite avec respect.","1,2",3,"4,5","1,2"
Q03,I am encouraged to be innovative or to take initiative in my work.,On m’encourage à innover ou à prendre des initiatives dans mon travail.,"1,2",3,"4,5","1,2"
Q04,"I believe I would be supported if I proposed a new idea, even though it might not work.","Je crois que j'obtiendrais du soutien si je proposais une nouvelle idée, même s'il est possible que celle-ci ne fonctionne pas.","1,2",3,"4,5","1,2"
Q05,I have support at work to balance my work and personal life.,Je reçois du soutien au travail pour concilier mon travail et ma vie personnelle.,"1,2",3,"4,5","1,2"
Q06,I am satisfied with my department or agency.,Je suis satisfait(e) de mon ministère ou organisme.,"1,2",3,"4,5","1,2"
Q07,"Overall, I like my job.","Dans l’ensemble, j’aime mon emploi.","1,2",3,"4,5","1,2"
Q08,My immediate supervisor creates an environment where I feel free to discuss with him or her matters that affect my well-being at work.,Mon (ma) superviseur(e) immédiat(e) crée un environnement où je me sens libre de discuter avec lui ou elle de questions qui touchent mon bien-être au travail.,"1,2",3,"4,5","1,2"
Q09,My immediate supervisor seems to care about me as a person.,Mon (ma) superviseur(e) immédiat(e) semble se soucier de moi en tant que personne.,"1,2",3,"4,5","1,2"
Q10,I would describe my workplace as being psychologically healthy.,"Je dirais que mon milieu de travail est sain sur le plan psychologique.","1,2",3,"4,5","1,2"
Q11,My department or agency does a good job of raising awareness of mental health in the workplace.,Mon ministère ou organisme fait un bon travail de sensibilisation à la santé mentale en milieu de travail.,"1,2",3,"4,5","1,2"
Q12,"Overall, my level of work-related stress is…","Dans l'ensemble, mon niveau de stress lié au travail est…","1,2",3,"4,5","4,5"
Q13,"After my workday, I feel emotionally drained.","Après ma journée de travail, je me sens épuisé(e) émotionnellement.","4,5",3,"1,2","1,2"
