"dept_code","activity_code","so_num","pa_last_year_2","pa_last_year"
"ACOA","ABH00",1,22014314.00,22521735.71
"ACOA","ABH00",2,1111886.46,936006.81
"ACOA","ABH00",3,17223.31,82591.79
"ACOA","ABH00",4,659653.05,691433.60
"ACOA","ABH00",5,52553.26,44766.48
"ACOA","ABH00",7,13774.15,9046.31
"ACOA","ABH00",9,0.00,1408.94
"ACOA","ABH00",10,148090995.57,161918821.04
"ACOA","ABH00",12,3803.47,26059.81
"ACOA","ABK00",1,10748438.72,10901579.61
"ACOA","ABK00",2,330761.00,380400.87
"ACOA","ABK00",3,19015.21,27960.96
"ACOA","ABK00",4,463753.41,442314.56
"ACOA","ABK00",5,81454.66,81540.31
"ACOA","ABK00",6,2556.97,1054.42
"ACOA","ABK00",7,15455.51,20969.03
"ACOA","ABK00",9,233.82,734.43
"ACOA","ABK00",10,79737373.53,94987297.59
"ACOA","ABK00",12,3802.79,-30218.59
"ACOA","ABR00",1,7617859.74,7814225.11
"ACOA","ABR00",2,309198.60,331468.09
"ACOA","ABR00",3,10762.17,50362.11
"ACOA","ABR00",4,774956.99,786673.30
"ACOA","ABR00",5,100154.85,99887.31
"ACOA","ABR00",6,135.00,2605.92
"ACOA","ABR00",7,96402.07,95725.37
"ACOA","ABR00",9,1169.28,1131.99
"ACOA","ABR00",10,2917596.19,5573112.61
"ACOA","ABR00",12,0.31,-116650.48
"ACOA","ISC00",1,19844606.06,18860440.76
"ACOA","ISC00",2,657334.31,572361.00
"ACOA","ISC00",3,289300.41,295564.20
"ACOA","ISC00",4,2326263.89,2292551.65
"ACOA","ISC00",5,1921719.08,1821218.50
"ACOA","ISC00",6,452631.93,296057.78
"ACOA","ISC00",7,275405.64,280539.44
"ACOA","ISC00",9,646126.87,570891.73
"ACOA","ISC00",12,295.52,-308168.07
"AECB","DAI00",1,7515204.71,8835230.93
"AECB","DAI00",2,310187.00,427634.13
"AECB","DAI00",3,10905.26,40958.96
"AECB","DAI00",4,1605339.50,1381194.54
"AECB","DAI00",5,533493.09,660050.16
"AECB","DAI00",6,91260.46,53796.89
"AECB","DAI00",7,20.59,18.98
"AECB","DAI00",9,107167.27,171750.69
"AECB","DAJ00",1,30296031.95,31332163.22
"AECB","DAJ00",2,1818717.29,1757946.11
"AECB","DAJ00",3,140905.08,181202.62
"AECB","DAJ00",4,5512122.57,5190239.69
"AECB","DAJ00",5,1429045.06,1587044.22
"AECB","DAJ00",6,267921.55,264476.02
"AECB","DAJ00",7,21952.21,10048.90
"AECB","DAJ00",9,512392.34,735245.73
"AECB","DAJ00",12,3211.40,-795.19
"AECB","DAK00",1,10589722.24,10235603.88
"AECB","DAK00",2,421189.39,466278.88
"AECB","DAK00",3,0.00,40659.64
"AECB","DAK00",4,1902350.99,1601295.56
"AECB","DAK00",5,741027.94,783623.67
"AECB","DAK00",6,126830.41,63942.86
"AECB","DAK00",7,23.98,0.00
"AECB","DAK00",9,148937.09,204142.47
"AECB","DAL00",1,4726071.48,3926617.17
"AECB","DAL00",2,298563.26,259380.92
"AECB","DAL00",3,777.00,11831.75
"AECB","DAL00",4,853850.23,814282.15
"AECB","DAL00",5,71685.11,228030.55
"AECB","DAL00",6,12280.68,18607.05
"AECB","DAL00",7,1743.29,5169.99
"AECB","DAL00",9,17819.86,63326.28
"AECB","DAM00",1,16796034.66,15131653.24
"AECB","DAM00",2,1495528.67,1394234.44
"AECB","DAM00",3,69339.27,186010.80
"AECB","DAM00",4,4904900.19,4058539.68
"AECB","DAM00",5,1132015.16,1094333.31
"AECB","DAM00",6,194137.48,88342.42
"AECB","DAM00",7,175034.63,203956.59
"AECB","DAM00",9,293157.71,350221.69
"AECB","DAM00",10,1636797.44,1868128.43
"AECB","ISC00",1,29497942.82,29865755.86
"AECB","ISC00",2,821400.18,721373.94
"AECB","ISC00",3,784246.62,712677.54
"AECB","ISC00",4,4346297.37,4039374.68
"AECB","ISC00",5,1091646.35,980940.43
"AECB","ISC00",6,700633.11,1181639.08
"AECB","ISC00",7,555577.13,473867.68
"AECB","ISC00",9,3343478.26,3310678.89
"AECB","ISC00",12,41750.90,113302.27
"AECL","ATV00",12,491064000.00,784133000.00
"AGR","AAA00",1,21984685.52,22397188.90
"AGR","AAA00",2,844667.51,751810.20
"AGR","AAA00",3,237482.42,279366.75
"AGR","AAA00",4,7788187.81,7696449.19
"AGR","AAA00",5,103968.51,148999.05
"AGR","AAA00",6,86042.18,22537.60
"AGR","AAA00",7,44675.27,61703.16
"AGR","AAA00",9,83523.95,82790.57
"AGR","AAA00",10,892876513.02,1245684740.90
"AGR","AAA00",12,7197.86,198022.83
"AGR","AAA00",21,-371482.91,-403548.69
"AGR","AAB00",1,3154091.72,3190411.88
"AGR","AAB00",2,274647.23,286900.88
"AGR","AAB00",3,349.00,359.00
"AGR","AAB00",4,4617872.18,5045758.39
"AGR","AAB00",5,213409.31,200158.84
"AGR","AAB00",6,35690.04,144817.27
"AGR","AAB00",7,67354.68,81301.27
"AGR","AAB00",8,49717.49,0.00
"AGR","AAB00",9,940848.34,188894.81
"AGR","AAB00",12,0.00,28.23
"AGR","AAB00",21,-10316555.38,-10184638.63
"AGR","AAH00",1,2361676.74,2242279.98
"AGR","AAH00",2,188001.00,156573.30
"AGR","AAH00",3,53654.31,37719.86
"AGR","AAH00",4,402087.61,337163.93
"AGR","AAH00",5,27825.51,12577.83
"AGR","AAH00",6,0.00,377.80
"AGR","AAH00",7,21853.36,19508.67
"AGR","AAH00",9,32252.94,24634.35
"AGR","AAH00",12,0.00,5064.49
"AGR","ABG00",1,242338665.78,244746345.38
"AGR","ABG00",2,5984005.77,7476046.50
"AGR","ABG00",3,291210.76,345144.23
"AGR","ABG00",4,43623325.36,45007450.46
"AGR","ABG00",5,1473903.87,1812900.80
"AGR","ABG00",6,12236045.93,13033786.60
"AGR","ABG00",7,32958946.58,33557728.95
"AGR","ABG00",8,33653291.52,61545695.18
"AGR","ABG00",9,44045143.86,34123342.96
"AGR","ABG00",10,192582221.72,187740713.54
