"dept_code","year","question_id","answer1","answer2","answer3","answer4","answer5","answer6","answer7","positive","neutral","negative","agree","average_1_to_5","average_percent","answer_count"
"ACOA",2017,"Q01",51,35,8,4,2,1,0,86,8,6,86,4.29,82,507
"ACOA",2017,"Q02",59,30,3,4,4,0,0,89,3,8,89,4.35,84,505
"ACOA",2017,"Q03",49,36,6,5,4,0,0,85,6,9,85,4.2,80,506
"ACOA",2017,"Q04",35,43,10,8,4,1,0,78,10,12,78,3.98,74,505
"ACOA",2017,"Q05",60,26,6,4,3,0,0,87,6,7,87,4.38,85,506
"ACOA",2017,"Q06",54,34,4,4,4,0,0,88,4,8,88,4.3,82,506
"ACOA",2017,"Q07",59,30,4,3,3,0,0,90,4,6,90,4.4,85,507
"ACOA",2017,"Q08",68,21,5,3,3,0,0,88,5,6,88,4.47,87,506
"ACOA",2017,"Q09",70,19,6,2,3,1,0,89,6,5,89,4.52,88,505
"ACOA",2017,"Q10",50,30,8,6,6,0,0,80,8,12,80,4.13,78,506
"ACOA",2017,"Q11",55,33,5,4,2,0,0,88,5,6,88,4.35,84,506
"ACOA",2017,"Q12",6,26,46,14,7,0,0,33,47,21,21,3.12,53,497
"ACOA",2017,"Q13",6,15,41,28,11,0,0,38,41,20,20,3.23,56,502
"ACOA",2017,"Q14",12,88,"","","","","",88,"",12,12,"","",499
"ACOA",2017,"Q15a",55,45,"","","","","","","","",55,"","",59
"ACOA",2017,"Q15b",71,29,"","","","","","","","",71,"","",59
"ACOA",2017,"Q15d",0,100,"","","","","","","","",0,"","",59
"ACOA",2017,"Q15f",15,85,"","","","","","","","",15,"","",59
"ACOA",2017,"Q15g",0,100,"","","","","","","","",0,"","",59
"ACOA",2017,"Q16",7,93,"","","","","",93,"",7,7,"","",502
"ACOA",2017,"Q17a",46,54,"","","","","","","","",46,"","",32
"ACOA",2017,"Q17b",69,31,"","","","","","","","",69,"","",32
"ACOA",2017,"Q17d",0,100,"","","","","","","","",0,"","",32
"AECB",2017,"Q01",57,27,6,4,2,4,0,88,7,6,88,4.4,85,712
"AECB",2017,"Q02",45,39,6,7,3,0,0,84,6,10,84,4.17,79,712
"AECB",2017,"Q03",38,36,13,9,5,0,0,73,13,14,73,3.93,73,713
"AECB",2017,"Q04",25,42,14,13,5,1,0,68,14,18,68,3.7,67,708
"AECB",2017,"Q05",48,31,8,7,4,1,0,80,8,12,80,4.14,78,713
"AECB",2017,"Q06",37,40,12,7,4,0,0,78,12,11,78,4.01,75,711
"AECB",2017,"Q07",45,38,10,6,2,0,0,83,10,7,83,4.19,80,712
"AECB",2017,"Q08",59,24,5,5,6,0,0,84,5,11,84,4.25,81,715
"AECB",2017,"Q09",58,22,9,4,6,0,0,81,9,10,81,4.23,81,713
"AECB",2017,"Q10",32,37,13,11,7,0,0,69,13,18,69,3.76,69,714
"AECB",2017,"Q11",37,36,17,6,3,1,0,74,17,9,74,3.98,75,714
"AECB",2017,"Q12",4,20,43,24,7,0,0,25,43,32,32,2.89,47,705
"AECB",2017,"Q13",6,18,45,22,7,1,0,29,45,25,25,3.05,51,706
"AECB",2017,"Q14",19,81,"","","","","",81,"",19,19,"","",706
"AECB",2017,"Q15a",51,49,"","","","","","","","",51,"","",136
"AECB",2017,"Q15b",70,30,"","","","","","","","",70,"","",136
"AECB",2017,"Q15d",0,100,"","","","","","","","",0,"","",136
"AECB",2017,"Q15f",7,93,"","","","","","","","",7,"","",136
