id,name_en,name_fr,positive,neutral,negative,agree,type
Q01,"My department or agency implements activities and practices
that support a diverse workplace.",Mon ministère ou organisme met en place des activités et des pratiques qui favorisent un milieu de travail diversifié.,"1,2",3,"4,5","1,2",numeric
Q02,"Overall, my department or agency treats me with respect.","Dans l’ensemble, mon ministère ou organisme me traite avec respect.","1,2",3,"4,5","1,2",numeric
Q03,I am encouraged to be innovative or to take initiative in my work.,On m’encourage à innover ou à prendre des initiatives dans mon travail.,"1,2",3,"4,5","1,2",numeric
Q04,"I believe I would be supported if I proposed a new idea, even though it might not work.","Je crois que j'obtiendrais du soutien si je proposais une nouvelle idée, même s'il est possible que celle-ci ne fonctionne pas.","1,2",3,"4,5","1,2",numeric
Q05,I have support at work to balance my work and personal life.,Je reçois du soutien au travail pour concilier mon travail et ma vie personnelle.,"1,2",3,"4,5","1,2",numeric
Q06,I am satisfied with my department or agency.,Je suis satisfait(e) de mon ministère ou organisme.,"1,2",3,"4,5","1,2",numeric
Q07,"Overall, I like my job.","Dans l’ensemble, j’aime mon emploi.","1,2",3,"4,5","1,2",numeric
Q08,My immediate supervisor creates an environment where I feel free to discuss with him or her matters that affect my well-being at work.,Mon (ma) superviseur(e) immédiat(e) crée un environnement où je me sens libre de discuter avec lui ou elle de questions qui touchent mon bien-être au travail.,"1,2",3,"4,5","1,2",numeric
Q09,My immediate supervisor seems to care about me as a person.,Mon (ma) superviseur(e) immédiat(e) semble se soucier de moi en tant que personne.,"1,2",3,"4,5","1,2",numeric
Q10,I would describe my workplace as being psychologically healthy.,Je dirais que mon milieu de travail est sain sur le plan psychologique. ,"1,2",3,"4,5","1,2",numeric
Q11,My department or agency does a good job of raising awareness of mental health in the workplace.,Mon ministère ou organisme fait un bon travail de sensibilisation à la santé mentale en milieu de travail.,"1,2",3,"4,5","1,2",numeric
Q12,"Overall, my level of work-related stress is…","Dans l'ensemble, mon niveau de stress lié au travail est…","1,2",3,"4,5","4,5",numeric
Q13,"After my workday, I feel emotionally drained.","Après ma journée de travail, je me sens épuisé(e) émotionnellement.","4,5",3,"1,2","1,2",numeric
Q14,"Having carefully read the definition of harassment, have you been the victim of harassment on the job in the past two years?","Après avoir lu attentivement la définition du harcèlement, au cours des deux dernières années, avez-vous été victime de harcèlement au travail? ",2,,1,1,boolean
Q15a,From whom did you experience harassment on the job? Co-workers,De la part de qui avez-vous été victime de harcèlement au travail? Collègues,,,,1,boolean
Q15b,From whom did you experience harassment on the job? Individuals with authority over me,De la part de qui avez-vous été victime de harcèlement au travail?  Supérieur(e)s,,,,1,boolean
Q15c,From whom did you experience harassment on the job? Individuals working for me,De la part de qui avez-vous été victime de harcèlement au travail?  Employé(e)s relevant de moi,,,,1,boolean
Q15d,"From whom did you experience harassment on the job? Individuals for whom I have a custodial responsibility (e.g., inmates, offenders, patients, detainees)","De la part de qui avez-vous été victime de harcèlement au travail?   Personnes envers lesquelles j’ai une responsabilité de garde (p. ex. détenu(e)s, contrevenant(e)s, patient(e)s, personnes sous garde)",,,,1,boolean
Q15e,From whom did you experience harassment on the job? Individuals from other departments or agencies,De la part de qui avez-vous été victime de harcèlement au travail?  Personnes d’autres ministères ou organismes,,,,1,boolean
Q15f,From whom did you experience harassment on the job? Members of the public (individuals or organizations),De la part de qui avez-vous été victime de harcèlement au travail?   Membres du public (personnes ou organisations),,,,1,boolean
Q15g,From whom did you experience harassment on the job? Other,De la part de qui avez-vous été victime de harcèlement au travail?  Autre,,,,1,boolean
Q16,"Having carefully read the definition of discrimination, have you been the victim of discrimination on the job in the past two years?               ","Après avoir lu attentivement la définition de la discrimination, au cours des deux dernières années, avez-vous été victime de discrimination au travail? ",2,,1,1,boolean
Q17a,From whom did you experience discrimination on the job? Co-workers,De la part de qui avez-vous été victime de discrimination au travail? Collègues,,,,1,boolean
Q17b,From whom did you experience discrimination on the job? Individuals with authority over me,De la part de qui avez-vous été victime de discrimination au travail?  Supérieur(e)s,,,,1,boolean
Q17c,From whom did you experience discrimination on the job? Individuals working for me,De la part de qui avez-vous été victime de discrimination au travail?  Employé(e)s relevant de moi,,,,1,boolean
Q17d,"From whom did you experience discrimination on the job? Individuals for whom I have a custodial responsibility (e.g., inmates, offenders, patients, detainees)","De la part de qui avez-vous été victime de discrimination au travail?   Personnes envers lesquelles j’ai une responsabilité de garde (p. ex. détenu(e)s, contrevenant(e)s, patient(e)s, personnes sous garde)",,,,1,boolean
Q17e,From whom did you experience discrimination on the job? Individuals from other departments or agencies,De la part de qui avez-vous été victime de discrimination au travail?  Personnes d’autres ministères ou organismes,,,,1,boolean
Q17f,From whom did you experience discrimination on the job? Members of the public (individuals or organizations),De la part de qui avez-vous été victime de discrimination au travail?   Membres du public (personnes ou organisations),,,,1,boolean
Q17g,From whom did you experience discrimination on the job? Other,De la part de qui avez-vous été victime de discrimination au travail?  Autre,,,,1,boolean
